candidate,architecture,hazard,run_id,profile_name,role,speed_mps,foot,positive_run,detected,any_firing,first_physical_onset_sample,first_detected_sample,pre_onset_risk_margin_ms
C0,logistic,sink,marble_native_0p10_v03,marble,hard_negative,0.1,left,False,False,False,,,
C0,logistic,sink,concrete_native_0p10_v03,concrete,hard_negative,0.1,left,False,False,False,,,
C0,logistic,sink,sand_hardened_0p10_v03,sand_walking_support_v1_hardened,hard_negative,0.1,left,False,False,False,,,
C0,logistic,sink,ice_native_0p10_v03,ice,slip_candidate,0.1,left,True,False,False,1329,,
C0,logistic,sink,sand_solref_interpolation_1of3_0p10_v03,sand_solref_interpolation_1of3,sink_candidate,0.1,left,True,False,False,229,,
C0,logistic,sink,sand_solref_interpolation_2of3_0p10_v03,sand_solref_interpolation_2of3,sink_candidate,0.1,left,True,False,False,219,,
C0,logistic,sink,sand_solref_interpolation_3of4_stronger_v2_0p10_v03,sand_solref_interpolation_3of4_stronger_v2,sink_candidate,0.1,left,True,False,False,239,,
C0,logistic,sink,sand_solref_interpolation_5of6_stronger_v2_0p10_v03,sand_solref_interpolation_5of6_stronger_v2,sink_candidate,0.1,left,True,False,False,229,,
C0,logistic,sink,marble_native_0p15_v03,marble,hard_negative,0.15,left,False,False,False,,,
C0,logistic,sink,concrete_native_0p15_v03,concrete,hard_negative,0.15,left,False,False,False,,,
C0,logistic,sink,sand_hardened_0p15_v03,sand_walking_support_v1_hardened,hard_negative,0.15,left,False,False,False,,,
C0,logistic,sink,ice_native_0p15_v03,ice,slip_candidate,0.15,left,True,False,False,1339,,
C0,logistic,sink,sand_solref_interpolation_1of3_0p15_v03,sand_solref_interpolation_1of3,sink_candidate,0.15,left,True,False,False,229,,
C0,logistic,sink,sand_solref_interpolation_2of3_0p15_v03,sand_solref_interpolation_2of3,sink_candidate,0.15,left,True,True,True,219,1569,-1350
C0,logistic,sink,sand_solref_interpolation_3of4_stronger_v2_0p15_v03,sand_solref_interpolation_3of4_stronger_v2,sink_candidate,0.15,left,True,True,True,239,1539,-1300
C0,logistic,sink,sand_solref_interpolation_5of6_stronger_v2_0p15_v03,sand_solref_interpolation_5of6_stronger_v2,sink_candidate,0.15,left,True,True,True,229,1469,-1240
C0,logistic,sink,marble_native_0p20_v03,marble,hard_negative,0.2,left,False,False,False,,,
C0,logistic,sink,concrete_native_0p20_v03,concrete,hard_negative,0.2,left,False,False,False,,,
C0,logistic,sink,sand_hardened_0p20_v03,sand_walking_support_v1_hardened,hard_negative,0.2,left,False,False,False,,,
C0,logistic,sink,ice_native_0p20_v03,ice,slip_candidate,0.2,left,True,False,False,1349,,
C0,logistic,sink,sand_solref_interpolation_1of3_0p20_v03,sand_solref_interpolation_1of3,sink_candidate,0.2,left,True,False,False,229,,
C0,logistic,sink,sand_solref_interpolation_2of3_0p20_v03,sand_solref_interpolation_2of3,sink_candidate,0.2,left,True,False,False,219,,
C0,logistic,sink,sand_solref_interpolation_3of4_stronger_v2_0p20_v03,sand_solref_interpolation_3of4_stronger_v2,sink_candidate,0.2,left,True,False,False,239,,
C0,logistic,sink,sand_solref_interpolation_5of6_stronger_v2_0p20_v03,sand_solref_interpolation_5of6_stronger_v2,sink_candidate,0.2,left,True,False,False,229,,
C0,logistic,sink,marble_native_0p10_v04,marble,hard_negative,0.1,left,False,False,False,,,
C0,logistic,sink,concrete_native_0p10_v04,concrete,hard_negative,0.1,left,False,False,False,,,
C0,logistic,sink,sand_hardened_0p10_v04,sand_walking_support_v1_hardened,hard_negative,0.1,left,False,False,False,,,
C0,logistic,sink,ice_native_0p10_v04,ice,slip_candidate,0.1,left,True,False,False,579,,
C0,logistic,sink,sand_solref_interpolation_1of3_0p10_v04,sand_solref_interpolation_1of3,sink_candidate,0.1,left,True,False,False,249,,
C0,logistic,sink,sand_solref_interpolation_2of3_0p10_v04,sand_solref_interpolation_2of3,sink_candidate,0.1,left,True,False,False,199,,
C0,logistic,sink,sand_solref_interpolation_3of4_stronger_v2_0p10_v04,sand_solref_interpolation_3of4_stronger_v2,sink_candidate,0.1,left,True,False,False,199,,
C0,logistic,sink,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,sand_solref_interpolation_5of6_stronger_v2,sink_candidate,0.1,left,True,False,False,199,,
C0,logistic,sink,marble_native_0p15_v04,marble,hard_negative,0.15,left,False,False,False,,,
C0,logistic,sink,concrete_native_0p15_v04,concrete,hard_negative,0.15,left,False,False,False,,,
C0,logistic,sink,sand_hardened_0p15_v04,sand_walking_support_v1_hardened,hard_negative,0.15,left,False,False,False,,,
C0,logistic,sink,ice_native_0p15_v04,ice,slip_candidate,0.15,left,True,False,False,589,,
C0,logistic,sink,sand_solref_interpolation_1of3_0p15_v04,sand_solref_interpolation_1of3,sink_candidate,0.15,left,True,False,False,239,,
C0,logistic,sink,sand_solref_interpolation_2of3_0p15_v04,sand_solref_interpolation_2of3,sink_candidate,0.15,left,True,False,False,199,,
C0,logistic,sink,sand_solref_interpolation_3of4_stronger_v2_0p15_v04,sand_solref_interpolation_3of4_stronger_v2,sink_candidate,0.15,left,True,False,False,199,,
C0,logistic,sink,sand_solref_interpolation_5of6_stronger_v2_0p15_v04,sand_solref_interpolation_5of6_stronger_v2,sink_candidate,0.15,left,True,False,False,199,,
C0,logistic,sink,marble_native_0p20_v04,marble,hard_negative,0.2,left,False,False,False,,,
C0,logistic,sink,concrete_native_0p20_v04,concrete,hard_negative,0.2,left,False,False,False,,,
C0,logistic,sink,sand_hardened_0p20_v04,sand_walking_support_v1_hardened,hard_negative,0.2,left,False,False,False,,,
C0,logistic,sink,ice_native_0p20_v04,ice,slip_candidate,0.2,left,True,False,False,589,,
C0,logistic,sink,sand_solref_interpolation_1of3_0p20_v04,sand_solref_interpolation_1of3,sink_candidate,0.2,left,True,False,False,239,,
C0,logistic,sink,sand_solref_interpolation_2of3_0p20_v04,sand_solref_interpolation_2of3,sink_candidate,0.2,left,True,False,False,199,,
C0,logistic,sink,sand_solref_interpolation_3of4_stronger_v2_0p20_v04,sand_solref_interpolation_3of4_stronger_v2,sink_candidate,0.2,left,True,False,False,199,,
C0,logistic,sink,sand_solref_interpolation_5of6_stronger_v2_0p20_v04,sand_solref_interpolation_5of6_stronger_v2,sink_candidate,0.2,left,True,False,False,199,,
C1,logistic,sink,marble_native_0p10_v03,marble,hard_negative,0.1,left,False,False,False,,,
C1,logistic,sink,marble_native_0p10_v03,marble,hard_negative,0.1,right,False,False,False,,,
C1,logistic,sink,concrete_native_0p10_v03,concrete,hard_negative,0.1,left,False,False,False,,,
C1,logistic,sink,concrete_native_0p10_v03,concrete,hard_negative,0.1,right,False,False,False,,,
C1,logistic,sink,sand_hardened_0p10_v03,sand_walking_support_v1_hardened,hard_negative,0.1,left,False,False,False,,,
C1,logistic,sink,sand_hardened_0p10_v03,sand_walking_support_v1_hardened,hard_negative,0.1,right,False,False,False,,,
C1,logistic,sink,ice_native_0p10_v03,ice,slip_candidate,0.1,left,True,False,False,1329,,
C1,logistic,sink,ice_native_0p10_v03,ice,slip_candidate,0.1,right,False,False,False,,,
C1,logistic,sink,sand_solref_interpolation_1of3_0p10_v03,sand_solref_interpolation_1of3,sink_candidate,0.1,left,True,False,False,229,,
C1,logistic,sink,sand_solref_interpolation_1of3_0p10_v03,sand_solref_interpolation_1of3,sink_candidate,0.1,right,True,False,False,549,,
C1,logistic,sink,sand_solref_interpolation_2of3_0p10_v03,sand_solref_interpolation_2of3,sink_candidate,0.1,left,True,False,False,219,,
C1,logistic,sink,sand_solref_interpolation_2of3_0p10_v03,sand_solref_interpolation_2of3,sink_candidate,0.1,right,True,False,False,199,,
C1,logistic,sink,sand_solref_interpolation_3of4_stronger_v2_0p10_v03,sand_solref_interpolation_3of4_stronger_v2,sink_candidate,0.1,left,True,False,False,239,,
C1,logistic,sink,sand_solref_interpolation_3of4_stronger_v2_0p10_v03,sand_solref_interpolation_3of4_stronger_v2,sink_candidate,0.1,right,True,False,False,199,,
C1,logistic,sink,sand_solref_interpolation_5of6_stronger_v2_0p10_v03,sand_solref_interpolation_5of6_stronger_v2,sink_candidate,0.1,left,True,False,False,229,,
C1,logistic,sink,sand_solref_interpolation_5of6_stronger_v2_0p10_v03,sand_solref_interpolation_5of6_stronger_v2,sink_candidate,0.1,right,True,False,False,199,,
C1,logistic,sink,marble_native_0p15_v03,marble,hard_negative,0.15,left,False,False,False,,,
