row_type,candidate,architecture,feature_count,sensor_channels,train_rows,validation_rows,threshold_train_zero_fp,validation_auroc,validation_auprc,zero_fp_recall,valid_positive_foot_runs,detected_positive_foot_runs,coverage_fraction,normal_fp_runs,ice_cross_hazard_fp_runs,too_early_firings,invalid_firings,air_firings,touchdown_firings,post_fall_firings,median_pre_onset_risk_margin_ms,parameter_count,state_memory_bytes,history_memory_bytes,memory_bytes,macs,latency_ms,estimated_e84_latency_ms,expected_vela_compatibility,future_sample_count,hazard,run_id,profile_name,role,speed_mps,foot,positive_run,detected,any_firing,first_physical_onset_sample,first_detected_sample,pre_onset_risk_margin_ms,max_score,threshold
aggregate,C0,logistic,80,10,10738,7582,0.9999974419978445,0.9732469866329048,0.6564113469338834,0.03309692671394799,10,3,0.3,0,0,0,4,0,0,4,-470.0,81,16,8000,8340,8081,30,0.30162,True,0,,,,,,,,,,,,,,
aggregate,C1,logistic,164,20,22299,15345,0.9999806222829456,0.9417847526220707,0.4943473564549347,0.0027247956403269754,22,2,0.09090909090909091,0,0,1,5,0,0,5,-355.0,165,16,16000,16676,16165,30,0.3033,True,0,,,,,,,,,,,,,,
aggregate,C2,logistic,182,26,22299,15345,0.9999993264957171,0.9438734948010042,0.5468655788242098,0.0,22,0,0.0,0,0,0,1,0,0,1,,183,16,20800,21548,16183,30,0.30366,True,0,,,,,,,,,,,,,,
aggregate,C3,logistic,188,44,22299,15345,0.9999915184798607,0.9081150474371541,0.5032191997593636,0.007266121707538601,22,3,0.13636363636363635,0,0,3,5,0,0,5,10.0,189,16,35200,35972,16189,30,0.30378,True,0,,,,,,,,,,,,,,
aggregate,C4,logistic,236,62,22299,15345,0.9999993903103247,0.9111027451748571,0.547954276501191,0.0018165304268846503,22,1,0.045454545454545456,0,0,0,0,0,0,0,-10.0,237,16,49600,50564,16237,30,0.30474,True,0,,,,,,,,,,,,,,
profile_speed_foot,C0,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,marble_native_0p10_v03,marble,hard_negative,0.1,left,False,False,False,,,,0.6124989821552776,0.9999974419978445
profile_speed_foot,C0,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,concrete_native_0p10_v03,concrete,hard_negative,0.1,left,False,False,False,,,,0.5828718368332786,0.9999974419978445
profile_speed_foot,C0,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_hardened_0p10_v03,sand_walking_support_v1_hardened,hard_negative,0.1,left,False,False,False,,,,0.5621101842133609,0.9999974419978445
profile_speed_foot,C0,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,ice_native_0p10_v03,ice,slip_candidate,0.1,left,True,False,False,289,,,0.9999971638359323,0.9999974419978445
profile_speed_foot,C0,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_1of3_0p10_v03,sand_solref_interpolation_1of3,sink_candidate,0.1,left,False,False,False,,,,0.5912313777915539,0.9999974419978445
profile_speed_foot,C0,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_2of3_0p10_v03,sand_solref_interpolation_2of3,sink_candidate,0.1,left,False,False,False,,,,0.5552313252317455,0.9999974419978445
profile_speed_foot,C0,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_3of4_stronger_v2_0p10_v03,sand_solref_interpolation_3of4_stronger_v2,sink_candidate,0.1,left,False,False,False,,,,0.5484461741779155,0.9999974419978445
profile_speed_foot,C0,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_5of6_stronger_v2_0p10_v03,sand_solref_interpolation_5of6_stronger_v2,sink_candidate,0.1,left,False,False,False,,,,0.5267164677795202,0.9999974419978445
profile_speed_foot,C0,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,marble_native_0p15_v03,marble,hard_negative,0.15,left,False,False,False,,,,0.6261926246688234,0.9999974419978445
profile_speed_foot,C0,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,concrete_native_0p15_v03,concrete,hard_negative,0.15,left,False,False,False,,,,0.6059823520861312,0.9999974419978445
profile_speed_foot,C0,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_hardened_0p15_v03,sand_walking_support_v1_hardened,hard_negative,0.15,left,False,False,False,,,,0.5769329497463495,0.9999974419978445
profile_speed_foot,C0,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,ice_native_0p15_v03,ice,slip_candidate,0.15,left,True,False,False,279,,,0.9999999706924778,0.9999974419978445
profile_speed_foot,C0,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_1of3_0p15_v03,sand_solref_interpolation_1of3,sink_candidate,0.15,left,False,False,False,,,,0.5942771890933255,0.9999974419978445
profile_speed_foot,C0,logistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip,sand_solref_interpolation_2of3_0p15_v03,sand_solref_interpolation_2of3,sink_candidate,0.15,left,True,False,False,1779,,,0.9999372278828556,0.9999974419978445
