detector,split,run_id,endpoints,accuracy,normal_false_positive,detected,anticipation
terrain,walking_validation,concrete_native_0p10_v02,1723,0.0,,,
terrain,walking_validation,concrete_native_0p15_v02,1684,0.0,,,
terrain,walking_validation,concrete_native_0p20_v02,1661,0.0,,,
terrain,walking_validation,ice_native_0p10_v02,1763,0.1344299489506523,,,
terrain,walking_validation,ice_native_0p15_v02,2075,0.09253012048192771,,,
terrain,walking_validation,ice_native_0p20_v02,1838,0.07236126224156691,,,
terrain,walking_validation,marble_native_0p10_v02,1697,0.00648202710665881,,,
terrain,walking_validation,marble_native_0p15_v02,1679,0.006551518761167362,,,
terrain,walking_validation,marble_native_0p20_v02,1660,0.006024096385542169,,,
terrain,walking_validation,sand_hardened_0p10_v02,1732,0.9457274826789839,,,
terrain,walking_validation,sand_hardened_0p15_v02,1722,0.943089430894309,,,
terrain,walking_validation,sand_hardened_0p20_v02,1694,0.9403778040141676,,,
terrain,walking_validation,sand_solref_interpolation_1of3_0p10_v02,1793,0.90574456218628,,,
terrain,walking_validation,sand_solref_interpolation_1of3_0p15_v02,1787,0.9082260772243984,,,
terrain,walking_validation,sand_solref_interpolation_1of3_0p20_v02,1776,0.9009009009009009,,,
terrain,walking_validation,sand_solref_interpolation_2of3_0p10_v02,1818,0.8828382838283828,,,
terrain,walking_validation,sand_solref_interpolation_2of3_0p15_v02,1809,0.8745163073521283,,,
terrain,walking_validation,sand_solref_interpolation_2of3_0p20_v02,1801,0.8534147695724598,,,
slip,walking_validation,marble_native_0p10_v02,3000,,True,False,False
slip,walking_validation,concrete_native_0p10_v02,3000,,True,False,False
slip,walking_validation,sand_hardened_0p10_v02,3000,,True,False,False
slip,walking_validation,ice_native_0p10_v02,3000,,False,True,True
slip,walking_validation,sand_solref_interpolation_1of3_0p10_v02,3000,,False,False,False
slip,walking_validation,sand_solref_interpolation_2of3_0p10_v02,3000,,False,False,False
slip,walking_validation,marble_native_0p15_v02,3000,,True,False,False
slip,walking_validation,concrete_native_0p15_v02,3000,,True,False,False
slip,walking_validation,sand_hardened_0p15_v02,3000,,True,False,False
slip,walking_validation,ice_native_0p15_v02,3000,,False,True,True
slip,walking_validation,sand_solref_interpolation_1of3_0p15_v02,3000,,False,False,False
slip,walking_validation,sand_solref_interpolation_2of3_0p15_v02,3000,,False,False,False
slip,walking_validation,marble_native_0p20_v02,3000,,True,False,False
slip,walking_validation,concrete_native_0p20_v02,3000,,True,False,False
slip,walking_validation,sand_hardened_0p20_v02,3000,,True,False,False
slip,walking_validation,ice_native_0p20_v02,3000,,False,True,True
slip,walking_validation,sand_solref_interpolation_1of3_0p20_v02,3000,,False,False,False
slip,walking_validation,sand_solref_interpolation_2of3_0p20_v02,3000,,False,False,False
sink,walking_validation,marble_native_0p10_v02,3000,,True,False,False
sink,walking_validation,concrete_native_0p10_v02,3000,,True,False,False
sink,walking_validation,sand_hardened_0p10_v02,3000,,True,False,False
sink,walking_validation,ice_native_0p10_v02,3000,,False,True,True
sink,walking_validation,sand_solref_interpolation_1of3_0p10_v02,3000,,False,True,True
sink,walking_validation,sand_solref_interpolation_2of3_0p10_v02,3000,,False,True,True
sink,walking_validation,marble_native_0p15_v02,3000,,True,False,False
sink,walking_validation,concrete_native_0p15_v02,3000,,True,False,False
sink,walking_validation,sand_hardened_0p15_v02,3000,,True,False,False
sink,walking_validation,ice_native_0p15_v02,3000,,False,True,True
sink,walking_validation,sand_solref_interpolation_1of3_0p15_v02,3000,,False,True,True
sink,walking_validation,sand_solref_interpolation_2of3_0p15_v02,3000,,False,True,True
sink,walking_validation,marble_native_0p20_v02,3000,,True,False,False
sink,walking_validation,concrete_native_0p20_v02,3000,,True,False,False
sink,walking_validation,sand_hardened_0p20_v02,3000,,True,False,False
sink,walking_validation,ice_native_0p20_v02,3000,,False,True,True
sink,walking_validation,sand_solref_interpolation_1of3_0p20_v02,3000,,False,True,True
sink,walking_validation,sand_solref_interpolation_2of3_0p20_v02,3000,,False,True,True
