detector,source_checkpoint,run_id,variation,speed_mps,terrain,profile,gait_phase,split_ownership,window_count,positive_windows,window_ms,window_semantics
terrain,d2209cdb49c496839a16396f201ab0322515171b,marble_native_0p10_v00,0,0.1,marble,marble,LOADING,walking_train,64,64,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,marble_native_0p10_v00,0,0.1,marble,marble,MID_STANCE,walking_train,64,64,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,marble_native_0p10_v00,0,0.1,marble,marble,PUSH_OFF,walking_train,50,50,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,marble_native_0p10_v00,0,0.1,marble,marble,TOUCHDOWN,walking_train,50,50,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,concrete_native_0p10_v00,0,0.1,concrete,concrete,LOADING,walking_train,64,0,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,concrete_native_0p10_v00,0,0.1,concrete,concrete,MID_STANCE,walking_train,64,0,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,concrete_native_0p10_v00,0,0.1,concrete,concrete,PUSH_OFF,walking_train,50,0,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,concrete_native_0p10_v00,0,0.1,concrete,concrete,TOUCHDOWN,walking_train,47,0,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_hardened_0p10_v00,0,0.1,sand,sand_walking_support_v1_hardened,LOADING,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_hardened_0p10_v00,0,0.1,sand,sand_walking_support_v1_hardened,MID_STANCE,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_hardened_0p10_v00,0,0.1,sand,sand_walking_support_v1_hardened,PUSH_OFF,walking_train,50,150,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_hardened_0p10_v00,0,0.1,sand,sand_walking_support_v1_hardened,TOUCHDOWN,walking_train,50,150,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,ice_native_0p10_v00,0,0.1,ice,ice,LOADING,walking_train,64,128,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,ice_native_0p10_v00,0,0.1,ice,ice,MID_STANCE,walking_train,64,128,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,ice_native_0p10_v00,0,0.1,ice,ice,PUSH_OFF,walking_train,64,128,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,ice_native_0p10_v00,0,0.1,ice,ice,TOUCHDOWN,walking_train,64,128,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_1of3_0p10_v00,0,0.1,sand,sand_solref_interpolation_1of3,LOADING,walking_train,64,192,50,"causal [t-L+1,t]"
terrain,d2209cdb49c496839a16396f201ab0322515171b,sand_solref_interpolation_1of3_0p10_v00,0,0.1,sand,sand_solref_interpolation_1of3,MID_STANCE,walking_train,64,192,50,"causal [t-L+1,t]"
