detector,source,run_id,profile,speed_mps,variation,physical_episode_valid_onset_sample,physical_oracle_fire_sample,model_probability_threshold_crossing_sample,model_stable_fire_sample,touchdown_sample,physical_valid_onset_to_oracle_fire_ms,physical_oracle_fire_to_model_positive_ms,probability_crossing_to_stable_fire_ms,touchdown_to_model_stable_fire_ms,model_inference_compute_ms_per_window,anticipation_false_alarm,fall_occurred,pre_fall_only_evaluation,fast_reflex_target_ms
slip,fd5b9f0_outer,marble_native_0p10_v03,marble,0.1,3,,,,,,,,,,0.015667489059030416,False,False,True,20
slip,fd5b9f0_outer,concrete_native_0p10_v03,concrete,0.1,3,,,,,,,,,,0.015667489059030416,False,False,True,20
slip,fd5b9f0_outer,sand_hardened_0p10_v03,sand_walking_support_v1_hardened,0.1,3,,,,,,,,,,0.015667489059030416,False,False,True,20
slip,fd5b9f0_outer,ice_native_0p10_v03,ice,0.1,3,364,406,402,406,354,42,-4,4,52,0.015667489059030416,True,True,True,20
slip,fd5b9f0_outer,marble_native_0p15_v03,marble,0.15,3,,,,,,,,,,0.015667489059030416,False,False,True,20
slip,fd5b9f0_outer,concrete_native_0p15_v03,concrete,0.15,3,,,,,,,,,,0.015667489059030416,False,False,True,20
slip,fd5b9f0_outer,sand_hardened_0p15_v03,sand_walking_support_v1_hardened,0.15,3,,,,,,,,,,0.015667489059030416,False,False,True,20
slip,fd5b9f0_outer,ice_native_0p15_v03,ice,0.15,3,362,404,403,407,352,42,-1,4,55,0.015667489059030416,False,True,True,20
slip,fd5b9f0_outer,marble_native_0p20_v03,marble,0.2,3,,,,,,,,,,0.015667489059030416,False,False,True,20
slip,fd5b9f0_outer,concrete_native_0p20_v03,concrete,0.2,3,,,,,,,,,,0.015667489059030416,False,False,True,20
slip,fd5b9f0_outer,sand_hardened_0p20_v03,sand_walking_support_v1_hardened,0.2,3,,,,,,,,,,0.015667489059030416,False,False,True,20
slip,fd5b9f0_outer,ice_native_0p20_v03,ice,0.2,3,358,402,401,405,348,44,-1,4,57,0.015667489059030416,False,True,True,20
