run_id,terrain,phase,kind,samples,correct_rate,switches,raw_mean,firing_count,oracle_positive_count
homogeneous_marble_00,marble,AIR,slip,1472,,,-19.643342391304348,532,0
homogeneous_marble_00,marble,TOUCHDOWN,slip,62,,,102.88709677419355,51,53
homogeneous_marble_00,marble,LOADING,slip,100,,,100.51,85,57
homogeneous_marble_00,marble,MID_STANCE,slip,1316,,,-112.38449848024317,70,0
homogeneous_marble_00,marble,PUSH_OFF,slip,50,,,43.94,28,0
homogeneous_marble_01,marble,AIR,slip,1472,,,-19.643342391304348,532,0
homogeneous_marble_01,marble,TOUCHDOWN,slip,62,,,102.88709677419355,51,53
homogeneous_marble_01,marble,LOADING,slip,100,,,100.51,85,57
homogeneous_marble_01,marble,MID_STANCE,slip,1316,,,-112.38449848024317,70,0
homogeneous_marble_01,marble,PUSH_OFF,slip,50,,,43.94,28,0
homogeneous_marble_02,marble,AIR,slip,1472,,,-19.643342391304348,532,0
homogeneous_marble_02,marble,TOUCHDOWN,slip,62,,,102.88709677419355,51,53
homogeneous_marble_02,marble,LOADING,slip,100,,,100.51,85,57
homogeneous_marble_02,marble,MID_STANCE,slip,1316,,,-112.38449848024317,70,0
homogeneous_marble_02,marble,PUSH_OFF,slip,50,,,43.94,28,0
homogeneous_ice_00,ice,AIR,slip,1166,,,-34.59348198970841,355,0
homogeneous_ice_00,ice,TOUCHDOWN,slip,656,,,66.5045731707317,471,562
homogeneous_ice_00,ice,LOADING,slip,543,,,47.61878453038674,348,522
homogeneous_ice_00,ice,MID_STANCE,slip,514,,,-27.007782101167315,184,509
homogeneous_ice_00,ice,PUSH_OFF,slip,121,,,12.355371900826446,66,121
homogeneous_ice_01,ice,AIR,slip,1166,,,-34.59348198970841,355,0
homogeneous_ice_01,ice,TOUCHDOWN,slip,656,,,66.5045731707317,471,562
homogeneous_ice_01,ice,LOADING,slip,543,,,47.61878453038674,348,522
homogeneous_ice_01,ice,MID_STANCE,slip,514,,,-27.007782101167315,184,509
homogeneous_ice_01,ice,PUSH_OFF,slip,121,,,12.355371900826446,66,121
homogeneous_ice_02,ice,AIR,slip,1166,,,-34.59348198970841,355,0
homogeneous_ice_02,ice,TOUCHDOWN,slip,656,,,66.5045731707317,471,562
homogeneous_ice_02,ice,LOADING,slip,543,,,47.61878453038674,348,522
homogeneous_ice_02,ice,MID_STANCE,slip,514,,,-27.007782101167315,184,509
homogeneous_ice_02,ice,PUSH_OFF,slip,121,,,12.355371900826446,66,121
homogeneous_sand_00,sand,AIR,slip,1409,,,-17.320085166784953,550,0
homogeneous_sand_00,sand,TOUCHDOWN,slip,60,,,118.03333333333333,55,60
homogeneous_sand_00,sand,LOADING,slip,103,,,91.4368932038835,82,41
homogeneous_sand_00,sand,MID_STANCE,slip,1378,,,-106.46879535558782,97,0
homogeneous_sand_00,sand,PUSH_OFF,slip,50,,,74.14,33,0
homogeneous_sand_01,sand,AIR,slip,1409,,,-17.320085166784953,550,0
homogeneous_sand_01,sand,TOUCHDOWN,slip,60,,,118.03333333333333,55,60
homogeneous_sand_01,sand,LOADING,slip,103,,,91.4368932038835,82,41
homogeneous_sand_01,sand,MID_STANCE,slip,1378,,,-106.46879535558782,97,0
homogeneous_sand_01,sand,PUSH_OFF,slip,50,,,74.14,33,0
homogeneous_sand_02,sand,AIR,slip,1409,,,-17.320085166784953,550,0
homogeneous_sand_02,sand,TOUCHDOWN,slip,60,,,118.03333333333333,55,60
homogeneous_sand_02,sand,LOADING,slip,103,,,91.4368932038835,82,41
homogeneous_sand_02,sand,MID_STANCE,slip,1378,,,-106.46879535558782,97,0
homogeneous_sand_02,sand,PUSH_OFF,slip,50,,,74.14,33,0
homogeneous_concrete_00,concrete,AIR,slip,1475,,,-19.31050847457627,529,0
homogeneous_concrete_00,concrete,TOUCHDOWN,slip,51,,,107.47058823529412,45,49
homogeneous_concrete_00,concrete,LOADING,slip,100,,,100.03,83,35
homogeneous_concrete_00,concrete,MID_STANCE,slip,1324,,,-109.14652567975831,82,0
homogeneous_concrete_00,concrete,PUSH_OFF,slip,50,,,50.8,24,0
homogeneous_concrete_01,concrete,AIR,slip,1475,,,-19.31050847457627,529,0
homogeneous_concrete_01,concrete,TOUCHDOWN,slip,51,,,107.47058823529412,45,49
homogeneous_concrete_01,concrete,LOADING,slip,100,,,100.03,83,35
homogeneous_concrete_01,concrete,MID_STANCE,slip,1324,,,-109.14652567975831,82,0
homogeneous_concrete_01,concrete,PUSH_OFF,slip,50,,,50.8,24,0
homogeneous_concrete_02,concrete,AIR,slip,1475,,,-19.31050847457627,529,0
homogeneous_concrete_02,concrete,TOUCHDOWN,slip,51,,,107.47058823529412,45,49
homogeneous_concrete_02,concrete,LOADING,slip,100,,,100.03,83,35
homogeneous_concrete_02,concrete,MID_STANCE,slip,1324,,,-109.14652567975831,82,0
homogeneous_concrete_02,concrete,PUSH_OFF,slip,50,,,50.8,24,0
walking_A_00,ice,AIR,slip,2449,,,29.888934258881175,1406,0
walking_A_00,ice,TOUCHDOWN,slip,128,,,72.828125,97,106
walking_A_00,ice,LOADING,slip,128,,,20.296875,72,128
walking_A_00,ice,MID_STANCE,slip,246,,,103.15853658536585,223,36
walking_A_00,ice,PUSH_OFF,slip,49,,,50.816326530612244,34,39
walking_A_01,ice,AIR,slip,2449,,,29.888934258881175,1406,0
walking_A_01,ice,TOUCHDOWN,slip,128,,,72.828125,97,106
walking_A_01,ice,LOADING,slip,128,,,20.296875,72,128
walking_A_01,ice,MID_STANCE,slip,246,,,103.15853658536585,223,36
walking_A_01,ice,PUSH_OFF,slip,49,,,50.816326530612244,34,39
walking_A_02,ice,AIR,slip,2449,,,29.888934258881175,1406,0
walking_A_02,ice,TOUCHDOWN,slip,128,,,72.828125,97,106
walking_A_02,ice,LOADING,slip,128,,,20.296875,72,128
walking_A_02,ice,MID_STANCE,slip,246,,,103.15853658536585,223,36
walking_A_02,ice,PUSH_OFF,slip,49,,,50.816326530612244,34,39
walking_B_00,sand,AIR,slip,2446,,,58.09484873262469,1636,0
walking_B_00,sand,TOUCHDOWN,slip,165,,,79.01818181818182,119,137
walking_B_00,sand,LOADING,slip,100,,,63.25,75,100
walking_B_00,sand,MID_STANCE,slip,254,,,95.87795275590551,223,44
walking_B_00,sand,PUSH_OFF,slip,35,,,25.428571428571427,21,22
walking_B_01,sand,AIR,slip,2446,,,58.09484873262469,1636,0
walking_B_01,sand,TOUCHDOWN,slip,165,,,79.01818181818182,119,137
walking_B_01,sand,LOADING,slip,100,,,63.25,75,100
walking_B_01,sand,MID_STANCE,slip,254,,,95.87795275590551,223,44
walking_B_01,sand,PUSH_OFF,slip,35,,,25.428571428571427,21,22
walking_B_02,sand,AIR,slip,2446,,,58.09484873262469,1636,0
walking_B_02,sand,TOUCHDOWN,slip,165,,,79.01818181818182,119,137
walking_B_02,sand,LOADING,slip,100,,,63.25,75,100
walking_B_02,sand,MID_STANCE,slip,254,,,95.87795275590551,223,44
walking_B_02,sand,PUSH_OFF,slip,35,,,25.428571428571427,21,22
walking_C_00,marble,AIR,slip,2720,,,55.41544117647059,1844,0
walking_C_00,marble,TOUCHDOWN,slip,135,,,-23.11111111111111,48,131
walking_C_00,marble,LOADING,slip,65,,,63.246153846153845,47,65
walking_C_00,marble,MID_STANCE,slip,57,,,67.57894736842105,37,57
walking_C_00,marble,PUSH_OFF,slip,23,,,25.130434782608695,13,23
walking_C_01,marble,AIR,slip,2720,,,55.41544117647059,1844,0
walking_C_01,marble,TOUCHDOWN,slip,135,,,-23.11111111111111,48,131
walking_C_01,marble,LOADING,slip,65,,,63.246153846153845,47,65
walking_C_01,marble,MID_STANCE,slip,57,,,67.57894736842105,37,57
walking_C_01,marble,PUSH_OFF,slip,23,,,25.130434782608695,13,23
