detector,window_ms,condition,evaluation_domain,train_samples,train_runs,validation_samples,validation_runs,class_balance,normalization_source,seed,feature_definition,parameters,endpoint_balanced_accuracy,endpoint_recall,endpoint_false_positive_rate,confusion_json,walking_normal_fp_runs,walking_positive_run_recall,walking_anticipation_runs,reload_parity,production_candidate
terrain,50,walking_only,walking_v02,1632,36,31712,18,balanced logistic class weights; walking class+phase sample balance,walking train only,20260820,causal 50 ms 80-stat Fusion10 probe,324,0.7786974937437638,0.6395027624309392,,"[[3241, 729, 135, 963], [710, 3696, 166, 464], [50, 85, 5492, 49], [1890, 1308, 406, 12328]]",,0.7806823915237134,,True,False
terrain,50,controlled_only,walking_v02,1437,1437,31712,18,balanced logistic class weights; walking class+phase sample balance,static train only,20260820,causal 50 ms 80-stat Fusion10 probe,324,0.25015052950841676,0.004735595895816891,,"[[24, 386, 2, 4656], [26, 353, 2, 4655], [126, 2637, 780, 2133], [43, 2467, 862, 12560]]",,0.4325491927346115,,True,False
terrain,50,walking_only,static_validation,1632,36,479,479,balanced logistic class weights; walking class+phase sample balance,walking train only,20260820,causal 50 ms 80-stat Fusion10 probe,324,0.25,0.0,,"[[0, 0, 0, 120], [1, 0, 0, 119], [23, 31, 0, 66], [0, 0, 0, 119]]",,,,True,False
terrain,50,controlled_only,static_validation,1437,1437,479,479,balanced logistic class weights; walking class+phase sample balance,static train only,20260820,causal 50 ms 80-stat Fusion10 probe,324,0.9791666666666666,0.95,,"[[118, 2, 0, 0], [3, 114, 3, 0], [0, 2, 118, 0], [0, 0, 0, 119]]",,,,True,False
terrain,50,unified_shared_normalization,walking_v02,3069,1473,31712,18,balanced logistic class weights; walking class+phase sample balance,combined static+walking train,20260820,causal 50 ms 80-stat Fusion10 probe,324,0.7647589417702422,0.627663772691397,,"[[3181, 606, 141, 1140], [620, 3464, 226, 726], [28, 180, 5449, 19], [1705, 1152, 592, 12483]]",,0.7750063067608476,,True,False
terrain,50,unified_shared_normalization,static_validation,3069,1473,479,479,balanced logistic class weights; walking class+phase sample balance,combined static+walking train,20260820,causal 50 ms 80-stat Fusion10 probe,324,0.7661589635854342,0.5916666666666667,,"[[71, 3, 0, 46], [11, 92, 9, 8], [0, 6, 114, 0], [27, 2, 0, 90]]",,,,True,False
terrain,50,unified_domain_specific_normalization,static_validation,3069,1473,479,479,balanced logistic class weights; walking class+phase sample balance,per-domain train moments,20260820,causal 50 ms 80-stat Fusion10 probe,324,0.9645833333333333,0.9,,"[[117, 3, 0, 0], [7, 108, 5, 0], [0, 2, 118, 0], [0, 0, 0, 119]]",,,,True,False
terrain,50,unified_domain_specific_normalization,walking_v02,3069,1473,31712,18,balanced logistic class weights; walking class+phase sample balance,per-domain train moments,20260820,causal 50 ms 80-stat Fusion10 probe,324,0.753553176792306,0.6033938437253354,,"[[3058, 924, 91, 995], [650, 3692, 90, 604], [30, 119, 5484, 43], [2340, 1735, 521, 11336]]",,0.7432517658930373,,True,False
terrain,50,gait_state_routed_walking,walking_v02,1632,36,31712,18,per-phase class-balanced,per-phase walking train,20260820,causal 50 ms 80-stat Fusion10 probe + phase route,1296,0.9019434302619107,0.8326052422557585,,"[[4437, 253, 82, 296], [549, 4193, 88, 206], [40, 134, 5419, 83], [570, 28, 279, 15055]]",,0.9177598385469223,,True,False
slip,5,walking_only,walking_v02,5508,36,29710,18,deterministic class-balanced; phase distribution retained and reported,walking train only,20260820,causal 80-stat Fusion10 probe,81,0.8852302889723376,0.8690647482014389,0.09860417025676374,"{""fn"": 91, ""fp"": 2861, ""tn"": 26154, ""tp"": 604}",9,1.0,3,True,False
slip,5,controlled_only,controlled_validation,450,135,9000,90,deterministic class-balanced; phase distribution retained and reported,controlled train only,20260820,causal 80-stat Fusion10 probe,81,0.8904100786628278,0.8739495798319328,0.09312942250627711,"{""fn"": 30, ""fp"": 816, ""tn"": 7946, ""tp"": 208}",,,,True,False
slip,5,controlled_only,walking_v02,450,135,29710,18,deterministic class-balanced; phase distribution retained and reported,controlled train only,20260820,causal 80-stat Fusion10 probe,81,0.4667935339820509,0.576978417266187,0.6433913493020851,"{""fn"": 294, ""fp"": 18668, ""tn"": 10347, ""tp"": 401}",9,1.0,3,True,False
slip,5,walking_only,controlled_validation,5508,36,9000,90,deterministic class-balanced; phase distribution retained and reported,walking train only,20260820,causal 80-stat Fusion10 probe,81,0.5,0.0,0.0,"{""fn"": 238, ""fp"": 0, ""tn"": 8762, ""tp"": 0}",,,,True,False
slip,5,unified_shared_normalization,controlled_validation,5958,171,9000,90,deterministic class-balanced; phase distribution retained and reported,combined controlled+walking train,20260820,causal 80-stat Fusion10 probe,81,0.701735818728313,0.4495798319327731,0.046108194476146995,"{""fn"": 131, ""fp"": 404, ""tn"": 8358, ""tp"": 107}",,,,True,False
slip,5,unified_shared_normalization,walking_v02,5958,171,29710,18,deterministic class-balanced; phase distribution retained and reported,combined controlled+walking train,20260820,causal 80-stat Fusion10 probe,81,0.8785609527198162,0.8863309352517985,0.12920902981216612,"{""fn"": 79, ""fp"": 3749, ""tn"": 25266, ""tp"": 616}",9,1.0,3,True,False
slip,5,unified_domain_specific_normalization,controlled_validation,5958,171,9000,90,deterministic class-balanced; phase distribution retained and reported,per-domain train moments,20260820,causal 80-stat Fusion10 probe,81,0.8356573170240477,0.7941176470588235,0.12280301301072814,"{""fn"": 49, ""fp"": 1076, ""tn"": 7686, ""tp"": 189}",,,,True,False
slip,5,unified_domain_specific_normalization,walking_v02,5958,171,29710,18,deterministic class-balanced; phase distribution retained and reported,per-domain train moments,20260820,causal 80-stat Fusion10 probe,81,0.8879011972224735,0.874820143884892,0.09901774943994486,"{""fn"": 87, ""fp"": 2873, ""tn"": 26142, ""tp"": 608}",9,1.0,3,True,False
slip,5,gait_state_routed_walking,walking_v02,5508,36,29710,18,within-phase class balanced where observable,walking train phase-specific,20260820,causal 80-stat Fusion10 probe + phase routing,324,0.8525161259928813,0.7913669064748201,0.08633465448905739,"{""fn"": 145, ""fp"": 2505, ""tn"": 26510, ""tp"": 550}",9,1.0,3,True,False
slip,10,walking_only,walking_v02,5508,36,29710,18,deterministic class-balanced; phase distribution retained and reported,walking train only,20260820,causal 80-stat Fusion10 probe,81,0.8919378093940495,0.879136690647482,0.09526107185938308,"{""fn"": 84, ""fp"": 2764, ""tn"": 26251, ""tp"": 611}",9,1.0,3,True,False
slip,10,controlled_only,controlled_validation,450,135,9000,90,deterministic class-balanced; phase distribution retained and reported,controlled train only,20260820,causal 80-stat Fusion10 probe,81,0.8897929178519159,0.8697478991596639,0.090162063455832,"{""fn"": 31, ""fp"": 790, ""tn"": 7972, ""tp"": 207}",,,,True,False
slip,10,controlled_only,walking_v02,450,135,29710,18,deterministic class-balanced; phase distribution retained and reported,controlled train only,20260820,causal 80-stat Fusion10 probe,81,0.6393037835800635,0.7611510791366907,0.48254351197656387,"{""fn"": 166, ""fp"": 14001, ""tn"": 15014, ""tp"": 529}",9,1.0,3,True,False
slip,10,walking_only,controlled_validation,5508,36,9000,90,deterministic class-balanced; phase distribution retained and reported,walking train only,20260820,causal 80-stat Fusion10 probe,81,0.5,0.0,0.0,"{""fn"": 238, ""fp"": 0, ""tn"": 8762, ""tp"": 0}",,,,True,False
