detector,window_ms,feature_set,group,profile,speed_mps,train_samples,train_runs,validation_samples,validation_runs,endpoint_balanced_accuracy,endpoint_recall,endpoint_fpr,walking_positive_run_recall,walking_detected_runs,walking_physical_positive_runs,walking_normal_fp_runs,anticipation_runs,latency_median_ms,latency_p95_ms,controlled_endpoint_recall,controlled_endpoint_fpr,threshold,threshold_source,runtime_persistence,mask_violation_samples,production_candidate
sink,20,Fusion10_raw_summary,aggregate,all,all,6000,36,29710,18,0.5005332503123663,0.002537212449255751,0.0014707118245230692,0.0,0,6,0,0,,,0.0,0.0,0.9798601341245963,v00/v01 walking hard-negative maximum + one float step,1,0,False
sink,20,Fusion10_raw_summary,profile_speed,sand_solref_interpolation_1of3,0.1,,,,,,,,0.0,0,1,,0,,,,,0.9798601341245963,v00/v01 walking hard-negative maximum + one float step,1,0,False
sink,20,Fusion10_raw_summary,profile_speed,sand_solref_interpolation_1of3,0.15,,,,,,,,0.0,0,1,,0,,,,,0.9798601341245963,v00/v01 walking hard-negative maximum + one float step,1,0,False
sink,20,Fusion10_raw_summary,profile_speed,sand_solref_interpolation_1of3,0.2,,,,,,,,0.0,0,1,,0,,,,,0.9798601341245963,v00/v01 walking hard-negative maximum + one float step,1,0,False
sink,20,Fusion10_raw_summary,profile_speed,sand_solref_interpolation_2of3,0.1,,,,,,,,0.0,0,1,,0,,,,,0.9798601341245963,v00/v01 walking hard-negative maximum + one float step,1,0,False
sink,20,Fusion10_raw_summary,profile_speed,sand_solref_interpolation_2of3,0.15,,,,,,,,0.0,0,1,,0,,,,,0.9798601341245963,v00/v01 walking hard-negative maximum + one float step,1,0,False
sink,20,Fusion10_raw_summary,profile_speed,sand_solref_interpolation_2of3,0.2,,,,,,,,0.0,0,1,,0,,,,,0.9798601341245963,v00/v01 walking hard-negative maximum + one float step,1,0,False
sink,20,Fusion10_plus_stateful_contact_reference,aggregate,all,all,6000,36,29710,18,0.6318050913638141,0.3159675236806495,0.05235734095302126,0.8333333333333334,5,6,8,6,0.0,0.0,,,0.9912345184051953,v00/v01 walking hard-negative maximum + one float step,1,0,False
sink,50,Fusion10_raw_summary,aggregate,all,all,6000,36,29710,18,0.4999401679289637,0.0010148849797023004,0.001134549121774939,0.5,3,6,0,2,669.0,1133.3999999999999,0.0,0.0,0.993474072687341,v00/v01 walking hard-negative maximum + one float step,1,0,False
sink,50,Fusion10_raw_summary,profile_speed,sand_solref_interpolation_1of3,0.1,,,,,,,,1.0,1,1,,0,578.0,,,,0.993474072687341,v00/v01 walking hard-negative maximum + one float step,1,0,False
