detector,window_ms,domain,task,region,samples,score_mean,score_p10,score_p50,score_p90,positive_samples,endpoint_balanced_accuracy,endpoint_recall,endpoint_fpr,causal_input_future_samples,future_used_for_target_only,standardized_mean_abs_shift
slip,5,controlled_validation,confirmed_event,normal_stable,7300,0.022240465952035368,0.019691887576516125,0.02099348766911746,0.02246176866014564,,,,,,,
slip,5,controlled_validation,confirmed_event,pre_onset,707,0.02859037886736813,0.019958008386060985,0.02223534316119996,0.05068242408438478,,,,,,,
slip,5,controlled_validation,confirmed_event,near_onset,340,0.04193250563571502,0.020581229964518808,0.024503442311442615,0.08119012944014765,,,,,,,
slip,5,controlled_validation,confirmed_event,post_oracle_onset,653,0.05181657908233434,0.021678587110475794,0.04109979924997326,0.09402675501251405,,,,,,,
slip,5,controlled_validation,confirmed_event,AIR,0,,,,,,,,,,,
slip,5,controlled_validation,confirmed_event,touchdown_transient,0,,,,,,,,,,,
slip,5,controlled_validation,confirmed_event,post_fall_censored,0,,,,,,,,,,,
slip,5,walking_v02,confirmed_event,normal_stable,25242,0.07203610842970888,0.002835635524440763,0.04369142437582936,0.16333697939790778,,,,,,,
slip,5,walking_v02,confirmed_event,pre_onset,152,0.5117129580385608,0.06331163135449494,0.49490693348299974,0.9959435272639149,,,,,,,
slip,5,walking_v02,confirmed_event,near_onset,60,0.25363596303289554,4.545155427385873e-05,0.016927313410075202,0.8570971569046891,,,,,,,
slip,5,walking_v02,confirmed_event,post_oracle_onset,4256,0.6843564826427414,0.057494489365648355,0.8225884465063221,0.9952191760908882,,,,,,,
slip,5,walking_v02,confirmed_event,AIR,22216,0.1538718668524736,0.017280884792089737,0.05447665019357642,0.4765197669243814,,,,,,,
slip,5,walking_v02,confirmed_event,touchdown_transient,2002,0.4740519749120309,0.01662710281323764,0.38904158237302794,0.9995596908262564,,,,,,,
slip,5,walking_v02,confirmed_event,post_fall_censored,0,,,,,,,,,,,
slip,5,walking_v02,risk_horizon_20ms,eligible_known_horizon,29651,0.17601416992694782,,,,969,0.8916750483163696,0.8813209494324046,0.09797085279966529,0,True,
slip,5,walking_v02,risk_horizon_50ms,eligible_known_horizon,29593,0.1907635228536321,,,,1323,0.8882765958641445,0.873015873015873,0.096462681287584,0,True,
