model,evaluation_domain,truth,prediction,count
frozen_terrain,d2209cd_v02_walking,concrete,concrete,0
frozen_terrain,d2209cd_v02_walking,concrete,marble,33
frozen_terrain,d2209cd_v02_walking,concrete,ice,174
frozen_terrain,d2209cd_v02_walking,concrete,sand,4861
frozen_terrain,d2209cd_v02_walking,marble,concrete,0
frozen_terrain,d2209cd_v02_walking,marble,marble,32
frozen_terrain,d2209cd_v02_walking,marble,ice,152
frozen_terrain,d2209cd_v02_walking,marble,sand,4852
frozen_terrain,d2209cd_v02_walking,ice,concrete,0
frozen_terrain,d2209cd_v02_walking,ice,marble,2387
frozen_terrain,d2209cd_v02_walking,ice,ice,562
frozen_terrain,d2209cd_v02_walking,ice,sand,2727
frozen_terrain,d2209cd_v02_walking,sand,concrete,0
frozen_terrain,d2209cd_v02_walking,sand,marble,1182
frozen_terrain,d2209cd_v02_walking,sand,ice,324
frozen_terrain,d2209cd_v02_walking,sand,sand,14426
float_candidate,d2209cd_v02_walking,concrete,concrete,0
float_candidate,d2209cd_v02_walking,concrete,marble,33
float_candidate,d2209cd_v02_walking,concrete,ice,174
float_candidate,d2209cd_v02_walking,concrete,sand,4861
float_candidate,d2209cd_v02_walking,marble,concrete,0
float_candidate,d2209cd_v02_walking,marble,marble,32
float_candidate,d2209cd_v02_walking,marble,ice,152
float_candidate,d2209cd_v02_walking,marble,sand,4852
float_candidate,d2209cd_v02_walking,ice,concrete,0
float_candidate,d2209cd_v02_walking,ice,marble,2369
float_candidate,d2209cd_v02_walking,ice,ice,560
float_candidate,d2209cd_v02_walking,ice,sand,2747
float_candidate,d2209cd_v02_walking,sand,concrete,0
float_candidate,d2209cd_v02_walking,sand,marble,1136
float_candidate,d2209cd_v02_walking,sand,ice,320
float_candidate,d2209cd_v02_walking,sand,sand,14476
