split,terrain_class,gait_phase,support_foot,samples,runs,episodes
train,concrete,TOUCHDOWN,left,102,6,31
train,concrete,LOADING,left,210,6,33
train,concrete,MID_STANCE,left,2750,6,33
train,concrete,PUSH_OFF,left,107,6,33
train,marble,TOUCHDOWN,left,104,6,34
train,marble,LOADING,left,215,6,34
train,marble,MID_STANCE,left,2726,6,33
train,marble,PUSH_OFF,left,110,6,33
train,ice,TOUCHDOWN,left,1002,6,363
train,ice,LOADING,left,798,6,126
train,ice,MID_STANCE,left,1595,6,58
train,ice,PUSH_OFF,left,245,6,65
train,sand,TOUCHDOWN,left,301,18,88
train,sand,LOADING,left,652,18,104
train,sand,MID_STANCE,left,8451,18,95
train,sand,PUSH_OFF,left,313,18,95
validation,concrete,TOUCHDOWN,left,162,3,15
validation,concrete,LOADING,left,300,3,15
validation,concrete,MID_STANCE,left,4456,3,15
validation,concrete,PUSH_OFF,left,150,3,15
validation,marble,TOUCHDOWN,left,157,3,17
validation,marble,LOADING,left,300,3,15
validation,marble,MID_STANCE,left,4429,3,15
validation,marble,PUSH_OFF,left,150,3,15
validation,ice,TOUCHDOWN,left,1507,3,202
validation,ice,LOADING,left,1138,3,61
validation,ice,MID_STANCE,left,2666,3,29
validation,ice,PUSH_OFF,left,365,3,34
validation,sand,TOUCHDOWN,left,497,9,49
validation,sand,LOADING,left,915,9,48
validation,sand,MID_STANCE,left,14070,9,45
validation,sand,PUSH_OFF,left,450,9,45
