view,probe,evaluation_domain,train_samples,validation_samples,train_runs,seed,parameters,normalization_source,production_candidate,accuracy,macro_accuracy,worst_class_recall,majority_class_prediction_rate,class_recall_json,prediction_distribution_json,collapse
all_loaded,logistic_regression,walking_v02,19681,31712,36,20260820,324,walking diagnostic train view only,False,0.8820320383451059,0.8772030355658169,0.8177124702144559,0.45790237134207873,"{""concrete"": 0.8281373322809787, ""ice"": 0.9774489076814659, ""marble"": 0.8177124702144559, ""sand"": 0.885513432086367}","{""concrete"": 0.18904515640766903, ""ice"": 0.20131180625630676, ""marble"": 0.1517406659939455, ""sand"": 0.45790237134207873}",False
all_loaded,logistic_regression,static_validation,19681,479,36,20260820,324,walking diagnostic train view only,False,0.24843423799582465,0.25,0.0,0.8977035490605428,"{""concrete"": 0.0, ""ice"": 0.0, ""marble"": 0.0, ""sand"": 1.0}","{""concrete"": 0.014613778705636743, ""ice"": 0.0, ""marble"": 0.08768267223382047, ""sand"": 0.8977035490605428}",True
all_loaded,shrinkage_LDA,walking_v02,19681,31712,36,20260820,324,LDA internal covariance; walking train view only,False,0.7236377396569122,0.580347462155343,0.08622730860299921,0.7283678102926338,"{""concrete"": 0.08622730860299921, ""ice"": 0.9622973925299507, ""marble"": 0.29646544876886416, ""sand"": 0.9763996987195581}","{""concrete"": 0.018226538849646822, ""ice"": 0.18642785065590312, ""marble"": 0.06697780020181635, ""sand"": 0.7283678102926338}",True
all_loaded,shrinkage_LDA,static_validation,19681,479,36,20260820,324,LDA internal covariance; walking train view only,False,0.2609603340292276,0.2625,0.0,0.9812108559498957,"{""concrete"": 0.0, ""ice"": 0.05, ""marble"": 0.0, ""sand"": 1.0}","{""concrete"": 0.0, ""ice"": 0.018789144050104383, ""marble"": 0.0, ""sand"": 0.9812108559498957}",True
touchdown_first_50ms,logistic_regression,walking_v02,4465,6640,36,20260820,324,walking diagnostic train view only,False,0.8730421686746987,0.8415567133083668,0.792,0.5135542168674698,"{""concrete"": 0.792, ""ice"": 0.9664902998236331, ""marble"": 0.7992073976221928, ""sand"": 0.8085291557876414}","{""concrete"": 0.09683734939759037, ""ice"": 0.5135542168674698, ""marble"": 0.09683734939759037, ""sand"": 0.2927710843373494}",False
touchdown_first_50ms,logistic_regression,static_validation,4465,479,36,20260820,324,walking diagnostic train view only,False,0.36325678496868474,0.3645833333333333,0.0,0.8684759916492694,"{""concrete"": 0.0, ""ice"": 0.4583333333333333, ""marble"": 0.0, ""sand"": 1.0}","{""concrete"": 0.0, ""ice"": 0.12943632567849686, ""marble"": 0.0020876826722338203, ""sand"": 0.8684759916492694}",True
touchdown_first_50ms,shrinkage_LDA,walking_v02,4465,6640,36,20260820,324,LDA internal covariance; walking train view only,False,0.8466867469879518,0.7753459022242457,0.5997357992073976,0.4799698795180723,"{""concrete"": 0.7066666666666667, ""ice"": 0.9555555555555556, ""marble"": 0.5997357992073976, ""sand"": 0.839425587467363}","{""concrete"": 0.09683734939759037, ""ice"": 0.4799698795180723, ""marble"": 0.07364457831325301, ""sand"": 0.34954819277108434}",False
touchdown_first_50ms,shrinkage_LDA,static_validation,4465,479,36,20260820,324,LDA internal covariance; walking train view only,False,0.44676409185803756,0.4474789915966386,0.0,0.7411273486430062,"{""concrete"": 0.0, ""ice"": 1.0, ""marble"": 0.0, ""sand"": 0.7899159663865546}","{""concrete"": 0.0, ""ice"": 0.7411273486430062, ""marble"": 0.0, ""sand"": 0.2588726513569937}",True
loading,logistic_regression,walking_v02,1875,2653,36,20260820,324,walking diagnostic train view only,False,0.8703354692800603,0.8397698003399694,0.7866666666666666,0.5043347154165096,"{""concrete"": 0.7866666666666666, ""ice"": 0.9472759226713533, ""marble"": 0.8, ""sand"": 0.825136612021858}","{""concrete"": 0.0968714662646061, ""ice"": 0.5043347154165096, ""marble"": 0.09234828496042216, ""sand"": 0.30644553335846214}",False
loading,logistic_regression,static_validation,1875,479,36,20260820,324,walking diagnostic train view only,False,0.24843423799582465,0.25,0.0,1.0,"{""concrete"": 0.0, ""ice"": 0.0, ""marble"": 0.0, ""sand"": 1.0}","{""concrete"": 0.0, ""ice"": 0.0, ""marble"": 0.0, ""sand"": 1.0}",True
