analysis,class_a,class_b,feature,value
within_class_dispersion,concrete,,all,5.902422649655705
within_class_dispersion,marble,,all,6.109677425413508
within_class_dispersion,ice,,all,11.71764817790285
within_class_dispersion,sand,,all,4.856306806296314
centroid_distance,concrete,marble,all,0.6821251143559495
centroid_distance,concrete,ice,all,7.469576025813645
centroid_distance,concrete,sand,all,1.2694366015175373
centroid_distance,marble,ice,all,7.252905903454412
centroid_distance,marble,sand,all,1.4405267191797562
centroid_distance,ice,sand,all,7.281355876996736
per_feature_fisher_ratio,all,all,mean__foot_force_1,0.16663553703188597
per_feature_fisher_ratio,all,all,mean__foot_force_2,0.11966264260763224
per_feature_fisher_ratio,all,all,mean__foot_force_3,0.11308380535546238
per_feature_fisher_ratio,all,all,mean__foot_force_4,0.5508183170418042
per_feature_fisher_ratio,all,all,mean__accel_x,0.046052989584912184
per_feature_fisher_ratio,all,all,mean__accel_y,0.09785912905429202
per_feature_fisher_ratio,all,all,mean__accel_z,0.004651614679691049
per_feature_fisher_ratio,all,all,mean__gyro_x,0.03851574363906408
per_feature_fisher_ratio,all,all,mean__gyro_y,0.06604152390474288
per_feature_fisher_ratio,all,all,mean__gyro_z,0.0487732182836983
per_feature_fisher_ratio,all,all,std__foot_force_1,0.04361137400260249
per_feature_fisher_ratio,all,all,std__foot_force_2,0.1690254539960301
per_feature_fisher_ratio,all,all,std__foot_force_3,0.12382591610074278
per_feature_fisher_ratio,all,all,std__foot_force_4,0.3505067069907628
per_feature_fisher_ratio,all,all,std__accel_x,0.49065585375531473
per_feature_fisher_ratio,all,all,std__accel_y,0.38754171522819514
per_feature_fisher_ratio,all,all,std__accel_z,0.18340583072222805
per_feature_fisher_ratio,all,all,std__gyro_x,0.3552683990934808
per_feature_fisher_ratio,all,all,std__gyro_y,0.02420323490354578
per_feature_fisher_ratio,all,all,std__gyro_z,0.37797394577881943
per_feature_fisher_ratio,all,all,minimum__foot_force_1,0.09469129361009196
per_feature_fisher_ratio,all,all,minimum__foot_force_2,0.06891114966469974
per_feature_fisher_ratio,all,all,minimum__foot_force_3,0.0483083046140142
per_feature_fisher_ratio,all,all,minimum__foot_force_4,0.005749006758963004
per_feature_fisher_ratio,all,all,minimum__accel_x,0.1821545702387198
per_feature_fisher_ratio,all,all,minimum__accel_y,0.08021317718934583
per_feature_fisher_ratio,all,all,minimum__accel_z,0.580337055346739
per_feature_fisher_ratio,all,all,minimum__gyro_x,0.0504000252948473
per_feature_fisher_ratio,all,all,minimum__gyro_y,0.00547154435872228
per_feature_fisher_ratio,all,all,minimum__gyro_z,0.3176077680112918
per_feature_fisher_ratio,all,all,maximum__foot_force_1,0.10439475578840512
per_feature_fisher_ratio,all,all,maximum__foot_force_2,0.13550436741430982
per_feature_fisher_ratio,all,all,maximum__foot_force_3,0.11816956631128885
per_feature_fisher_ratio,all,all,maximum__foot_force_4,0.47696327953179324
per_feature_fisher_ratio,all,all,maximum__accel_x,0.664274648779552
per_feature_fisher_ratio,all,all,maximum__accel_y,0.40310074783005845
per_feature_fisher_ratio,all,all,maximum__accel_z,0.022387053757252976
per_feature_fisher_ratio,all,all,maximum__gyro_x,0.37907570324703815
per_feature_fisher_ratio,all,all,maximum__gyro_y,0.17462485536495517
per_feature_fisher_ratio,all,all,maximum__gyro_z,0.02585960513134343
per_feature_fisher_ratio,all,all,first__foot_force_1,0.08393083288678306
per_feature_fisher_ratio,all,all,first__foot_force_2,0.06550442995520736
per_feature_fisher_ratio,all,all,first__foot_force_3,0.02772364348313366
