run_id,condition_name,terrain_name,profile_name,acquisition_role,walking_speed_mps,replicate_index,duration_s,sample_count,effective_friction,effective_solref,effective_solimp,contact_episode_count,stable_loaded_episode_count_pre_fall,stable_loaded_contact_pre_fall,fall_occurred,first_fall_sample,first_fall_time_s,fall_reason,nonfoot_contact_observed,forward_displacement_m,finite_state
marble_native_0p10_r00,marble_native,marble,marble,hard_negative,0.1,0,3.0,3000,0.45|0.003|0.0001,0.015|1,0.95|0.99|0.001|0.5|2,6,5,True,False,,,,False,0.27453411402588546,True
concrete_native_0p10_r00,concrete_native,concrete,concrete,hard_negative,0.1,0,3.0,3000,1|0.005|0.0001,0.015|1,0.95|0.99|0.001|0.5|2,6,5,True,False,,,,False,0.27172400069103164,True
sand_hardened_0p10_r00,sand_hardened,sand,sand_walking_support_v1_hardened,hard_negative,0.1,0,3.0,3000,0.7|0.01|0.001,0.015|1,0.7|0.9|0.01|0.5|2,6,5,True,False,,,,False,0.22407769279394102,True
ice_native_0p10_r00,ice_native,ice,ice,slip_candidate,0.1,0,3.0,3000,0.05|0.001|1e-05,0.015|1,0.95|0.99|0.001|0.5|2,58,11,True,False,,,,False,0.19057095520940717,True
marble_native_0p15_r00,marble_native,marble,marble,hard_negative,0.15,0,3.0,3000,0.45|0.003|0.0001,0.015|1,0.95|0.99|0.001|0.5|2,7,5,True,False,,,,False,0.4020906711589115,True
concrete_native_0p15_r00,concrete_native,concrete,concrete,hard_negative,0.15,0,3.0,3000,1|0.005|0.0001,0.015|1,0.95|0.99|0.001|0.5|2,6,5,True,False,,,,False,0.3960817459549346,True
sand_hardened_0p15_r00,sand_hardened,sand,sand_walking_support_v1_hardened,hard_negative,0.15,0,3.0,3000,0.7|0.01|0.001,0.015|1,0.7|0.9|0.01|0.5|2,6,5,True,False,,,,False,0.3477159745347049,True
ice_native_0p15_r00,ice_native,ice,ice,slip_candidate,0.15,0,3.0,3000,0.05|0.001|1e-05,0.015|1,0.95|0.99|0.001|0.5|2,77,10,True,False,,,,False,0.28192566409769665,True
marble_native_0p20_r00,marble_native,marble,marble,hard_negative,0.2,0,3.0,3000,0.45|0.003|0.0001,0.015|1,0.95|0.99|0.001|0.5|2,7,5,True,False,,,,False,0.5279021474795191,True
concrete_native_0p20_r00,concrete_native,concrete,concrete,hard_negative,0.2,0,3.0,3000,1|0.005|0.0001,0.015|1,0.95|0.99|0.001|0.5|2,6,5,True,False,,,,False,0.5231952951687829,True
sand_hardened_0p20_r00,sand_hardened,sand,sand_walking_support_v1_hardened,hard_negative,0.2,0,3.0,3000,0.7|0.01|0.001,0.015|1,0.7|0.9|0.01|0.5|2,6,5,True,False,,,,False,0.4714190585082444,True
ice_native_0p20_r00,ice_native,ice,ice,slip_candidate,0.2,0,3.0,3000,0.05|0.001|1e-05,0.015|1,0.95|0.99|0.001|0.5|2,74,13,True,False,,,,False,0.18987087607243974,True
sand_solref_interpolation_1of3_0p10_r00,sand_solref_interpolation_1of3,sand,sand_solref_interpolation_1of3,sink_candidate,0.1,0,3.0,3000,0.7|0.01|0.001,0.0266666667|1.16666667,0.7|0.9|0.01|0.5|2,6,5,True,False,,,,False,0.22886885001348753,True
sand_solref_interpolation_2of3_0p10_r00,sand_solref_interpolation_2of3,sand,sand_solref_interpolation_2of3,sink_candidate,0.1,0,3.0,3000,0.7|0.01|0.001,0.0383333333|1.33333333,0.7|0.9|0.01|0.5|2,6,5,True,False,,,,False,0.2330587009864842,True
sand_native_0p10_r00,sand_native,sand,sand_native,sink_candidate,0.1,0,3.0,3000,0.7|0.01|0.001,0.05|1.5,0.7|0.9|0.01|0.5|2,8,4,True,True,2783,2.784000000000097,fallen_base_height,False,-0.1029938163277751,True
sand_slightly_compliant_0p10_r00,sand_slightly_compliant,sand,sand_slightly_compliant,sink_candidate,0.1,0,3.0,3000,0.7|0.01|0.001,0.06|1.5,0.65|0.88|0.012|0.5|2,4,2,True,True,1626,1.6269999999998763,fallen_base_height,False,-1.7001037832223345,True
sand_moderately_compliant_0p10_r00,sand_moderately_compliant,sand,sand_moderately_compliant,sink_candidate,0.1,0,3.0,3000,0.7|0.01|0.001,0.07|1.5,0.6|0.86|0.015|0.5|2,4,2,True,True,1595,1.5959999999998797,fallen_base_height,False,-1.2768153758994574,True
