source,run_id,AIR_firing_samples,touchdown_firing_samples,post_fall_firing_samples,invalid_firing_samples
slip_D_runtime,marble_native_0p10_v02,0,0,0,0
slip_D_runtime,concrete_native_0p10_v02,0,0,0,0
slip_D_runtime,sand_hardened_0p10_v02,0,0,0,0
slip_D_runtime,ice_native_0p10_v02,0,0,0,0
slip_D_runtime,sand_solref_interpolation_1of3_0p10_v02,0,0,0,0
slip_D_runtime,sand_solref_interpolation_2of3_0p10_v02,0,0,0,0
slip_D_runtime,marble_native_0p15_v02,0,0,0,0
slip_D_runtime,concrete_native_0p15_v02,0,0,0,0
slip_D_runtime,sand_hardened_0p15_v02,0,0,0,0
slip_D_runtime,ice_native_0p15_v02,0,0,0,0
slip_D_runtime,sand_solref_interpolation_1of3_0p15_v02,0,0,0,0
slip_D_runtime,sand_solref_interpolation_2of3_0p15_v02,0,0,0,0
slip_D_runtime,marble_native_0p20_v02,0,0,0,0
slip_D_runtime,concrete_native_0p20_v02,0,0,0,0
slip_D_runtime,sand_hardened_0p20_v02,0,0,0,0
slip_D_runtime,ice_native_0p20_v02,0,0,0,0
slip_D_runtime,sand_solref_interpolation_1of3_0p20_v02,0,0,0,0
slip_D_runtime,sand_solref_interpolation_2of3_0p20_v02,0,0,0,0
A_penetration_risk,marble_native_0p10_v02,0,0,0,0
A_penetration_risk,concrete_native_0p10_v02,0,0,0,0
A_penetration_risk,sand_hardened_0p10_v02,0,0,0,0
A_penetration_risk,ice_native_0p10_v02,0,0,0,0
A_penetration_risk,sand_solref_interpolation_1of3_0p10_v02,0,0,0,0
A_penetration_risk,sand_solref_interpolation_2of3_0p10_v02,0,0,0,0
A_penetration_risk,marble_native_0p15_v02,0,0,0,0
A_penetration_risk,concrete_native_0p15_v02,0,0,0,0
A_penetration_risk,sand_hardened_0p15_v02,0,0,0,0
A_penetration_risk,ice_native_0p15_v02,0,0,0,0
A_penetration_risk,sand_solref_interpolation_1of3_0p15_v02,0,0,0,0
A_penetration_risk,sand_solref_interpolation_2of3_0p15_v02,0,0,0,0
A_penetration_risk,marble_native_0p20_v02,0,0,0,0
A_penetration_risk,concrete_native_0p20_v02,0,0,0,0
A_penetration_risk,sand_hardened_0p20_v02,0,0,0,0
A_penetration_risk,ice_native_0p20_v02,0,0,0,0
A_penetration_risk,sand_solref_interpolation_1of3_0p20_v02,0,0,0,0
A_penetration_risk,sand_solref_interpolation_2of3_0p20_v02,0,0,0,0
B_support_degradation_risk,marble_native_0p10_v02,0,0,0,0
B_support_degradation_risk,concrete_native_0p10_v02,0,0,0,0
B_support_degradation_risk,sand_hardened_0p10_v02,0,0,0,0
B_support_degradation_risk,ice_native_0p10_v02,0,0,0,0
B_support_degradation_risk,sand_solref_interpolation_1of3_0p10_v02,0,0,0,0
B_support_degradation_risk,sand_solref_interpolation_2of3_0p10_v02,0,0,0,0
B_support_degradation_risk,marble_native_0p15_v02,0,0,0,0
B_support_degradation_risk,concrete_native_0p15_v02,0,0,0,0
B_support_degradation_risk,sand_hardened_0p15_v02,0,0,0,0
B_support_degradation_risk,ice_native_0p15_v02,0,0,0,0
B_support_degradation_risk,sand_solref_interpolation_1of3_0p15_v02,0,0,0,0
B_support_degradation_risk,sand_solref_interpolation_2of3_0p15_v02,0,0,0,0
B_support_degradation_risk,marble_native_0p20_v02,0,0,0,0
B_support_degradation_risk,concrete_native_0p20_v02,0,0,0,0
B_support_degradation_risk,sand_hardened_0p20_v02,0,0,0,0
B_support_degradation_risk,ice_native_0p20_v02,0,0,0,0
B_support_degradation_risk,sand_solref_interpolation_1of3_0p20_v02,0,0,0,0
B_support_degradation_risk,sand_solref_interpolation_2of3_0p20_v02,0,0,0,0
C_recovery_required_sink,marble_native_0p10_v02,0,0,0,0
C_recovery_required_sink,concrete_native_0p10_v02,0,0,0,0
C_recovery_required_sink,sand_hardened_0p10_v02,0,0,0,0
C_recovery_required_sink,ice_native_0p10_v02,0,0,0,0
C_recovery_required_sink,sand_solref_interpolation_1of3_0p10_v02,0,0,0,0
C_recovery_required_sink,sand_solref_interpolation_2of3_0p10_v02,0,0,0,0
C_recovery_required_sink,marble_native_0p15_v02,0,0,0,0
C_recovery_required_sink,concrete_native_0p15_v02,0,0,0,0
C_recovery_required_sink,sand_hardened_0p15_v02,0,0,0,0
C_recovery_required_sink,ice_native_0p15_v02,0,0,0,0
C_recovery_required_sink,sand_solref_interpolation_1of3_0p15_v02,0,0,0,0
C_recovery_required_sink,sand_solref_interpolation_2of3_0p15_v02,0,0,0,0
C_recovery_required_sink,marble_native_0p20_v02,0,0,0,0
C_recovery_required_sink,concrete_native_0p20_v02,0,0,0,0
C_recovery_required_sink,sand_hardened_0p20_v02,0,0,0,0
C_recovery_required_sink,ice_native_0p20_v02,0,0,0,0
C_recovery_required_sink,sand_solref_interpolation_1of3_0p20_v02,0,0,0,0
C_recovery_required_sink,sand_solref_interpolation_2of3_0p20_v02,0,0,0,0
