detector,run_id,profile,speed_mps,event_index,physical_onset_sample,aligned_risk_sample,reaction_time_margin_ms,pre_onset_warning
slip,ice_native_0p10_v02,ice,0.1,0,158,149,9,True
slip,ice_native_0p10_v02,ice,0.1,1,213,149,64,True
slip,ice_native_0p10_v02,ice,0.1,2,293,207,86,True
slip,ice_native_0p10_v02,ice,0.1,3,1313,,,False
slip,ice_native_0p10_v02,ice,0.1,4,1475,,,False
slip,ice_native_0p10_v02,ice,0.1,5,1909,,,False
slip,ice_native_0p10_v02,ice,0.1,6,1964,,,False
slip,ice_native_0p10_v02,ice,0.1,7,2529,2469,60,True
slip,ice_native_0p10_v02,ice,0.1,8,2568,2469,99,True
slip,ice_native_0p10_v02,ice,0.1,9,2582,2482,100,True
slip,ice_native_0p15_v02,ice,0.15,0,158,145,13,True
slip,ice_native_0p15_v02,ice,0.15,1,177,145,32,True
slip,ice_native_0p15_v02,ice,0.15,2,1313,,,False
slip,ice_native_0p15_v02,ice,0.15,3,1414,,,False
slip,ice_native_0p15_v02,ice,0.15,4,1527,,,False
slip,ice_native_0p15_v02,ice,0.15,5,1921,,,False
slip,ice_native_0p15_v02,ice,0.15,6,1945,,,False
slip,ice_native_0p15_v02,ice,0.15,7,2992,,,False
slip,ice_native_0p20_v02,ice,0.2,0,159,150,9,True
slip,ice_native_0p20_v02,ice,0.2,1,323,,,False
slip,ice_native_0p20_v02,ice,0.2,2,1440,,,False
