row_type,candidate_id,all_validation_positive_runs,all_validation_negative_runs,positive_target_runs,negative_target_runs,normal_positive_overlap_runs,cross_hazard_slip_candidate_positive_runs,profile_speed_coverage,stable_prefall_positive_runs,positive_duration_ms,onset_count,fall_confounded_samples,invalid_contamination_samples,physical_independent_of_fusion10,validity_gate_uses_loaded_contact_but_positive_criterion_is_physical,reproducible_fixed_definition,physical_label_ready,minimum_locked_score_separation_evidence,operational_label_ready,normal_fp_not_renamed,fast_reflex_reason,closed_loop_recovery_effect_claimed,run_id,role,profile,speed_mps,positive_run,positive_samples,first_onset_sample,normal_overlap,stable_prefall_positive,locked_score,locked_threshold,negative_samples,sample_auroc,positive_score_median,stable_negative_score_p95,median_minus_negative_p95,detected_target_runs_at_locked_threshold,normal_score_fp_runs_at_locked_threshold,minimum_separation_evidence_pass
aggregate,A_penetration_risk,9,9,6,0,0,3,"{""sand_solref_interpolation_1of3"": {""0.10"": 1, ""0.15"": 1, ""0.20"": 1}, ""sand_solref_interpolation_2of3"": {""0.10"": 1, ""0.15"": 1, ""0.20"": 1}}",6,5912,37,0,0,True,True,True,True,False,False,True,penetration plus support/base degradation could justify unloading or recovery arbitration; benefit remains untested,False,,,,,,,,,,,,,,,,,,,
run,A_penetration_risk,,,,,,,,,,0,0,0,,,,,,,,,,marble_native_0p10_v02,hard_negative,marble,0.1,False,0,,False,False,,,,,,,,,,
run,A_penetration_risk,,,,,,,,,,0,0,0,,,,,,,,,,concrete_native_0p10_v02,hard_negative,concrete,0.1,False,0,,False,False,,,,,,,,,,
run,A_penetration_risk,,,,,,,,,,0,0,0,,,,,,,,,,sand_hardened_0p10_v02,hard_negative,sand_walking_support_v1_hardened,0.1,False,0,,False,False,,,,,,,,,,
run,A_penetration_risk,,,,,,,,,,3,0,0,,,,,,,,,,ice_native_0p10_v02,slip_candidate,ice,0.1,True,30,1276,False,True,,,,,,,,,,
run,A_penetration_risk,,,,,,,,,,5,0,0,,,,,,,,,,sand_solref_interpolation_1of3_0p10_v02,sink_candidate,sand_solref_interpolation_1of3,0.1,True,437,857,False,True,,,,,,,,,,
run,A_penetration_risk,,,,,,,,,,5,0,0,,,,,,,,,,sand_solref_interpolation_2of3_0p10_v02,sink_candidate,sand_solref_interpolation_2of3,0.1,True,1506,188,False,True,,,,,,,,,,
run,A_penetration_risk,,,,,,,,,,0,0,0,,,,,,,,,,marble_native_0p15_v02,hard_negative,marble,0.15,False,0,,False,False,,,,,,,,,,
run,A_penetration_risk,,,,,,,,,,0,0,0,,,,,,,,,,concrete_native_0p15_v02,hard_negative,concrete,0.15,False,0,,False,False,,,,,,,,,,
run,A_penetration_risk,,,,,,,,,,0,0,0,,,,,,,,,,sand_hardened_0p15_v02,hard_negative,sand_walking_support_v1_hardened,0.15,False,0,,False,False,,,,,,,,,,
run,A_penetration_risk,,,,,,,,,,2,0,0,,,,,,,,,,ice_native_0p15_v02,slip_candidate,ice,0.15,True,26,1272,False,True,,,,,,,,,,
run,A_penetration_risk,,,,,,,,,,7,0,0,,,,,,,,,,sand_solref_interpolation_1of3_0p15_v02,sink_candidate,sand_solref_interpolation_1of3,0.15,True,570,249,False,True,,,,,,,,,,
run,A_penetration_risk,,,,,,,,,,5,0,0,,,,,,,,,,sand_solref_interpolation_2of3_0p15_v02,sink_candidate,sand_solref_interpolation_2of3,0.15,True,1491,188,False,True,,,,,,,,,,
run,A_penetration_risk,,,,,,,,,,0,0,0,,,,,,,,,,marble_native_0p20_v02,hard_negative,marble,0.2,False,0,,False,False,,,,,,,,,,
run,A_penetration_risk,,,,,,,,,,0,0,0,,,,,,,,,,concrete_native_0p20_v02,hard_negative,concrete,0.2,False,0,,False,False,,,,,,,,,,
run,A_penetration_risk,,,,,,,,,,0,0,0,,,,,,,,,,sand_hardened_0p20_v02,hard_negative,sand_walking_support_v1_hardened,0.2,False,0,,False,False,,,,,,,,,,
run,A_penetration_risk,,,,,,,,,,1,0,0,,,,,,,,,,ice_native_0p20_v02,slip_candidate,ice,0.2,True,11,2481,False,True,,,,,,,,,,
run,A_penetration_risk,,,,,,,,,,4,0,0,,,,,,,,,,sand_solref_interpolation_1of3_0p20_v02,sink_candidate,sand_solref_interpolation_1of3,0.2,True,349,242,False,True,,,,,,,,,,
run,A_penetration_risk,,,,,,,,,,5,0,0,,,,,,,,,,sand_solref_interpolation_2of3_0p20_v02,sink_candidate,sand_solref_interpolation_2of3,0.2,True,1492,189,False,True,,,,,,,,,,
locked_score_separability,A_penetration_risk,,,6,,,,,,,,,,,,,,,,,,,,,,,,5912,,,,A_stateless_20ms,0.9999999995857579,23798,0.5406309444704931,0.018075842060001387,0.7718917165451645,-0.7538158744851632,0,0,False
locked_score_separability,A_penetration_risk,,,6,,,,,,,,,,,,,,,,,,,,,,,,5912,,,,B_causal_50ms,0.999998989924307,23798,0.4696072980513367,0.0037415704220024413,0.49548089774074355,-0.4917393273187411,0,0,False
locked_score_separability,A_penetration_risk,,,6,,,,,,,,,,,,,,,,,,,,,,,,5912,,,,C_dual_history_200ms,0.9,23798,0.5824552963878089,0.0072422462653699265,0.7495298784251058,-0.7422876321597358,0,9,False
locked_score_separability,A_penetration_risk,,,6,,,,,,,,,,,,,,,,,,,,,,,,5912,,,,D_touchdown_stateful_200ms,0.9,23798,0.642741523974735,0.005853690314286115,0.607497557977728,-0.6016438676634419,0,9,False
aggregate,B_support_degradation_risk,0,18,0,6,0,0,"{""sand_solref_interpolation_1of3"": {""0.10"": 0, ""0.15"": 0, ""0.20"": 0}, ""sand_solref_interpolation_2of3"": {""0.10"": 0, ""0.15"": 0, ""0.20"": 0}}",0,0,0,0,0,True,True,True,False,False,False,True,penetration plus support/base degradation could justify unloading or recovery arbitration; benefit remains untested,False,,,,,,,,,,,,,,,,,,,
run,B_support_degradation_risk,,,,,,,,,,0,0,0,,,,,,,,,,marble_native_0p10_v02,hard_negative,marble,0.1,False,0,,False,False,,,,,,,,,,
run,B_support_degradation_risk,,,,,,,,,,0,0,0,,,,,,,,,,concrete_native_0p10_v02,hard_negative,concrete,0.1,False,0,,False,False,,,,,,,,,,
run,B_support_degradation_risk,,,,,,,,,,0,0,0,,,,,,,,,,sand_hardened_0p10_v02,hard_negative,sand_walking_support_v1_hardened,0.1,False,0,,False,False,,,,,,,,,,
run,B_support_degradation_risk,,,,,,,,,,0,0,0,,,,,,,,,,ice_native_0p10_v02,slip_candidate,ice,0.1,False,0,,False,False,,,,,,,,,,
run,B_support_degradation_risk,,,,,,,,,,0,0,0,,,,,,,,,,sand_solref_interpolation_1of3_0p10_v02,sink_candidate,sand_solref_interpolation_1of3,0.1,False,0,,False,False,,,,,,,,,,
