condition_name,profile_name,walking_speed_mps,run_id_a,run_id_b,variation_index_a,variation_index_b,trace_sha256_a,trace_sha256_b,byte_identical,endpoint_identical,fusion10_max_abs_difference,foot_xyz_max_abs_difference_m,contact_mismatch_samples,duplicate
marble_native,marble,0.1,marble_native_0p10_v00,marble_native_0p10_v01,0,1,55667d8a7dff584dfb53f267b2a2dbb5f83cc3a63d0b2ae2f79d93fecfdf5d48,b4e48e3ac126500273fd4201dea178801ce862d23dbfee1752fe03909ce22eaa,False,False,591.5097184224494,0.11734299980033942,2063,False
marble_native,marble,0.1,marble_native_0p10_v00,marble_native_0p10_v02,0,2,55667d8a7dff584dfb53f267b2a2dbb5f83cc3a63d0b2ae2f79d93fecfdf5d48,5c0a30e9ba359e7b35142711c755db73f389a69248bd59d8709d0b14bee909e1,False,False,386.6140565482441,0.07756458816850208,1904,False
marble_native,marble,0.1,marble_native_0p10_v01,marble_native_0p10_v02,1,2,b4e48e3ac126500273fd4201dea178801ce862d23dbfee1752fe03909ce22eaa,5c0a30e9ba359e7b35142711c755db73f389a69248bd59d8709d0b14bee909e1,False,False,591.5097184224494,0.0845399806361078,1965,False
concrete_native,concrete,0.1,concrete_native_0p10_v00,concrete_native_0p10_v01,0,1,23eff6323ce3acf972faff099657144c0a610331a7aa3abf7b2647b11d5f4167,b83a5a977b4776e43fcafe51511a76fc9e25da3353a519be22619420155a298b,False,False,519.8339616345344,0.11481071459710493,2051,False
concrete_native,concrete,0.1,concrete_native_0p10_v00,concrete_native_0p10_v02,0,2,23eff6323ce3acf972faff099657144c0a610331a7aa3abf7b2647b11d5f4167,598aa420733243080ea478a6388db0d083ccc524e4ed984f3ea267f1b278a84e,False,False,477.64956015941414,0.07935577214258602,1933,False
concrete_native,concrete,0.1,concrete_native_0p10_v01,concrete_native_0p10_v02,1,2,b83a5a977b4776e43fcafe51511a76fc9e25da3353a519be22619420155a298b,598aa420733243080ea478a6388db0d083ccc524e4ed984f3ea267f1b278a84e,False,False,519.8339616345344,0.08228944835569012,1948,False
sand_hardened,sand_walking_support_v1_hardened,0.1,sand_hardened_0p10_v00,sand_hardened_0p10_v01,0,1,4bae86ff6e2a82255bacdeded1ad636f489fe026e9b3a22af873187386abe993,8682c777e7a586c594989cc7b5f337275b3ab5437197c354352203b5cdf8f733,False,False,408.55785656815584,0.11157969088933159,2046,False
sand_hardened,sand_walking_support_v1_hardened,0.1,sand_hardened_0p10_v00,sand_hardened_0p10_v02,0,2,4bae86ff6e2a82255bacdeded1ad636f489fe026e9b3a22af873187386abe993,fdafb12a6dd0eaf0022168ac48acc4768b5206d909ddbd60c4f710925edb8e82,False,False,339.45684923962034,0.08210648694018571,1920,False
sand_hardened,sand_walking_support_v1_hardened,0.1,sand_hardened_0p10_v01,sand_hardened_0p10_v02,1,2,8682c777e7a586c594989cc7b5f337275b3ab5437197c354352203b5cdf8f733,fdafb12a6dd0eaf0022168ac48acc4768b5206d909ddbd60c4f710925edb8e82,False,False,408.55785656815584,0.08655959604609796,1954,False
ice_native,ice,0.1,ice_native_0p10_v00,ice_native_0p10_v01,0,1,360a7bcae28e2ceb6e5214633e917e56277a767729b513333c40966c9620a9a6,dbd04917425804d661c518bd35870d3dd940a749c1d911f420ccc5663fe6cbb5,False,False,705.7721664921014,0.23732065851608988,1796,False
ice_native,ice,0.1,ice_native_0p10_v00,ice_native_0p10_v02,0,2,360a7bcae28e2ceb6e5214633e917e56277a767729b513333c40966c9620a9a6,c57641cac26c8657119c8f33386162948946f54a9ef7aa70078fba7a178062da,False,False,704.7148057509587,0.278682201009653,1682,False
ice_native,ice,0.1,ice_native_0p10_v01,ice_native_0p10_v02,1,2,dbd04917425804d661c518bd35870d3dd940a749c1d911f420ccc5663fe6cbb5,c57641cac26c8657119c8f33386162948946f54a9ef7aa70078fba7a178062da,False,False,705.7721664921014,0.31201168194307566,1962,False
sand_solref_interpolation_1of3,sand_solref_interpolation_1of3,0.1,sand_solref_interpolation_1of3_0p10_v00,sand_solref_interpolation_1of3_0p10_v01,0,1,bc13d0f74f6654a119043720d559a8b5fe81c809fe6d5e4225b8a005a8c7f7d6,fb208f657a24e9bcf12401bafbfbda139de75f8b6b6f0c35ceb0d1007a3f4e49,False,False,200.7224838117574,0.1132184001976192,2031,False
sand_solref_interpolation_1of3,sand_solref_interpolation_1of3,0.1,sand_solref_interpolation_1of3_0p10_v00,sand_solref_interpolation_1of3_0p10_v02,0,2,bc13d0f74f6654a119043720d559a8b5fe81c809fe6d5e4225b8a005a8c7f7d6,44a569a071482d83b76b52398f777e7c58656396e2a5aad1d9ff059d55b02be8,False,False,218.95770383501605,0.0942785645760684,1879,False
sand_solref_interpolation_1of3,sand_solref_interpolation_1of3,0.1,sand_solref_interpolation_1of3_0p10_v01,sand_solref_interpolation_1of3_0p10_v02,1,2,fb208f657a24e9bcf12401bafbfbda139de75f8b6b6f0c35ceb0d1007a3f4e49,44a569a071482d83b76b52398f777e7c58656396e2a5aad1d9ff059d55b02be8,False,False,169.63878341498628,0.09031163082550889,1892,False
sand_solref_interpolation_2of3,sand_solref_interpolation_2of3,0.1,sand_solref_interpolation_2of3_0p10_v00,sand_solref_interpolation_2of3_0p10_v01,0,1,1f38c3676e4580e7615961ce3dae3e442e434f9141dc00888d1610526b26a860,38c44b2990b3d92533ba53c31880af3dffd5b04c5f5396464f130ce634ea1caf,False,False,198.89548527929145,0.11837348145010433,2017,False
sand_solref_interpolation_2of3,sand_solref_interpolation_2of3,0.1,sand_solref_interpolation_2of3_0p10_v00,sand_solref_interpolation_2of3_0p10_v02,0,2,1f38c3676e4580e7615961ce3dae3e442e434f9141dc00888d1610526b26a860,e25a5ad5c0aba53fe21d91c24d157268a8e1c811a36226a2e9deabe7558da144,False,False,168.08199242004,0.1006109026037923,1862,False
sand_solref_interpolation_2of3,sand_solref_interpolation_2of3,0.1,sand_solref_interpolation_2of3_0p10_v01,sand_solref_interpolation_2of3_0p10_v02,1,2,38c44b2990b3d92533ba53c31880af3dffd5b04c5f5396464f130ce634ea1caf,e25a5ad5c0aba53fe21d91c24d157268a8e1c811a36226a2e9deabe7558da144,False,False,167.4797121682963,0.10748688415205414,1853,False
marble_native,marble,0.15,marble_native_0p15_v00,marble_native_0p15_v01,0,1,b5f448363a530f1f45154ab570cc639aa820b915d9e189914fce72cfa02b7382,b4495dc6ec6db6b9b93da1e2f7643d10968a0586d95c64b6151d91335ea76127,False,False,591.5097184224494,0.1175078171951128,2086,False
marble_native,marble,0.15,marble_native_0p15_v00,marble_native_0p15_v02,0,2,b5f448363a530f1f45154ab570cc639aa820b915d9e189914fce72cfa02b7382,026e992ebcfd59eab4a095d9e078de7aa83c092c081630ebee5b52d74171e680,False,False,363.86243937841977,0.09737848186071396,1879,False
marble_native,marble,0.15,marble_native_0p15_v01,marble_native_0p15_v02,1,2,b4495dc6ec6db6b9b93da1e2f7643d10968a0586d95c64b6151d91335ea76127,026e992ebcfd59eab4a095d9e078de7aa83c092c081630ebee5b52d74171e680,False,False,591.5097184224494,0.08634283347347528,1967,False
concrete_native,concrete,0.15,concrete_native_0p15_v00,concrete_native_0p15_v01,0,1,a861ac000e1b0d639515fe8c4c6758de2a68c671e26bcffa0c29045b22a7fc0d,cd02085180cda8c08cd3eeea9f4a78daf119a4025439c156e9c52c43b394af46,False,False,519.8339616345344,0.11486753475548052,2064,False
concrete_native,concrete,0.15,concrete_native_0p15_v00,concrete_native_0p15_v02,0,2,a861ac000e1b0d639515fe8c4c6758de2a68c671e26bcffa0c29045b22a7fc0d,dbf79ddc81aede6ee690c06d1b1e5e41b36d56d7d036d58c7ddae89d17117367,False,False,350.9897828267249,0.09868680024272773,1911,False
concrete_native,concrete,0.15,concrete_native_0p15_v01,concrete_native_0p15_v02,1,2,cd02085180cda8c08cd3eeea9f4a78daf119a4025439c156e9c52c43b394af46,dbf79ddc81aede6ee690c06d1b1e5e41b36d56d7d036d58c7ddae89d17117367,False,False,519.8339616345344,0.08163160259254906,1957,False
sand_hardened,sand_walking_support_v1_hardened,0.15,sand_hardened_0p15_v00,sand_hardened_0p15_v01,0,1,d7f6fbc11d05124e1d85904f7ee00d690e1d064487d02edad326fe1cd4242e07,825763ee8d653d47b59f587c302b92208325c2f9bc37616c83e65e5938e78d87,False,False,408.55785656815584,0.11100956610555018,2046,False
sand_hardened,sand_walking_support_v1_hardened,0.15,sand_hardened_0p15_v00,sand_hardened_0p15_v02,0,2,d7f6fbc11d05124e1d85904f7ee00d690e1d064487d02edad326fe1cd4242e07,aaa0fd03f2c29c23f04b690b952d900a8cc1bb5b6417f8849e04926036c04980,False,False,288.5747619165208,0.10349598494303827,1911,False
