run_id,terrain_name,profile_name,acquisition_role,walking_speed_mps,contact_episode_id,start_sample,end_sample_exclusive,duration_samples,duration_ms,loaded_samples_pre_fall,post_touchdown_slip_samples_pre_fall,post_touchdown_sink_samples_pre_fall,max_anchor_drift_m,net_anchor_drift_m,max_anchor_drift_post_touchdown_m,max_tangential_velocity_post_touchdown_mps,max_contact_penetration_m,max_contact_penetration_post_touchdown_m,max_surface_relative_sole_depth_m,max_surface_relative_sole_depth_post_touchdown_m,max_loaded_penetration_change_m,stable_loaded_contact_pre_fall,entire_episode_pre_fall,has_pre_fall_calibration_samples,calibration_split,selected_slip_positive_samples,selected_slip_detected,selected_sink_positive_samples,selected_sink_detected
marble_native_0p10_v00,marble,marble,hard_negative,0.1,0,37,283,246,246,243,233,233,0.002821497043793727,0.002821497043793727,0.002655337946267886,0.09201468328333386,0.002582637832156116,0.002582637832156116,0.0025826378321561127,0.0025826378321561127,0.0025543461267430873,1,1,1,calibration_train,0,False,0,False
marble_native_0p10_v00,marble,marble,hard_negative,0.1,1,606,944,338,338,334,324,324,0.0030431900898429546,0.002343854334044346,0.0030431900898429546,0.15605704769397663,0.0028184131125447527,0.0028184131125447527,0.002818413112544756,0.002818413112544756,0.002696024831951818,1,1,1,calibration_train,0,False,0,False
marble_native_0p10_v00,marble,marble,hard_negative,0.1,2,1195,1524,329,329,329,319,319,0.002408486618482416,0.002268325571226529,0.002408486618482416,0.13527454621004378,0.0023751268339525606,0.0023751268339525606,0.002375126833952557,0.002375126833952557,0.0020221127008044487,1,1,1,calibration_train,0,False,0,False
marble_native_0p10_v00,marble,marble,hard_negative,0.1,3,1797,2122,325,325,323,313,313,0.005379270964192248,0.004961651809003037,0.005379270964192248,0.26938850509660056,0.002533032535657921,0.002533032535657921,0.002533032535657921,0.002533032535657921,0.0021038097049705384,1,1,1,calibration_train,0,False,0,False
marble_native_0p10_v00,marble,marble,hard_negative,0.1,4,2390,2722,332,332,330,320,320,0.005056160981832587,0.004538458410539385,0.005056160981832587,0.24162782348415385,0.0026226407002501546,0.0026226407002501546,0.0026226407002501546,0.0026226407002501546,0.002231279641201789,1,1,1,calibration_train,0,False,0,False
marble_native_0p10_v00,marble,marble,hard_negative,0.1,5,2989,3000,11,11,11,1,1,0.002843740172835867,0.002843740172835867,0.002843740172835867,0.24616565370831853,0.0019243637950392368,0.0019243637950392368,0.0019243637950392368,0.0019243637950392368,0.0016795879198927416,0,1,1,calibration_train,0,False,0,False
concrete_native_0p10_v00,concrete,concrete,hard_negative,0.1,0,37,284,247,247,243,233,233,0.0030005006000786553,0.0030005006000786553,0.0027511247592683476,0.08066182904993584,0.002622298825406387,0.002622298825406387,0.0026222988254063903,0.0026222988254063903,0.002594007119993358,1,1,1,calibration_train,0,False,0,False
concrete_native_0p10_v00,concrete,concrete,hard_negative,0.1,1,606,949,343,343,338,328,328,0.0019943571329853133,0.0019943571329853133,0.0014529424800703039,0.0711194424471761,0.002726047272209954,0.002726047272209954,0.002726047272209954,0.002726047272209954,0.002661671486552164,1,1,1,calibration_train,0,False,0,False
concrete_native_0p10_v00,concrete,concrete,hard_negative,0.1,2,1195,1533,338,338,338,328,328,0.0015452288431463215,0.0014112121057417817,0.0015452288431463215,0.0863998226315167,0.0024435671044357133,0.0024435671044357133,0.0024435671044357133,0.0024435671044357133,0.002189862618488303,1,1,1,calibration_train,0,False,0,False
concrete_native_0p10_v00,concrete,concrete,hard_negative,0.1,3,1797,2128,331,331,326,316,316,0.0015409655125583148,0.0004289285089480975,0.0015409655125583148,0.05801669090308499,0.00243032283644599,0.00243032283644599,0.0024303228364459866,0.0024303228364459866,0.002186219983375648,1,1,1,calibration_train,0,False,0,False
