run_id,acquisition_role,profile_name,walking_speed_mps,variation_index,fall_occurred,first_fall_sample,first_fall_time_s,fall_reason,pre_fall_valid_samples,post_fall_censored_samples,air_samples,touchdown_transient_samples,selected_slip_air_positives,selected_slip_post_fall_positives,selected_slip_touchdown_positives,selected_sink_air_positives,selected_sink_post_fall_positives,selected_sink_touchdown_positives
marble_native_0p10_v00,hard_negative,marble,0.1,0,False,,,,3000,0,1419,60,0,0,0,0,0,0
concrete_native_0p10_v00,hard_negative,concrete,0.1,0,False,,,,3000,0,1398,57,0,0,0,0,0,0
sand_hardened_0p10_v00,hard_negative,sand_walking_support_v1_hardened,0.1,0,False,,,,3000,0,1325,60,0,0,0,0,0,0
ice_native_0p10_v00,slip_candidate,ice,0.1,0,False,,,,3000,0,1079,364,0,0,0,0,0,0
sand_solref_interpolation_1of3_0p10_v00,sink_candidate,sand_solref_interpolation_1of3,0.1,0,False,,,,3000,0,1233,60,0,0,0,0,0,0
sand_solref_interpolation_2of3_0p10_v00,sink_candidate,sand_solref_interpolation_2of3,0.1,0,False,,,,3000,0,1162,60,0,0,0,0,0,0
marble_native_0p15_v00,hard_negative,marble,0.15,0,False,,,,3000,0,1437,64,0,0,0,0,0,0
concrete_native_0p15_v00,hard_negative,concrete,0.15,0,False,,,,3000,0,1416,55,0,0,0,0,0,0
sand_hardened_0p15_v00,hard_negative,sand_walking_support_v1_hardened,0.15,0,False,,,,3000,0,1343,60,0,0,0,0,0,0
ice_native_0p15_v00,slip_candidate,ice,0.15,0,False,,,,3000,0,1165,483,0,0,0,0,0,0
sand_solref_interpolation_1of3_0p15_v00,sink_candidate,sand_solref_interpolation_1of3,0.15,0,False,,,,3000,0,1257,60,0,0,0,0,0,0
sand_solref_interpolation_2of3_0p15_v00,sink_candidate,sand_solref_interpolation_2of3,0.15,0,False,,,,3000,0,1193,60,0,0,0,0,0,0
marble_native_0p20_v00,hard_negative,marble,0.2,0,False,,,,3000,0,1462,59,0,0,0,0,0,0
concrete_native_0p20_v00,hard_negative,concrete,0.2,0,False,,,,3000,0,1443,51,0,0,0,0,0,0
sand_hardened_0p20_v00,hard_negative,sand_walking_support_v1_hardened,0.2,0,False,,,,3000,0,1363,60,0,0,0,0,0,0
ice_native_0p20_v00,slip_candidate,ice,0.2,0,False,,,,3000,0,1144,496,0,0,0,0,0,0
