hazard,threshold_m,persistence_ms,train_normal_runs,train_normal_false_positive_runs,train_normal_false_positive_samples,train_physical_positive_runs,train_detected_positive_runs,complete_positive_profiles_all_speeds,complete_positive_profile_count,air_positive_count,post_fall_positive_count,touchdown_transient_positive_count,normal_train_envelope_max_m,positive_train_run_min_max_m,normal_threshold_margin_m,positive_threshold_margin_m,minimum_threshold_margin_m,mean_detection_latency_ms,max_detection_latency_ms,candidate_pass,selected
slip,0.01,3,18,3,886,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,-0.0067711604303823825,0.12039369439768711,-0.0067711604303823825,36.166666666666664,90,False,False
slip,0.01,5,18,3,880,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,-0.0067711604303823825,0.12039369439768711,-0.0067711604303823825,38.166666666666664,92,False,False
slip,0.01,10,18,3,865,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,-0.0067711604303823825,0.12039369439768711,-0.0067711604303823825,43.166666666666664,97,False,False
slip,0.01,20,18,3,835,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,-0.0067711604303823825,0.12039369439768711,-0.0067711604303823825,53.166666666666664,107,False,False
slip,0.015,3,18,3,228,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,-0.0017711604303823833,0.11539369439768711,-0.0017711604303823833,50.166666666666664,98,False,False
slip,0.015,5,18,3,222,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,-0.0017711604303823833,0.11539369439768711,-0.0017711604303823833,52.166666666666664,100,False,False
slip,0.015,10,18,3,207,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,-0.0017711604303823833,0.11539369439768711,-0.0017711604303823833,57.166666666666664,105,False,False
slip,0.015,20,18,3,177,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,-0.0017711604303823833,0.11539369439768711,-0.0017711604303823833,72.33333333333333,125,False,False
slip,0.02,3,18,0,0,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,0.0032288395696176177,0.1103936943976871,0.0032288395696176177,57.666666666666664,105,True,False
slip,0.02,5,18,0,0,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,0.0032288395696176177,0.1103936943976871,0.0032288395696176177,60.5,107,True,False
slip,0.02,10,18,0,0,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,0.0032288395696176177,0.1103936943976871,0.0032288395696176177,66.66666666666667,115,True,False
slip,0.02,20,18,0,0,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,0.0032288395696176177,0.1103936943976871,0.0032288395696176177,76.66666666666667,125,True,False
slip,0.03,3,18,0,0,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,0.013228839569617616,0.10039369439768711,0.013228839569617616,69.83333333333333,117,True,False
slip,0.03,5,18,0,0,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,0.013228839569617616,0.10039369439768711,0.013228839569617616,71.83333333333333,119,True,False
slip,0.03,10,18,0,0,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,0.013228839569617616,0.10039369439768711,0.013228839569617616,76.83333333333333,124,True,False
slip,0.03,20,18,0,0,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,0.013228839569617616,0.10039369439768711,0.013228839569617616,86.83333333333333,134,True,False
slip,0.05,3,18,0,0,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,0.03322883956961762,0.08039369439768711,0.03322883956961762,88.0,134,True,False
slip,0.05,5,18,0,0,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,0.03322883956961762,0.08039369439768711,0.03322883956961762,75.5,136,True,False
slip,0.05,10,18,0,0,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,0.03322883956961762,0.08039369439768711,0.03322883956961762,77.66666666666667,141,True,False
slip,0.05,20,18,0,0,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,0.03322883956961762,0.08039369439768711,0.03322883956961762,55.5,70,True,False
slip,0.075,3,18,0,0,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,0.058228839569617614,0.05539369439768711,0.05539369439768711,53.166666666666664,62,True,False
slip,0.075,5,18,0,0,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,0.058228839569617614,0.05539369439768711,0.05539369439768711,55.166666666666664,64,True,False
slip,0.075,10,18,0,0,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,0.058228839569617614,0.05539369439768711,0.05539369439768711,65.33333333333333,95,True,False
slip,0.075,20,18,0,0,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,0.058228839569617614,0.05539369439768711,0.05539369439768711,86.0,137,True,True
slip,0.1,3,18,0,0,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,0.08322883956961763,0.030393694397687104,0.030393694397687104,85.16666666666667,112,True,False
slip,0.1,5,18,0,0,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,0.08322883956961763,0.030393694397687104,0.030393694397687104,87.16666666666667,114,True,False
slip,0.1,10,18,0,0,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,0.08322883956961763,0.030393694397687104,0.030393694397687104,93.5,127,True,False
slip,0.1,20,18,0,0,6,6,slip_all_speeds,1,0,0,0,0.016771160430382383,0.1303936943976871,0.08322883956961763,0.030393694397687104,0.030393694397687104,103.5,137,True,False
sink,0.004,3,18,2,22,11,11,sand_solref_interpolation_1of3,1,0,0,0,0.004294271603264094,0.006403968922677472,-0.00029427160326409366,0.002403968922677472,-0.00029427160326409366,2.8181818181818183,5,False,False
sink,0.004,5,18,2,18,11,11,sand_solref_interpolation_1of3,1,0,0,0,0.004294271603264094,0.006403968922677472,-0.00029427160326409366,0.002403968922677472,-0.00029427160326409366,4.818181818181818,7,False,False
sink,0.004,10,18,2,8,11,11,sand_solref_interpolation_1of3,1,0,0,0,0.004294271603264094,0.006403968922677472,-0.00029427160326409366,0.002403968922677472,-0.00029427160326409366,9.818181818181818,12,False,False
sink,0.004,20,18,0,0,11,11,sand_solref_interpolation_1of3,1,0,0,0,0.004294271603264094,0.006403968922677472,-0.00029427160326409366,0.002403968922677472,-0.00029427160326409366,19.818181818181817,22,True,False
sink,0.0045,3,18,0,0,11,11,sand_solref_interpolation_1of3,1,0,0,0,0.004294271603264094,0.006403968922677472,0.00020572839673590592,0.0019039689226774724,0.00020572839673590592,4.2727272727272725,8,True,False
