condition_name,walking_speed_mps,run_id_a,run_id_b,variation_index_a,variation_index_b,full_endpoint_sha256_a,full_endpoint_sha256_b,byte_identical,endpoint_identical,duplicate,key_channel_max_abs_or_mismatch_json
concrete_native,0.1,concrete_native_0p10_v03,concrete_native_0p10_v04,3,4,a2e1ae285ced00b8ebce36da4004b737291860853b5a68615ae4be33cf9aef60,7afb44cfb454725311bc72867c3af6cac651dd5fb79be63bb8d56f1d610e88df,False,False,False,"{""foot_velocity_xyz"":0.98709998735388,""foot_xyz"":0.09716811253733638,""fusion10"":572.4423795836938,""left_contact"":1946.0,""loaded_contact"":1964.0,""loaded_penetration_change_m"":0.0032371633913179237,""max_contact_penetration_m"":0.004294861025813358,""pelvis_velocity_xyz"":0.37342527101691625,""pelvis_xyz"":0.08176434882784087,""pre_fall_valid"":0.0,""tangential_anchor_drift_m"":0.007345817890862089}"
concrete_native,0.1,concrete_native_0p10_v03,concrete_native_0p10_v05,3,5,a2e1ae285ced00b8ebce36da4004b737291860853b5a68615ae4be33cf9aef60,af6f0c7fabfa79436938c5caa202f0304bd2e0be34dbcc50e6222a59921d6859,False,False,False,"{""foot_velocity_xyz"":0.9720439348689472,""foot_xyz"":0.06551287967069887,""fusion10"":572.4423795836938,""left_contact"":1936.0,""loaded_contact"":1939.0,""loaded_penetration_change_m"":0.003181263032758924,""max_contact_penetration_m"":0.003527428911221496,""pelvis_velocity_xyz"":0.3632360132008889,""pelvis_xyz"":0.05842637715065625,""pre_fall_valid"":0.0,""tangential_anchor_drift_m"":0.0032259057521749667}"
concrete_native,0.1,concrete_native_0p10_v04,concrete_native_0p10_v05,4,5,7afb44cfb454725311bc72867c3af6cac651dd5fb79be63bb8d56f1d610e88df,af6f0c7fabfa79436938c5caa202f0304bd2e0be34dbcc50e6222a59921d6859,False,False,False,"{""foot_velocity_xyz"":1.0274437982833118,""foot_xyz"":0.12623262265288276,""fusion10"":468.2495359493455,""left_contact"":1996.0,""loaded_contact"":1993.0,""loaded_penetration_change_m"":0.003649162673115325,""max_contact_penetration_m"":0.0037667743952561616,""pelvis_velocity_xyz"":0.4755816699434422,""pelvis_xyz"":0.1134345783442985,""pre_fall_valid"":0.0,""tangential_anchor_drift_m"":0.00416366393432224}"
concrete_native,0.15,concrete_native_0p15_v03,concrete_native_0p15_v04,3,4,fad8572b4ce141274ccefef2aafafa797ed67ecfd4e449e50a32259a19130758,03e6130469830bc2637daf525e467e4be8ccba355717638f6dd5dd952b1cf813,False,False,False,"{""foot_velocity_xyz"":0.9946248208203914,""foot_xyz"":0.09832577849560971,""fusion10"":572.4423795836938,""left_contact"":1947.0,""loaded_contact"":1948.0,""loaded_penetration_change_m"":0.0032371633913179237,""max_contact_penetration_m"":0.004225651255945188,""pelvis_velocity_xyz"":0.3766286600850357,""pelvis_xyz"":0.08217711642494738,""pre_fall_valid"":0.0,""tangential_anchor_drift_m"":0.007759708894462151}"
concrete_native,0.15,concrete_native_0p15_v03,concrete_native_0p15_v05,3,5,fad8572b4ce141274ccefef2aafafa797ed67ecfd4e449e50a32259a19130758,30dffe552a2e272ec00dfbb98bbe9ba6108c6b4573dc18c5d5538b887c40bb47,False,False,False,"{""foot_velocity_xyz"":0.9737527785757674,""foot_xyz"":0.0785158216057093,""fusion10"":572.4423795836938,""left_contact"":1936.0,""loaded_contact"":1941.0,""loaded_penetration_change_m"":0.003181263032758924,""max_contact_penetration_m"":0.003527428911221496,""pelvis_velocity_xyz"":0.3579161746012969,""pelvis_xyz"":0.056830706946486065,""pre_fall_valid"":0.0,""tangential_anchor_drift_m"":0.003389182215143632}"
concrete_native,0.15,concrete_native_0p15_v04,concrete_native_0p15_v05,4,5,03e6130469830bc2637daf525e467e4be8ccba355717638f6dd5dd952b1cf813,30dffe552a2e272ec00dfbb98bbe9ba6108c6b4573dc18c5d5538b887c40bb47,False,False,False,"{""foot_velocity_xyz"":1.059568663961742,""foot_xyz"":0.12847257029174475,""fusion10"":456.78012257706456,""left_contact"":1995.0,""loaded_contact"":2007.0,""loaded_penetration_change_m"":0.0034047546326008704,""max_contact_penetration_m"":0.003677244676325575,""pelvis_velocity_xyz"":0.47782746659067976,""pelvis_xyz"":0.11367163693948781,""pre_fall_valid"":0.0,""tangential_anchor_drift_m"":0.0041568317570707634}"
concrete_native,0.2,concrete_native_0p20_v03,concrete_native_0p20_v04,3,4,52804fe0e4de52f8c5454c18842d51e978123cdd25543f1f9b19c793d4b4937f,a492d8d5bf938f4cac8e4bb10245eae3bfaa7c3d68cc65d55b3193482817731f,False,False,False,"{""foot_velocity_xyz"":1.1412535076697,""foot_xyz"":0.10392104660430687,""fusion10"":572.4423795836938,""left_contact"":1949.0,""loaded_contact"":1951.0,""loaded_penetration_change_m"":0.0032371633913179237,""max_contact_penetration_m"":0.004364247842850412,""pelvis_velocity_xyz"":0.3801242099964822,""pelvis_xyz"":0.08709318440045583,""pre_fall_valid"":0.0,""tangential_anchor_drift_m"":0.00820124453441318}"
concrete_native,0.2,concrete_native_0p20_v03,concrete_native_0p20_v05,3,5,52804fe0e4de52f8c5454c18842d51e978123cdd25543f1f9b19c793d4b4937f,ce06700041ba587c1edaae40ee6f8a0d044b4ed24cb9480e16ee33280612c3eb,False,False,False,"{""foot_velocity_xyz"":1.1590279207170098,""foot_xyz"":0.09138142295808765,""fusion10"":572.4423795836938,""left_contact"":1942.0,""loaded_contact"":1946.0,""loaded_penetration_change_m"":0.003181263032758924,""max_contact_penetration_m"":0.003527428911221496,""pelvis_velocity_xyz"":0.3534825245467629,""pelvis_xyz"":0.055482058176754855,""pre_fall_valid"":0.0,""tangential_anchor_drift_m"":0.0036110964359854334}"
concrete_native,0.2,concrete_native_0p20_v04,concrete_native_0p20_v05,4,5,a492d8d5bf938f4cac8e4bb10245eae3bfaa7c3d68cc65d55b3193482817731f,ce06700041ba587c1edaae40ee6f8a0d044b4ed24cb9480e16ee33280612c3eb,False,False,False,"{""foot_velocity_xyz"":1.100873588783294,""foot_xyz"":0.1311005271107226,""fusion10"":435.36644351799066,""left_contact"":1987.0,""loaded_contact"":1999.0,""loaded_penetration_change_m"":0.003689350355965723,""max_contact_penetration_m"":0.0038003846168259414,""pelvis_velocity_xyz"":0.48284888405888005,""pelvis_xyz"":0.1146296786716246,""pre_fall_valid"":0.0,""tangential_anchor_drift_m"":0.004222745383235009}"
ice_native,0.1,ice_native_0p10_v03,ice_native_0p10_v04,3,4,6f5c3f0f4716d63dc047ff067220a7764129b20008002c455679beae1d653396,0931cb022161a5e0ba7ef85e93d219c702f77ead34f0a71effb45db89ccbb3db,False,False,False,"{""foot_velocity_xyz"":15.868380150560874,""foot_xyz"":0.764103566333805,""fusion10"":6680933.916631587,""left_contact"":1601.0,""loaded_contact"":1620.0,""loaded_penetration_change_m"":0.026422624711128148,""max_contact_penetration_m"":0.04619966773680506,""pelvis_velocity_xyz"":6.789919604290388,""pelvis_xyz"":0.6948597141761214,""pre_fall_valid"":77.0,""tangential_anchor_drift_m"":0.33731036683016347}"
