run_id,acquisition_role,walking_speed_mps,variation_index,fall_occurred,first_fall_sample,first_fall_time_s,pre_fall_valid_samples,post_fall_censored_samples,air_samples,touchdown_transient_samples,selected_slip_air_positives,selected_slip_post_fall_positives,selected_slip_touchdown_positives
marble_native_0p10_v03,hard_negative,0.1,3,False,,,3000,0,1398,60,0,0,0
concrete_native_0p10_v03,hard_negative,0.1,3,False,,,3000,0,1370,60,0,0,0
sand_hardened_0p10_v03,hard_negative,0.1,3,False,,,3000,0,1306,60,0,0,0
ice_native_0p10_v03,slip_candidate,0.1,3,True,2078,2.0789999999998616,2078,922,1500,424,0,0,0
marble_native_0p15_v03,hard_negative,0.15,3,False,,,3000,0,1414,60,0,0,0
concrete_native_0p15_v03,hard_negative,0.15,3,False,,,3000,0,1392,60,0,0,0
sand_hardened_0p15_v03,hard_negative,0.15,3,False,,,3000,0,1320,60,0,0,0
ice_native_0p15_v03,slip_candidate,0.15,3,True,1606,1.6069999999998785,1606,1394,1814,347,0,0,0
marble_native_0p20_v03,hard_negative,0.2,3,False,,,3000,0,1430,62,0,0,0
concrete_native_0p20_v03,hard_negative,0.2,3,False,,,3000,0,1413,60,0,0,0
sand_hardened_0p20_v03,hard_negative,0.2,3,False,,,3000,0,1334,60,0,0,0
ice_native_0p20_v03,slip_candidate,0.2,3,True,1656,1.656999999999873,1656,1344,1111,279,0,0,0
marble_native_0p10_v04,hard_negative,0.1,4,False,,,3000,0,1293,60,0,0,0
concrete_native_0p10_v04,hard_negative,0.1,4,False,,,3000,0,1268,60,0,0,0
sand_hardened_0p10_v04,hard_negative,0.1,4,False,,,3000,0,1197,60,0,0,0
ice_native_0p10_v04,slip_candidate,0.1,4,True,2001,2.001999999999836,2001,999,983,199,0,0,0
marble_native_0p15_v04,hard_negative,0.15,4,False,,,3000,0,1306,60,0,0,0
concrete_native_0p15_v04,hard_negative,0.15,4,False,,,3000,0,1285,60,0,0,0
sand_hardened_0p15_v04,hard_negative,0.15,4,False,,,3000,0,1215,60,0,0,0
ice_native_0p15_v04,slip_candidate,0.15,4,False,,,3000,0,1320,389,0,0,0
marble_native_0p20_v04,hard_negative,0.2,4,False,,,3000,0,1326,64,0,0,0
concrete_native_0p20_v04,hard_negative,0.2,4,False,,,3000,0,1308,60,0,0,0
sand_hardened_0p20_v04,hard_negative,0.2,4,False,,,3000,0,1233,60,0,0,0
ice_native_0p20_v04,slip_candidate,0.2,4,False,,,3000,0,1210,462,0,0,0
marble_native_0p10_v05,hard_negative,0.1,5,False,,,3000,0,1328,62,0,0,0
concrete_native_0p10_v05,hard_negative,0.1,5,False,,,3000,0,1298,50,0,0,0
sand_hardened_0p10_v05,hard_negative,0.1,5,False,,,3000,0,1247,50,0,0,0
ice_native_0p10_v05,slip_candidate,0.1,5,False,,,3000,0,1052,490,0,0,0
marble_native_0p15_v05,hard_negative,0.15,5,False,,,3000,0,1341,60,0,0,0
concrete_native_0p15_v05,hard_negative,0.15,5,False,,,3000,0,1320,50,0,0,0
sand_hardened_0p15_v05,hard_negative,0.15,5,False,,,3000,0,1269,50,0,0,0
ice_native_0p15_v05,slip_candidate,0.15,5,False,,,3000,0,1134,366,0,0,0
marble_native_0p20_v05,hard_negative,0.2,5,False,,,3000,0,1361,57,0,0,0
concrete_native_0p20_v05,hard_negative,0.2,5,False,,,3000,0,1347,50,0,0,0
sand_hardened_0p20_v05,hard_negative,0.2,5,False,,,3000,0,1289,50,0,0,0
ice_native_0p20_v05,slip_candidate,0.2,5,False,,,3000,0,1155,420,0,0,0
