threshold_m,persistence_ms,fold_id,selection_variations,internal_validation_variation,selection_normal_runs,selection_normal_false_positive_runs,selection_normal_false_positive_samples,selection_positive_runs,selection_physical_positive_runs,selection_detected_positive_runs,selection_detected_speed_count,selection_detected_speeds_mps,selection_air_positive_count,selection_post_fall_positive_count,selection_touchdown_transient_positive_count,selection_normal_envelope_max_m,selection_positive_run_min_max_m,selection_normal_threshold_margin_m,selection_positive_threshold_margin_m,selection_minimum_threshold_margin_m,selection_mean_physical_onset_latency_ms,selection_median_physical_onset_latency_ms,selection_p95_physical_onset_latency_ms,selection_max_physical_onset_latency_ms,selection_partition_pass,internal_validation_normal_runs,internal_validation_normal_false_positive_runs,internal_validation_normal_false_positive_samples,internal_validation_positive_runs,internal_validation_physical_positive_runs,internal_validation_detected_positive_runs,internal_validation_detected_speed_count,internal_validation_detected_speeds_mps,internal_validation_air_positive_count,internal_validation_post_fall_positive_count,internal_validation_touchdown_transient_positive_count,internal_validation_normal_envelope_max_m,internal_validation_positive_run_min_max_m,internal_validation_normal_threshold_margin_m,internal_validation_positive_threshold_margin_m,internal_validation_minimum_threshold_margin_m,internal_validation_mean_physical_onset_latency_ms,internal_validation_median_physical_onset_latency_ms,internal_validation_p95_physical_onset_latency_ms,internal_validation_max_physical_onset_latency_ms,internal_validation_partition_pass,fold_pass,all_folds_pass,sufficient_margin,selection_score,tie_break_rank,selected
0.01,3,0,1|2,0,18,12,3373,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.07441127363861753,-0.0067711604303823825,0.06441127363861754,-0.0067711604303823825,15.395348837209303,5.5,46.5,167.0,False,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.008933439521696398,0.1303936943976871,0.0010665604783036027,0.12039369439768711,0.0010665604783036027,11.557692307692308,4.0,50.3499999999999,90.0,True,False,False,False,,,False
0.01,3,1,0|2,1,18,9,2487,6,6,6,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,-0.003210608737598172,0.06441127363861754,-0.003210608737598172,12.970297029702971,4.0,48.0,164.0,False,9,3,886,3,3,3,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.15436815172543594,-0.0067711604303823825,0.14436815172543593,-0.0067711604303823825,16.62162162162162,6.0,50.199999999999825,167.0,False,False,False,False,,,False
0.01,3,2,0|1,2,18,3,886,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.1303936943976871,-0.0067711604303823825,0.12039369439768711,-0.0067711604303823825,13.662921348314606,5.0,54.59999999999988,167.0,False,9,9,2487,3,3,3,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,-0.003210608737598172,0.06441127363861754,-0.003210608737598172,14.46938775510204,5.0,43.99999999999994,164.0,False,False,False,False,,,False
0.01,5,0,1|2,0,18,12,3347,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.07441127363861753,-0.0067711604303823825,0.06441127363861754,-0.0067711604303823825,17.867469879518072,8.0,49.39999999999995,169.0,False,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.008933439521696398,0.1303936943976871,0.0010665604783036027,0.12039369439768711,0.0010665604783036027,14.454545454545455,5.5,61.55000000000003,92.0,True,False,False,False,,,False
0.01,5,1,0|2,1,18,9,2467,6,6,6,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,-0.003210608737598172,0.06441127363861754,-0.003210608737598172,15.88888888888889,6.0,52.19999999999999,166.0,False,9,3,880,3,3,3,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.15436815172543594,-0.0067711604303823825,0.14436815172543593,-0.0067711604303823825,18.62162162162162,8.0,52.199999999999825,169.0,False,False,False,False,,,False
0.01,5,2,0|1,2,18,3,880,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.1303936943976871,-0.0067711604303823825,0.12039369439768711,-0.0067711604303823825,16.358024691358025,7.0,65.0,169.0,False,9,9,2467,3,3,3,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,-0.003210608737598172,0.06441127363861754,-0.003210608737598172,17.26086956521739,7.0,47.5,166.0,False,False,False,False,,,False
0.01,10,0,1|2,0,18,12,3282,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.07441127363861753,-0.0067711604303823825,0.06441127363861754,-0.0067711604303823825,24.486486486486488,14.0,56.39999999999998,174.0,False,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.008933439521696398,0.1303936943976871,0.0010665604783036027,0.12039369439768711,0.0010665604783036027,21.35135135135135,11.0,73.39999999999992,97.0,True,False,False,False,,,False
0.01,10,1,0|2,1,18,9,2417,6,6,6,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,-0.003210608737598172,0.06441127363861754,-0.003210608737598172,23.039473684210527,12.0,61.75,171.0,False,9,3,865,3,3,3,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.15436815172543594,-0.0067711604303823825,0.14436815172543593,-0.0067711604303823825,24.314285714285713,14.0,61.29999999999988,174.0,False,False,False,False,,,False
0.01,10,2,0|1,2,18,3,865,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.1303936943976871,-0.0067711604303823825,0.12039369439768711,-0.0067711604303823825,22.791666666666668,12.5,77.65000000000005,174.0,False,9,9,2417,3,3,3,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,-0.003210608737598172,0.06441127363861754,-0.003210608737598172,24.641025641025642,16.0,55.400000000000006,171.0,False,False,False,False,,,False
0.01,20,0,1|2,0,18,12,3157,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.07441127363861753,-0.0067711604303823825,0.06441127363861754,-0.0067711604303823825,36.682539682539684,25.0,68.6,184.0,False,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.008933439521696398,0.1303936943976871,0.0010665604783036027,0.12039369439768711,0.0010665604783036027,33.5625,22.5,87.64999999999999,107.0,True,False,False,False,,,False
0.01,20,1,0|2,1,18,9,2322,6,6,6,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,-0.003210608737598172,0.06441127363861754,-0.003210608737598172,35.134328358208954,24.0,76.69999999999996,181.0,False,9,3,835,3,3,3,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.15436815172543594,-0.0067711604303823825,0.14436815172543593,-0.0067711604303823825,36.82142857142857,24.0,85.64999999999995,184.0,False,False,False,False,,,False
0.01,20,2,0|1,2,18,3,835,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.1303936943976871,-0.0067711604303823825,0.12039369439768711,-0.0067711604303823825,35.083333333333336,24.0,97.14999999999999,184.0,False,9,9,2322,3,3,3,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,-0.003210608737598172,0.06441127363861754,-0.003210608737598172,36.57142857142857,27.0,66.19999999999999,181.0,False,False,False,False,,,False
0.015,3,0,1|2,0,18,3,228,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.07441127363861753,-0.0017711604303823833,0.059411273638617534,-0.0017711604303823833,24.948051948051948,13.0,56.000000000000014,210.0,False,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.008933439521696398,0.1303936943976871,0.006066560478303602,0.11539369439768711,0.006066560478303602,20.13953488372093,11.0,84.89999999999998,98.0,True,False,False,False,,,False
0.015,3,1,0|2,1,18,0,0,6,6,6,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,0.0017893912624018272,0.059411273638617534,0.0017893912624018272,22.16470588235294,11.0,71.99999999999996,188.0,True,9,3,228,3,3,3,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.15436815172543594,-0.0017711604303823833,0.13936815172543593,-0.0017711604303823833,25.8,14.0,64.19999999999987,210.0,False,False,False,False,,,False
0.015,3,2,0|1,2,18,3,228,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.1303936943976871,-0.0017711604303823833,0.11539369439768711,-0.0017711604303823833,22.67948717948718,13.0,87.04999999999994,210.0,False,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.013210608737598172,0.07441127363861753,0.0017893912624018272,0.059411273638617534,0.0017893912624018272,24.238095238095237,11.5,55.0,188.0,True,False,False,False,,,False
0.015,5,0,1|2,0,18,3,222,6,6,6,3,0.10|0.15|0.20,0,0,0,0.016771160430382383,0.07441127363861753,-0.0017711604303823833,0.059411273638617534,-0.0017711604303823833,27.66216216216216,15.5,58.74999999999997,212.0,False,9,0,0,3,3,3,3,0.10|0.15|0.20,0,0,0,0.008933439521696398,0.1303936943976871,0.006066560478303602,0.11539369439768711,0.006066560478303602,23.225,15.0,88.34999999999998,100.0,True,False,False,False,,,False
