run_id,walking_speed_mps,variation_index,contact_episode_id,physical_label_onset_kind,physical_label_onset_sample,model_inference_onset,detected,threshold_crossing_sample,persistence_completion_sample,physical_onset_to_fire_latency_ms,threshold_crossing_to_persistence_completion_ms,condition_name,acquisition_role
marble_native_0p10_v03,0.1,3,0,first_post_touchdown_slip_valid_sample,43,not_applicable_physical_label_oracle_only,False,,,,,marble_native,hard_negative
marble_native_0p10_v03,0.1,3,1,first_post_touchdown_slip_valid_sample,498,not_applicable_physical_label_oracle_only,False,,,,,marble_native,hard_negative
marble_native_0p10_v03,0.1,3,2,first_post_touchdown_slip_valid_sample,1098,not_applicable_physical_label_oracle_only,False,,,,,marble_native,hard_negative
marble_native_0p10_v03,0.1,3,3,first_post_touchdown_slip_valid_sample,1704,not_applicable_physical_label_oracle_only,False,,,,,marble_native,hard_negative
marble_native_0p10_v03,0.1,3,4,first_post_touchdown_slip_valid_sample,2301,not_applicable_physical_label_oracle_only,False,,,,,marble_native,hard_negative
marble_native_0p10_v03,0.1,3,5,first_post_touchdown_slip_valid_sample,2899,not_applicable_physical_label_oracle_only,False,,,,,marble_native,hard_negative
concrete_native_0p10_v03,0.1,3,0,first_post_touchdown_slip_valid_sample,43,not_applicable_physical_label_oracle_only,False,,,,,concrete_native,hard_negative
concrete_native_0p10_v03,0.1,3,1,first_post_touchdown_slip_valid_sample,497,not_applicable_physical_label_oracle_only,False,,,,,concrete_native,hard_negative
concrete_native_0p10_v03,0.1,3,2,first_post_touchdown_slip_valid_sample,1101,not_applicable_physical_label_oracle_only,False,,,,,concrete_native,hard_negative
concrete_native_0p10_v03,0.1,3,3,first_post_touchdown_slip_valid_sample,1707,not_applicable_physical_label_oracle_only,False,,,,,concrete_native,hard_negative
concrete_native_0p10_v03,0.1,3,4,first_post_touchdown_slip_valid_sample,2305,not_applicable_physical_label_oracle_only,False,,,,,concrete_native,hard_negative
concrete_native_0p10_v03,0.1,3,5,first_post_touchdown_slip_valid_sample,2903,not_applicable_physical_label_oracle_only,False,,,,,concrete_native,hard_negative
sand_hardened_0p10_v03,0.1,3,0,first_post_touchdown_slip_valid_sample,43,not_applicable_physical_label_oracle_only,False,,,,,sand_hardened,hard_negative
sand_hardened_0p10_v03,0.1,3,1,first_post_touchdown_slip_valid_sample,491,not_applicable_physical_label_oracle_only,False,,,,,sand_hardened,hard_negative
sand_hardened_0p10_v03,0.1,3,2,first_post_touchdown_slip_valid_sample,1091,not_applicable_physical_label_oracle_only,False,,,,,sand_hardened,hard_negative
sand_hardened_0p10_v03,0.1,3,3,first_post_touchdown_slip_valid_sample,1693,not_applicable_physical_label_oracle_only,False,,,,,sand_hardened,hard_negative
sand_hardened_0p10_v03,0.1,3,4,first_post_touchdown_slip_valid_sample,2294,not_applicable_physical_label_oracle_only,False,,,,,sand_hardened,hard_negative
sand_hardened_0p10_v03,0.1,3,5,first_post_touchdown_slip_valid_sample,2894,not_applicable_physical_label_oracle_only,False,,,,,sand_hardened,hard_negative
ice_native_0p10_v03,0.1,3,0,first_post_touchdown_slip_valid_sample,43,not_applicable_physical_label_oracle_only,False,,,,,ice_native,slip_candidate
ice_native_0p10_v03,0.1,3,1,first_post_touchdown_slip_valid_sample,104,not_applicable_physical_label_oracle_only,False,,,,,ice_native,slip_candidate
ice_native_0p10_v03,0.1,3,2,first_post_touchdown_slip_valid_sample,119,not_applicable_physical_label_oracle_only,False,,,,,ice_native,slip_candidate
ice_native_0p10_v03,0.1,3,4,first_post_touchdown_slip_valid_sample,364,not_applicable_physical_label_oracle_only,True,404,406,42,3,ice_native,slip_candidate
ice_native_0p10_v03,0.1,3,5,first_post_touchdown_slip_valid_sample,433,not_applicable_physical_label_oracle_only,True,474,476,43,3,ice_native,slip_candidate
ice_native_0p10_v03,0.1,3,6,first_post_touchdown_slip_valid_sample,516,not_applicable_physical_label_oracle_only,False,,,,,ice_native,slip_candidate
ice_native_0p10_v03,0.1,3,12,first_post_touchdown_slip_valid_sample,789,not_applicable_physical_label_oracle_only,False,,,,,ice_native,slip_candidate
ice_native_0p10_v03,0.1,3,13,first_post_touchdown_slip_valid_sample,823,not_applicable_physical_label_oracle_only,False,,,,,ice_native,slip_candidate
ice_native_0p10_v03,0.1,3,26,first_post_touchdown_slip_valid_sample,897,not_applicable_physical_label_oracle_only,True,996,998,101,3,ice_native,slip_candidate
ice_native_0p10_v03,0.1,3,27,first_post_touchdown_slip_valid_sample,1043,not_applicable_physical_label_oracle_only,False,,,,,ice_native,slip_candidate
