run_id,domain,role,terrain,episode_index,start_sample,end_sample_exclusive,duration_ms,max_anchor_drift_m,net_anchor_drift_m,max_horizontal_speed_post_touchdown_mps,max_ankle_drop_from_touchdown_m,frozen_slip_samples,frozen_sink_samples
homogeneous_marble_00,homogeneous,normal_walking_control,marble,0,37,275,238,0.0029506260487455528,0.0027535804916839976,0.1002730436025794,0.003364407547055477,17,18
homogeneous_marble_00,homogeneous,normal_walking_control,marble,1,276,280,4,0.00016151348596477969,0.00016151348596477966,0.0,0.0,0,0
homogeneous_marble_00,homogeneous,normal_walking_control,marble,2,605,940,335,0.002596213980909091,0.0022651731307553676,0.15797685915715948,0.0069242090518907146,18,28
homogeneous_marble_00,homogeneous,normal_walking_control,marble,3,1210,1520,310,0.004659862806927556,0.004496779699822896,0.2084474947140869,0.005579028575143537,25,30
homogeneous_marble_00,homogeneous,normal_walking_control,marble,4,1521,1526,5,0.000163626072755995,0.000163626072755995,0.0,0.0,0,0
homogeneous_marble_00,homogeneous,normal_walking_control,marble,5,1810,2120,310,0.0048724940923105895,0.00481865235082685,0.21250601582981535,0.0042469036732559196,22,23
homogeneous_marble_00,homogeneous,normal_walking_control,marble,6,2397,2720,323,0.005870414462588111,0.0058243254086703476,0.341007521047022,0.00557620495242505,25,25
homogeneous_marble_00,homogeneous,normal_walking_control,marble,7,2997,3000,3,0.0009070571538934278,0.0009070571538934278,0.0,0.000730144886531281,3,3
homogeneous_marble_01,homogeneous,normal_walking_control,marble,0,37,275,238,0.0029506260487455528,0.0027535804916839976,0.1002730436025794,0.003364407547055477,17,18
homogeneous_marble_01,homogeneous,normal_walking_control,marble,1,276,280,4,0.00016151348596477969,0.00016151348596477966,0.0,0.0,0,0
homogeneous_marble_01,homogeneous,normal_walking_control,marble,2,605,940,335,0.002596213980909091,0.0022651731307553676,0.15797685915715948,0.0069242090518907146,18,28
homogeneous_marble_01,homogeneous,normal_walking_control,marble,3,1210,1520,310,0.004659862806927556,0.004496779699822896,0.2084474947140869,0.005579028575143537,25,30
homogeneous_marble_01,homogeneous,normal_walking_control,marble,4,1521,1526,5,0.000163626072755995,0.000163626072755995,0.0,0.0,0,0
homogeneous_marble_01,homogeneous,normal_walking_control,marble,5,1810,2120,310,0.0048724940923105895,0.00481865235082685,0.21250601582981535,0.0042469036732559196,22,23
homogeneous_marble_01,homogeneous,normal_walking_control,marble,6,2397,2720,323,0.005870414462588111,0.0058243254086703476,0.341007521047022,0.00557620495242505,25,25
homogeneous_marble_01,homogeneous,normal_walking_control,marble,7,2997,3000,3,0.0009070571538934278,0.0009070571538934278,0.0,0.000730144886531281,3,3
homogeneous_marble_02,homogeneous,normal_walking_control,marble,0,37,275,238,0.0029506260487455528,0.0027535804916839976,0.1002730436025794,0.003364407547055477,17,18
homogeneous_marble_02,homogeneous,normal_walking_control,marble,1,276,280,4,0.00016151348596477969,0.00016151348596477966,0.0,0.0,0,0
homogeneous_marble_02,homogeneous,normal_walking_control,marble,2,605,940,335,0.002596213980909091,0.0022651731307553676,0.15797685915715948,0.0069242090518907146,18,28
homogeneous_marble_02,homogeneous,normal_walking_control,marble,3,1210,1520,310,0.004659862806927556,0.004496779699822896,0.2084474947140869,0.005579028575143537,25,30
homogeneous_marble_02,homogeneous,normal_walking_control,marble,4,1521,1526,5,0.000163626072755995,0.000163626072755995,0.0,0.0,0,0
homogeneous_marble_02,homogeneous,normal_walking_control,marble,5,1810,2120,310,0.0048724940923105895,0.00481865235082685,0.21250601582981535,0.0042469036732559196,22,23
homogeneous_marble_02,homogeneous,normal_walking_control,marble,6,2397,2720,323,0.005870414462588111,0.0058243254086703476,0.341007521047022,0.00557620495242505,25,25
homogeneous_marble_02,homogeneous,normal_walking_control,marble,7,2997,3000,3,0.0009070571538934278,0.0009070571538934278,0.0,0.000730144886531281,3,3
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,0,37,146,109,0.022011759532686713,0.022011759532686713,0.7355979500705709,0.003224865111863026,109,20
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,1,147,180,33,0.03343278293626361,0.03343278293626361,1.3097632750423445,0.0,33,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,2,181,191,10,0.013051774420631624,0.013051774420631624,0.0,0.0,10,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,3,192,201,9,0.013290385837105003,0.013290385837105005,0.0,0.0,9,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,4,202,224,22,0.041951980604532715,0.041951980604532715,2.2138171038932164,0.0,22,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,5,226,230,4,0.006274143421581653,0.006274143421581653,0.0,0.0,4,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,6,478,549,71,0.08815665042431275,0.08815665042431275,2.1381277210756746,0.014064358448199948,71,21
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,7,550,584,34,0.06325620618121956,0.06325620618121956,2.0669458202536948,0.0,34,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,8,585,588,3,0.00285839936590695,0.00285839936590695,0.0,0.0,3,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,9,589,713,124,0.06136694106917007,0.06111864645870049,1.173459263324177,0.0,122,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,10,714,722,8,0.0022697371538797978,0.0022697371538797978,0.0,1.0629186821861647e-05,8,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,11,723,736,13,0.0048178031617712586,0.0048178031617712586,0.40597013866414505,1.793035772609808e-05,13,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,12,737,742,5,0.0019233594211371856,0.0019233594211371856,0.0,2.5552782583801448e-05,5,5
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,13,743,747,4,0.001534372359781349,0.001534372359781349,0.0,1.1693891181253913e-05,4,4
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,14,748,752,4,0.001642987999227283,0.001642987999227283,0.0,2.03148757435892e-05,4,4
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,15,753,757,4,0.0017500650770293834,0.0017500650770293834,0.0,2.7549189110014083e-05,4,4
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,16,758,761,3,0.0012289268567466252,0.001228926856746625,0.0,2.4599666791316754e-05,3,3
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,17,762,777,15,0.008906294180959156,0.008906294180959156,0.642243103755089,7.994015822680028e-05,15,15
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,18,778,782,4,0.0020061548015526615,0.0020061548015526615,0.0,1.377320459229614e-05,4,3
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,19,783,789,6,0.0033387380329348805,0.0033387380329348805,0.0,9.484667884272768e-06,6,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,20,791,796,5,0.0026811488223844318,0.0026811488223844318,0.0,4.765534475356659e-06,5,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,21,797,803,6,0.003388696995047897,0.0033886969950478974,0.0,2.0567002012646107e-05,6,3
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,22,805,813,8,0.004739213534707592,0.004739213534707592,0.0,4.0753743640181694e-07,8,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,23,814,822,8,0.00471078689628405,0.00471078689628405,0.0,7.944884725843981e-06,6,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,24,823,828,5,0.002758265733813827,0.002758265733813827,0.0,0.0,5,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,25,829,832,3,0.001384424573237047,0.001384424573237047,0.0,0.0,3,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,26,833,838,5,0.0027536402890585812,0.0027536402890585812,0.0,4.0732759635370153e-07,5,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,27,839,844,5,0.0027954453607391787,0.0027954453607391787,0.0,1.1156951254726044e-05,0,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,28,847,852,5,0.0029258267126217757,0.0029258267126217757,0.0,1.3624151674627993e-05,0,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,29,854,857,3,0.0014642391136990701,0.0014642391136990701,0.0,2.633505424225885e-05,0,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,30,858,862,4,0.0022030905503603038,0.0022030905503603038,0.0,5.647681429409024e-05,0,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,31,866,870,4,0.002381368130272282,0.002381368130272282,0.0,6.164007581035968e-05,0,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,32,872,876,4,0.002420720278174973,0.002420720278174973,0.0,9.879457102900113e-05,0,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,33,889,910,21,0.01788511070941532,0.017885110709415324,0.9111374760301166,0.00029062722474963026,8,8
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,34,913,923,10,0.008286292590869389,0.008286292590869389,0.0,0.00034258455075350525,4,4
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,35,925,933,8,0.006781721047255319,0.006781721047255319,0.0,1.6988997769917802e-05,4,4
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,36,934,947,13,0.011652388201007889,0.011652388201007889,0.9762565794524988,0.000261871279503563,6,6
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,37,948,1127,179,0.054558387118826886,0.04888719914072058,0.94283315593042,0.005947029943992814,176,131
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,38,1128,1159,31,0.01134542086133683,0.01134542086133683,0.3873811517950265,0.0,31,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,39,1160,1190,30,0.011123343828211254,0.011123343828211254,0.4387477686422888,0.0,30,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,40,1191,1218,27,0.013010768094292689,0.013010768094292689,0.6160547117746051,0.0,27,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,41,1219,1241,22,0.013944245246294078,0.013944245246294076,0.7646785709356971,0.0,22,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,42,1242,1259,17,0.011189043322671599,0.011189043322671599,0.7744204211262439,0.0,17,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,43,1260,1272,12,0.0075623660289558595,0.0075623660289558595,0.7632213927838241,0.0,12,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,44,1273,1290,17,0.010455206769163231,0.010455206769163231,0.7793108473673207,0.0,17,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,45,1291,1297,6,0.003407456674224183,0.003407456674224183,0.0,0.0,6,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,46,1298,1301,3,0.0014180115273137758,0.0014180115273137758,0.0,0.0,3,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,47,1302,1306,4,0.00215573707392681,0.0021557370739268096,0.0,0.0,4,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,48,1307,1312,5,0.00307527533097317,0.00307527533097317,0.0,0.0,0,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,49,1314,1317,3,0.0017133418115842436,0.0017133418115842436,0.0,0.0,0,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,50,1319,1322,3,0.001879908072107377,0.001879908072107377,0.0,0.0,0,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,51,1587,1674,87,0.0645520282822561,0.06455202828225609,1.1029117158508903,0.006187912307154618,87,41
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,52,1675,1694,19,0.020019897992580596,0.020019897992580596,1.066211091800136,3.9730776518823174e-05,19,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,53,1695,1704,9,0.008082722625485223,0.008082722625485223,0.0,0.0,9,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,54,1705,1714,9,0.0072695902240776,0.0072695902240776,0.0,0.0,9,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,55,1715,1737,22,0.01624839503651378,0.01624839503651378,0.7655770682074909,0.0,22,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,56,1738,1751,13,0.007025404810396765,0.007025404810396765,0.53149812489808,0.0,13,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,57,1752,1769,17,0.0064290660112277295,0.0064290660112277295,0.3873889974086462,0.0,17,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,58,1770,1797,27,0.005381900301670072,0.005381900301670072,0.21672948299981806,4.9631933864646705e-05,27,3
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,59,1798,1902,104,0.01308026609169216,0.01308026609169216,0.1427522373045695,3.8340385311502745e-05,101,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,60,1903,1938,35,0.007848505672996942,0.007848505672996942,0.23831407296892934,0.0,35,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,61,1939,1958,19,0.00697213848134245,0.0069721384813424495,0.4267873785230808,0.0,0,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,62,1959,1965,6,0.0025336540363568717,0.0025336540363568717,0.0,0.0,0,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,63,1968,1972,4,0.0018477636091926016,0.0018477636091926016,0.0,0.0,0,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,64,1977,1980,3,0.0013576128659178698,0.0013576128659178698,0.0,0.0,0,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,65,2232,2306,74,0.043671413617561106,0.043671413617561106,0.933971580816451,0.013876330588075601,74,29
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,66,2307,2331,24,0.011091603799462996,0.011091603799462996,0.465131807475884,0.00017426499932687162,24,8
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,67,2332,2368,36,0.00901519967216481,0.009015199672164808,0.3390431437733929,0.0,36,3
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,68,2369,2398,29,0.011525161038607063,0.011525161038607063,0.5507392057801802,0.0,29,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,69,2399,2420,21,0.011451195331564634,0.011451195331564634,0.6918049112647844,0.0,21,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,70,2421,2460,39,0.02527222875775727,0.02527222875775727,0.7630074114014259,0.0,39,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,71,2461,2533,72,0.03983442193220005,0.03983442193220005,1.0715763101401354,0.0,72,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,72,2534,2541,7,0.006538615304601205,0.006538615304601205,0.0,0.0,7,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,73,2542,2562,20,0.021463837468300728,0.02146383746830073,1.164077141060001,0.0,20,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,74,2563,2570,7,0.007100911113814538,0.007100911113814538,0.0,0.0,7,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,75,2571,2576,5,0.004841670142149347,0.004841670142149347,0.0,0.0,5,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,76,2577,2580,3,0.002448104950930198,0.002448104950930198,0.0,0.0,3,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,77,2841,2895,54,0.046965934861467086,0.046965934861467086,1.3916571935945474,0.010843499091267167,54,23
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,78,2896,2910,14,0.02012680396189259,0.02012680396189259,1.4637479701133846,1.1372478010238107e-05,14,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,79,2911,2924,13,0.01837032313004486,0.01837032313004486,1.4761191679134713,0.0,13,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,80,2925,2941,16,0.02112311116008268,0.02112311116008268,1.381387482636819,0.0,16,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,81,2942,2948,6,0.0060054506440984715,0.0060054506440984715,0.0,0.0,6,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,82,2949,2956,7,0.0062920083819458465,0.0062920083819458465,0.0,0.0,7,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,83,2957,2990,33,0.029054631467480063,0.029054631467480063,0.9476728457968171,0.0,33,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,84,2991,2998,7,0.005479319457525287,0.005479319457525287,0.0,0.0,7,0
homogeneous_ice_01,homogeneous,slip_positive_evidence,ice,0,37,146,109,0.022011759532686713,0.022011759532686713,0.7355979500705709,0.003224865111863026,109,20
homogeneous_ice_01,homogeneous,slip_positive_evidence,ice,1,147,180,33,0.03343278293626361,0.03343278293626361,1.3097632750423445,0.0,33,0
homogeneous_ice_01,homogeneous,slip_positive_evidence,ice,2,181,191,10,0.013051774420631624,0.013051774420631624,0.0,0.0,10,0
homogeneous_ice_01,homogeneous,slip_positive_evidence,ice,3,192,201,9,0.013290385837105003,0.013290385837105005,0.0,0.0,9,0
homogeneous_ice_01,homogeneous,slip_positive_evidence,ice,4,202,224,22,0.041951980604532715,0.041951980604532715,2.2138171038932164,0.0,22,0
homogeneous_ice_01,homogeneous,slip_positive_evidence,ice,5,226,230,4,0.006274143421581653,0.006274143421581653,0.0,0.0,4,0
