run_id,domain,role,terrain_or_case,phase,samples,frozen_slip_positive_samples,frozen_sink_positive_samples
homogeneous_marble_00,homogeneous,normal_walking_control,marble,AIR,1472,0,0
homogeneous_marble_00,homogeneous,normal_walking_control,marble,TOUCHDOWN,62,53,53
homogeneous_marble_00,homogeneous,normal_walking_control,marble,LOADING,100,57,74
homogeneous_marble_00,homogeneous,normal_walking_control,marble,MID_STANCE,1316,0,0
homogeneous_marble_00,homogeneous,normal_walking_control,marble,PUSH_OFF,50,0,0
homogeneous_marble_01,homogeneous,normal_walking_control,marble,AIR,1472,0,0
homogeneous_marble_01,homogeneous,normal_walking_control,marble,TOUCHDOWN,62,53,53
homogeneous_marble_01,homogeneous,normal_walking_control,marble,LOADING,100,57,74
homogeneous_marble_01,homogeneous,normal_walking_control,marble,MID_STANCE,1316,0,0
homogeneous_marble_01,homogeneous,normal_walking_control,marble,PUSH_OFF,50,0,0
homogeneous_marble_02,homogeneous,normal_walking_control,marble,AIR,1472,0,0
homogeneous_marble_02,homogeneous,normal_walking_control,marble,TOUCHDOWN,62,53,53
homogeneous_marble_02,homogeneous,normal_walking_control,marble,LOADING,100,57,74
homogeneous_marble_02,homogeneous,normal_walking_control,marble,MID_STANCE,1316,0,0
homogeneous_marble_02,homogeneous,normal_walking_control,marble,PUSH_OFF,50,0,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,AIR,1166,0,0
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,TOUCHDOWN,656,562,127
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,LOADING,543,522,88
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,MID_STANCE,514,509,115
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,PUSH_OFF,121,121,12
homogeneous_ice_01,homogeneous,slip_positive_evidence,ice,AIR,1166,0,0
homogeneous_ice_01,homogeneous,slip_positive_evidence,ice,TOUCHDOWN,656,562,127
homogeneous_ice_01,homogeneous,slip_positive_evidence,ice,LOADING,543,522,88
homogeneous_ice_01,homogeneous,slip_positive_evidence,ice,MID_STANCE,514,509,115
homogeneous_ice_01,homogeneous,slip_positive_evidence,ice,PUSH_OFF,121,121,12
homogeneous_ice_02,homogeneous,slip_positive_evidence,ice,AIR,1166,0,0
homogeneous_ice_02,homogeneous,slip_positive_evidence,ice,TOUCHDOWN,656,562,127
homogeneous_ice_02,homogeneous,slip_positive_evidence,ice,LOADING,543,522,88
homogeneous_ice_02,homogeneous,slip_positive_evidence,ice,MID_STANCE,514,509,115
homogeneous_ice_02,homogeneous,slip_positive_evidence,ice,PUSH_OFF,121,121,12
homogeneous_sand_00,homogeneous,normal_walking_control,sand,AIR,1409,0,0
homogeneous_sand_00,homogeneous,normal_walking_control,sand,TOUCHDOWN,60,60,60
homogeneous_sand_00,homogeneous,normal_walking_control,sand,LOADING,103,41,89
homogeneous_sand_00,homogeneous,normal_walking_control,sand,MID_STANCE,1378,0,7
homogeneous_sand_00,homogeneous,normal_walking_control,sand,PUSH_OFF,50,0,0
homogeneous_sand_01,homogeneous,normal_walking_control,sand,AIR,1409,0,0
homogeneous_sand_01,homogeneous,normal_walking_control,sand,TOUCHDOWN,60,60,60
homogeneous_sand_01,homogeneous,normal_walking_control,sand,LOADING,103,41,89
homogeneous_sand_01,homogeneous,normal_walking_control,sand,MID_STANCE,1378,0,7
homogeneous_sand_01,homogeneous,normal_walking_control,sand,PUSH_OFF,50,0,0
homogeneous_sand_02,homogeneous,normal_walking_control,sand,AIR,1409,0,0
homogeneous_sand_02,homogeneous,normal_walking_control,sand,TOUCHDOWN,60,60,60
homogeneous_sand_02,homogeneous,normal_walking_control,sand,LOADING,103,41,89
homogeneous_sand_02,homogeneous,normal_walking_control,sand,MID_STANCE,1378,0,7
homogeneous_sand_02,homogeneous,normal_walking_control,sand,PUSH_OFF,50,0,0
homogeneous_concrete_00,homogeneous,normal_walking_control,concrete,AIR,1475,0,0
homogeneous_concrete_00,homogeneous,normal_walking_control,concrete,TOUCHDOWN,51,49,50
homogeneous_concrete_00,homogeneous,normal_walking_control,concrete,LOADING,100,35,75
homogeneous_concrete_00,homogeneous,normal_walking_control,concrete,MID_STANCE,1324,0,0
homogeneous_concrete_00,homogeneous,normal_walking_control,concrete,PUSH_OFF,50,0,0
homogeneous_concrete_01,homogeneous,normal_walking_control,concrete,AIR,1475,0,0
homogeneous_concrete_01,homogeneous,normal_walking_control,concrete,TOUCHDOWN,51,49,50
homogeneous_concrete_01,homogeneous,normal_walking_control,concrete,LOADING,100,35,75
homogeneous_concrete_01,homogeneous,normal_walking_control,concrete,MID_STANCE,1324,0,0
homogeneous_concrete_01,homogeneous,normal_walking_control,concrete,PUSH_OFF,50,0,0
homogeneous_concrete_02,homogeneous,normal_walking_control,concrete,AIR,1475,0,0
homogeneous_concrete_02,homogeneous,normal_walking_control,concrete,TOUCHDOWN,51,49,50
homogeneous_concrete_02,homogeneous,normal_walking_control,concrete,LOADING,100,35,75
homogeneous_concrete_02,homogeneous,normal_walking_control,concrete,MID_STANCE,1324,0,0
homogeneous_concrete_02,homogeneous,normal_walking_control,concrete,PUSH_OFF,50,0,0
walking_A_00,spatial_transition,confounded_falling_transition,A,AIR,2449,0,0
walking_A_00,spatial_transition,confounded_falling_transition,A,TOUCHDOWN,128,106,24
walking_A_00,spatial_transition,confounded_falling_transition,A,LOADING,128,128,64
walking_A_00,spatial_transition,confounded_falling_transition,A,MID_STANCE,246,36,23
walking_A_00,spatial_transition,confounded_falling_transition,A,PUSH_OFF,49,39,29
walking_A_01,spatial_transition,confounded_falling_transition,A,AIR,2449,0,0
walking_A_01,spatial_transition,confounded_falling_transition,A,TOUCHDOWN,128,106,24
walking_A_01,spatial_transition,confounded_falling_transition,A,LOADING,128,128,64
walking_A_01,spatial_transition,confounded_falling_transition,A,MID_STANCE,246,36,23
walking_A_01,spatial_transition,confounded_falling_transition,A,PUSH_OFF,49,39,29
walking_A_02,spatial_transition,confounded_falling_transition,A,AIR,2449,0,0
walking_A_02,spatial_transition,confounded_falling_transition,A,TOUCHDOWN,128,106,24
walking_A_02,spatial_transition,confounded_falling_transition,A,LOADING,128,128,64
walking_A_02,spatial_transition,confounded_falling_transition,A,MID_STANCE,246,36,23
walking_A_02,spatial_transition,confounded_falling_transition,A,PUSH_OFF,49,39,29
walking_B_00,spatial_transition,confounded_falling_transition,B,AIR,2446,0,0
walking_B_00,spatial_transition,confounded_falling_transition,B,TOUCHDOWN,165,137,44
walking_B_00,spatial_transition,confounded_falling_transition,B,LOADING,100,100,20
walking_B_00,spatial_transition,confounded_falling_transition,B,MID_STANCE,254,44,0
walking_B_00,spatial_transition,confounded_falling_transition,B,PUSH_OFF,35,22,5
walking_B_01,spatial_transition,confounded_falling_transition,B,AIR,2446,0,0
walking_B_01,spatial_transition,confounded_falling_transition,B,TOUCHDOWN,165,137,44
walking_B_01,spatial_transition,confounded_falling_transition,B,LOADING,100,100,20
walking_B_01,spatial_transition,confounded_falling_transition,B,MID_STANCE,254,44,0
walking_B_01,spatial_transition,confounded_falling_transition,B,PUSH_OFF,35,22,5
walking_B_02,spatial_transition,confounded_falling_transition,B,AIR,2446,0,0
walking_B_02,spatial_transition,confounded_falling_transition,B,TOUCHDOWN,165,137,44
walking_B_02,spatial_transition,confounded_falling_transition,B,LOADING,100,100,20
walking_B_02,spatial_transition,confounded_falling_transition,B,MID_STANCE,254,44,0
walking_B_02,spatial_transition,confounded_falling_transition,B,PUSH_OFF,35,22,5
walking_C_00,spatial_transition,confounded_falling_transition,C,AIR,2720,0,0
walking_C_00,spatial_transition,confounded_falling_transition,C,TOUCHDOWN,135,131,97
walking_C_00,spatial_transition,confounded_falling_transition,C,LOADING,65,65,23
walking_C_00,spatial_transition,confounded_falling_transition,C,MID_STANCE,57,57,30
walking_C_00,spatial_transition,confounded_falling_transition,C,PUSH_OFF,23,23,10
walking_C_01,spatial_transition,confounded_falling_transition,C,AIR,2720,0,0
walking_C_01,spatial_transition,confounded_falling_transition,C,TOUCHDOWN,135,131,97
walking_C_01,spatial_transition,confounded_falling_transition,C,LOADING,65,65,23
walking_C_01,spatial_transition,confounded_falling_transition,C,MID_STANCE,57,57,30
walking_C_01,spatial_transition,confounded_falling_transition,C,PUSH_OFF,23,23,10
walking_C_02,spatial_transition,confounded_falling_transition,C,AIR,2720,0,0
walking_C_02,spatial_transition,confounded_falling_transition,C,TOUCHDOWN,135,131,97
walking_C_02,spatial_transition,confounded_falling_transition,C,LOADING,65,65,23
walking_C_02,spatial_transition,confounded_falling_transition,C,MID_STANCE,57,57,30
walking_C_02,spatial_transition,confounded_falling_transition,C,PUSH_OFF,23,23,10
walking_D_00,spatial_transition,confounded_falling_transition,D,AIR,2444,0,0
walking_D_00,spatial_transition,confounded_falling_transition,D,TOUCHDOWN,90,85,25
walking_D_00,spatial_transition,confounded_falling_transition,D,LOADING,95,87,31
walking_D_00,spatial_transition,confounded_falling_transition,D,MID_STANCE,331,178,4
