run_id,domain,role,terrain_or_case,fall_occurred,loaded_samples,loaded_episodes,frozen_slip_positive_samples,frozen_sink_positive_samples,frozen_slip_run_positive,frozen_sink_run_positive
homogeneous_marble_00,homogeneous,normal_walking_control,marble,False,1528,8,110,127,True,True
homogeneous_marble_01,homogeneous,normal_walking_control,marble,False,1528,8,110,127,True,True
homogeneous_marble_02,homogeneous,normal_walking_control,marble,False,1528,8,110,127,True,True
homogeneous_ice_00,homogeneous,slip_positive_evidence,ice,False,1834,85,1714,342,True,True
homogeneous_ice_01,homogeneous,slip_positive_evidence,ice,False,1834,85,1714,342,True,True
homogeneous_ice_02,homogeneous,slip_positive_evidence,ice,False,1834,85,1714,342,True,True
homogeneous_sand_00,homogeneous,normal_walking_control,sand,False,1591,6,101,156,True,True
homogeneous_sand_01,homogeneous,normal_walking_control,sand,False,1591,6,101,156,True,True
homogeneous_sand_02,homogeneous,normal_walking_control,sand,False,1591,6,101,156,True,True
homogeneous_concrete_00,homogeneous,normal_walking_control,concrete,False,1525,5,84,125,True,True
homogeneous_concrete_01,homogeneous,normal_walking_control,concrete,False,1525,5,84,125,True,True
homogeneous_concrete_02,homogeneous,normal_walking_control,concrete,False,1525,5,84,125,True,True
walking_A_00,spatial_transition,confounded_falling_transition,A,True,551,4,309,140,True,True
walking_A_01,spatial_transition,confounded_falling_transition,A,True,551,4,309,140,True,True
walking_A_02,spatial_transition,confounded_falling_transition,A,True,551,4,309,140,True,True
walking_B_00,spatial_transition,confounded_falling_transition,B,True,554,12,303,69,True,True
walking_B_01,spatial_transition,confounded_falling_transition,B,True,554,12,303,69,True,True
walking_B_02,spatial_transition,confounded_falling_transition,B,True,554,12,303,69,True,True
walking_C_00,spatial_transition,confounded_falling_transition,C,True,280,12,276,160,True,True
walking_C_01,spatial_transition,confounded_falling_transition,C,True,280,12,276,160,True,True
walking_C_02,spatial_transition,confounded_falling_transition,C,True,280,12,276,160,True,True
walking_D_00,spatial_transition,confounded_falling_transition,D,True,556,6,380,70,True,True
walking_D_01,spatial_transition,confounded_falling_transition,D,True,556,6,380,70,True,True
walking_D_02,spatial_transition,confounded_falling_transition,D,True,556,6,380,70,True,True
