row_type,evaluation_role,phase_segment_counts,sample_agreement,touchdown_events,touchdown_detected,touchdown_latency_median_ms,touchdown_latency_p95_abs_ms,contact_state_ready,diagnostic_phase,inferred_phase,sample_count,run_id,episode_index,physical_touchdown_sample,inferred_touchdown_sample,phase_inference_latency_ms
summary,read-only; simulator gait phase was never a runtime input,"{""AIR"": 332, ""LOADING"": 317, ""RECOVERY"": 735, ""STABLE"": 749}",0.9282777777777778,323,323,0.0,10.0,True,,,,,,,,
phase_confusion,,,,,,,,,AIR,AIR,22262,,,,,
phase_confusion,,,,,,,,,AIR,LOADING,1,,,,,
phase_confusion,,,,,,,,,AIR,RECOVERY,23,,,,,
phase_confusion,,,,,,,,,AIR,STABLE,2,,,,,
phase_confusion,,,,,,,,,LOADING,LOADING,4906,,,,,
phase_confusion,,,,,,,,,LOADING,RECOVERY,31,,,,,
phase_confusion,,,,,,,,,LOADING,STABLE,39,,,,,
phase_confusion,,,,,,,,,RECOVERY,RECOVERY,865,,,,,
phase_confusion,,,,,,,,,RECOVERY,STABLE,250,,,,,
phase_confusion,,,,,,,,,STABLE,RECOVERY,3527,,,,,
phase_confusion,,,,,,,,,STABLE,STABLE,22094,,,,,
touchdown_timing,,,,,,,,,,,,marble_native_0p10_v02,0,138,138,0
touchdown_timing,,,,,,,,,,,,marble_native_0p10_v02,1,515,515,0
touchdown_timing,,,,,,,,,,,,marble_native_0p10_v02,2,797,797,0
touchdown_timing,,,,,,,,,,,,marble_native_0p10_v02,3,1388,1388,0
touchdown_timing,,,,,,,,,,,,marble_native_0p10_v02,4,1991,1991,0
touchdown_timing,,,,,,,,,,,,marble_native_0p10_v02,5,2589,2589,0
touchdown_timing,,,,,,,,,,,,concrete_native_0p10_v02,0,140,140,0
touchdown_timing,,,,,,,,,,,,concrete_native_0p10_v02,1,799,799,0
touchdown_timing,,,,,,,,,,,,concrete_native_0p10_v02,2,1394,1394,0
touchdown_timing,,,,,,,,,,,,concrete_native_0p10_v02,3,1997,1997,0
touchdown_timing,,,,,,,,,,,,concrete_native_0p10_v02,4,2324,2595,271
touchdown_timing,,,,,,,,,,,,concrete_native_0p10_v02,5,2595,2595,0
touchdown_timing,,,,,,,,,,,,sand_hardened_0p10_v02,0,117,117,0
touchdown_timing,,,,,,,,,,,,sand_hardened_0p10_v02,1,131,131,0
touchdown_timing,,,,,,,,,,,,sand_hardened_0p10_v02,2,140,131,-9
touchdown_timing,,,,,,,,,,,,sand_hardened_0p10_v02,3,796,796,0
touchdown_timing,,,,,,,,,,,,sand_hardened_0p10_v02,4,1382,1382,0
touchdown_timing,,,,,,,,,,,,sand_hardened_0p10_v02,5,1984,1984,0
touchdown_timing,,,,,,,,,,,,sand_hardened_0p10_v02,6,2584,2584,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,0,77,77,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,1,173,173,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,2,224,224,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,3,237,237,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,4,297,297,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,5,306,297,-9
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,6,347,347,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,7,368,368,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,8,381,381,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,9,394,394,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,10,505,505,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,11,873,873,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,12,891,891,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,13,908,908,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,14,918,908,-10
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,15,929,929,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,16,940,940,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,17,952,952,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,18,1247,1247,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,19,1473,1473,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,20,1505,1505,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,21,1576,1576,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,22,1581,1576,-5
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,23,1585,1576,-9
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,24,1590,1581,-9
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,25,1595,1585,-10
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,26,1599,1590,-9
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,27,1607,1599,-8
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,28,1612,1607,-5
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,29,1615,1607,-8
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,30,1618,1612,-6
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,31,1630,1630,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,32,1635,1630,-5
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,33,1639,1630,-9
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,34,1646,1639,-7
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,35,1650,1646,-4
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,36,1654,1646,-8
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,37,1657,1650,-7
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,38,1666,1657,-9
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,39,1671,1666,-5
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,40,1675,1666,-9
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,41,1677,1671,-6
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,42,1681,1671,-10
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,43,1689,1681,-8
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,44,1695,1689,-6
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,45,1699,1689,-10
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,46,1772,1772,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,47,1786,1786,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,48,1793,1786,-7
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,49,1962,1962,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,50,2044,2044,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,51,2078,2078,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,52,2101,2101,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,53,2121,2121,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,54,2128,2121,-7
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,55,2135,2128,-7
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,56,2435,2435,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,57,2566,2566,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,58,2580,2580,0
touchdown_timing,,,,,,,,,,,,ice_native_0p10_v02,59,2602,2602,0
