detector,candidate_id,run_id,AIR_firing_samples,touchdown_confirmed_samples,post_fall_firing_samples,invalid_firing_samples
slip,A_stateless_100ms,marble_native_0p10_v02,0,0,0,0
slip,A_stateless_100ms,concrete_native_0p10_v02,0,0,0,0
slip,A_stateless_100ms,sand_hardened_0p10_v02,0,0,0,0
slip,A_stateless_100ms,ice_native_0p10_v02,0,0,0,0
slip,A_stateless_100ms,sand_solref_interpolation_1of3_0p10_v02,0,0,0,0
slip,A_stateless_100ms,sand_solref_interpolation_2of3_0p10_v02,0,0,0,0
slip,A_stateless_100ms,marble_native_0p15_v02,0,0,0,0
slip,A_stateless_100ms,concrete_native_0p15_v02,0,0,0,0
slip,A_stateless_100ms,sand_hardened_0p15_v02,0,0,0,0
slip,A_stateless_100ms,ice_native_0p15_v02,1,0,0,1
slip,A_stateless_100ms,sand_solref_interpolation_1of3_0p15_v02,0,0,0,0
slip,A_stateless_100ms,sand_solref_interpolation_2of3_0p15_v02,0,0,0,0
slip,A_stateless_100ms,marble_native_0p20_v02,0,0,0,0
slip,A_stateless_100ms,concrete_native_0p20_v02,0,0,0,0
slip,A_stateless_100ms,sand_hardened_0p20_v02,0,0,0,0
slip,A_stateless_100ms,ice_native_0p20_v02,1,0,0,1
slip,A_stateless_100ms,sand_solref_interpolation_1of3_0p20_v02,0,0,0,0
slip,A_stateless_100ms,sand_solref_interpolation_2of3_0p20_v02,0,0,0,0
slip,B_dual_persistence_100ms,marble_native_0p10_v02,0,0,0,0
slip,B_dual_persistence_100ms,concrete_native_0p10_v02,0,0,0,0
slip,B_dual_persistence_100ms,sand_hardened_0p10_v02,0,0,0,0
slip,B_dual_persistence_100ms,ice_native_0p10_v02,0,0,0,0
slip,B_dual_persistence_100ms,sand_solref_interpolation_1of3_0p10_v02,0,0,0,0
slip,B_dual_persistence_100ms,sand_solref_interpolation_2of3_0p10_v02,0,0,0,0
slip,B_dual_persistence_100ms,marble_native_0p15_v02,0,0,0,0
slip,B_dual_persistence_100ms,concrete_native_0p15_v02,0,0,0,0
slip,B_dual_persistence_100ms,sand_hardened_0p15_v02,0,0,0,0
slip,B_dual_persistence_100ms,ice_native_0p15_v02,1,0,0,1
slip,B_dual_persistence_100ms,sand_solref_interpolation_1of3_0p15_v02,0,0,0,0
slip,B_dual_persistence_100ms,sand_solref_interpolation_2of3_0p15_v02,0,0,0,0
slip,B_dual_persistence_100ms,marble_native_0p20_v02,0,0,0,0
slip,B_dual_persistence_100ms,concrete_native_0p20_v02,0,0,0,0
slip,B_dual_persistence_100ms,sand_hardened_0p20_v02,0,0,0,0
slip,B_dual_persistence_100ms,ice_native_0p20_v02,1,0,0,1
slip,B_dual_persistence_100ms,sand_solref_interpolation_1of3_0p20_v02,0,0,0,0
slip,B_dual_persistence_100ms,sand_solref_interpolation_2of3_0p20_v02,0,0,0,0
slip,C_contact_gated_100ms,marble_native_0p10_v02,0,0,0,0
slip,C_contact_gated_100ms,concrete_native_0p10_v02,0,0,0,0
slip,C_contact_gated_100ms,sand_hardened_0p10_v02,0,0,0,0
slip,C_contact_gated_100ms,ice_native_0p10_v02,0,0,0,0
slip,C_contact_gated_100ms,sand_solref_interpolation_1of3_0p10_v02,0,0,0,0
slip,C_contact_gated_100ms,sand_solref_interpolation_2of3_0p10_v02,0,0,0,0
slip,C_contact_gated_100ms,marble_native_0p15_v02,0,0,0,0
slip,C_contact_gated_100ms,concrete_native_0p15_v02,0,0,0,0
slip,C_contact_gated_100ms,sand_hardened_0p15_v02,0,0,0,0
slip,C_contact_gated_100ms,ice_native_0p15_v02,0,0,0,0
slip,C_contact_gated_100ms,sand_solref_interpolation_1of3_0p15_v02,0,0,0,0
slip,C_contact_gated_100ms,sand_solref_interpolation_2of3_0p15_v02,0,0,0,0
slip,C_contact_gated_100ms,marble_native_0p20_v02,0,0,0,0
slip,C_contact_gated_100ms,concrete_native_0p20_v02,0,0,0,0
slip,C_contact_gated_100ms,sand_hardened_0p20_v02,0,0,0,0
slip,C_contact_gated_100ms,ice_native_0p20_v02,0,0,0,0
slip,C_contact_gated_100ms,sand_solref_interpolation_1of3_0p20_v02,0,0,0,0
slip,C_contact_gated_100ms,sand_solref_interpolation_2of3_0p20_v02,0,0,0,0
slip,D_touchdown_reference_100ms,marble_native_0p10_v02,0,0,0,0
slip,D_touchdown_reference_100ms,concrete_native_0p10_v02,0,0,0,0
slip,D_touchdown_reference_100ms,sand_hardened_0p10_v02,0,0,0,0
slip,D_touchdown_reference_100ms,ice_native_0p10_v02,0,0,0,0
slip,D_touchdown_reference_100ms,sand_solref_interpolation_1of3_0p10_v02,0,0,0,0
slip,D_touchdown_reference_100ms,sand_solref_interpolation_2of3_0p10_v02,0,0,0,0
slip,D_touchdown_reference_100ms,marble_native_0p15_v02,0,0,0,0
slip,D_touchdown_reference_100ms,concrete_native_0p15_v02,0,0,0,0
slip,D_touchdown_reference_100ms,sand_hardened_0p15_v02,0,0,0,0
slip,D_touchdown_reference_100ms,ice_native_0p15_v02,0,0,0,0
slip,D_touchdown_reference_100ms,sand_solref_interpolation_1of3_0p15_v02,0,0,0,0
slip,D_touchdown_reference_100ms,sand_solref_interpolation_2of3_0p15_v02,0,0,0,0
slip,D_touchdown_reference_100ms,marble_native_0p20_v02,0,0,0,0
slip,D_touchdown_reference_100ms,concrete_native_0p20_v02,0,0,0,0
slip,D_touchdown_reference_100ms,sand_hardened_0p20_v02,0,0,0,0
slip,D_touchdown_reference_100ms,ice_native_0p20_v02,0,0,0,0
slip,D_touchdown_reference_100ms,sand_solref_interpolation_1of3_0p20_v02,0,0,0,0
slip,D_touchdown_reference_100ms,sand_solref_interpolation_2of3_0p20_v02,0,0,0,0
sink,A_stateless_20ms,marble_native_0p10_v02,0,0,0,0
sink,A_stateless_20ms,concrete_native_0p10_v02,0,0,0,0
sink,A_stateless_20ms,sand_hardened_0p10_v02,0,0,0,0
sink,A_stateless_20ms,ice_native_0p10_v02,0,0,0,0
sink,A_stateless_20ms,sand_solref_interpolation_1of3_0p10_v02,0,0,0,0
sink,A_stateless_20ms,sand_solref_interpolation_2of3_0p10_v02,0,0,0,0
sink,A_stateless_20ms,marble_native_0p15_v02,0,0,0,0
sink,A_stateless_20ms,concrete_native_0p15_v02,0,0,0,0
sink,A_stateless_20ms,sand_hardened_0p15_v02,0,0,0,0
sink,A_stateless_20ms,ice_native_0p15_v02,0,0,0,0
sink,A_stateless_20ms,sand_solref_interpolation_1of3_0p15_v02,0,0,0,0
sink,A_stateless_20ms,sand_solref_interpolation_2of3_0p15_v02,0,0,0,0
sink,A_stateless_20ms,marble_native_0p20_v02,0,0,0,0
sink,A_stateless_20ms,concrete_native_0p20_v02,0,0,0,0
sink,A_stateless_20ms,sand_hardened_0p20_v02,0,0,0,0
sink,A_stateless_20ms,ice_native_0p20_v02,0,0,0,0
sink,A_stateless_20ms,sand_solref_interpolation_1of3_0p20_v02,0,0,0,0
sink,A_stateless_20ms,sand_solref_interpolation_2of3_0p20_v02,0,0,0,0
sink,B_causal_50ms,marble_native_0p10_v02,0,0,0,0
sink,B_causal_50ms,concrete_native_0p10_v02,0,0,0,0
sink,B_causal_50ms,sand_hardened_0p10_v02,0,0,0,0
sink,B_causal_50ms,ice_native_0p10_v02,0,0,0,0
sink,B_causal_50ms,sand_solref_interpolation_1of3_0p10_v02,0,0,0,0
sink,B_causal_50ms,sand_solref_interpolation_2of3_0p10_v02,0,0,0,0
sink,B_causal_50ms,marble_native_0p15_v02,0,0,0,0
sink,B_causal_50ms,concrete_native_0p15_v02,0,0,0,0
sink,B_causal_50ms,sand_hardened_0p15_v02,0,0,0,0
sink,B_causal_50ms,ice_native_0p15_v02,0,0,0,0
sink,B_causal_50ms,sand_solref_interpolation_1of3_0p15_v02,0,0,0,0
sink,B_causal_50ms,sand_solref_interpolation_2of3_0p15_v02,0,0,0,0
sink,B_causal_50ms,marble_native_0p20_v02,0,0,0,0
sink,B_causal_50ms,concrete_native_0p20_v02,0,0,0,0
sink,B_causal_50ms,sand_hardened_0p20_v02,0,0,0,0
sink,B_causal_50ms,ice_native_0p20_v02,1,0,0,1
sink,B_causal_50ms,sand_solref_interpolation_1of3_0p20_v02,0,0,0,0
sink,B_causal_50ms,sand_solref_interpolation_2of3_0p20_v02,0,0,0,0
sink,C_dual_history_200ms,marble_native_0p10_v02,0,0,0,0
sink,C_dual_history_200ms,concrete_native_0p10_v02,0,0,0,0
sink,C_dual_history_200ms,sand_hardened_0p10_v02,0,0,0,0
sink,C_dual_history_200ms,ice_native_0p10_v02,0,0,0,0
sink,C_dual_history_200ms,sand_solref_interpolation_1of3_0p10_v02,0,0,0,0
sink,C_dual_history_200ms,sand_solref_interpolation_2of3_0p10_v02,0,0,0,0
sink,C_dual_history_200ms,marble_native_0p15_v02,0,0,0,0
sink,C_dual_history_200ms,concrete_native_0p15_v02,0,0,0,0
sink,C_dual_history_200ms,sand_hardened_0p15_v02,0,0,0,0
sink,C_dual_history_200ms,ice_native_0p15_v02,0,0,0,0
sink,C_dual_history_200ms,sand_solref_interpolation_1of3_0p15_v02,0,0,0,0
sink,C_dual_history_200ms,sand_solref_interpolation_2of3_0p15_v02,0,0,0,0
sink,C_dual_history_200ms,marble_native_0p20_v02,0,0,0,0
sink,C_dual_history_200ms,concrete_native_0p20_v02,0,0,0,0
sink,C_dual_history_200ms,sand_hardened_0p20_v02,0,0,0,0
sink,C_dual_history_200ms,ice_native_0p20_v02,1,0,0,1
sink,C_dual_history_200ms,sand_solref_interpolation_1of3_0p20_v02,0,0,0,0
sink,C_dual_history_200ms,sand_solref_interpolation_2of3_0p20_v02,0,0,0,0
sink,D_touchdown_stateful_200ms,marble_native_0p10_v02,0,0,0,0
sink,D_touchdown_stateful_200ms,concrete_native_0p10_v02,0,0,0,0
sink,D_touchdown_stateful_200ms,sand_hardened_0p10_v02,0,0,0,0
sink,D_touchdown_stateful_200ms,ice_native_0p10_v02,0,0,0,0
sink,D_touchdown_stateful_200ms,sand_solref_interpolation_1of3_0p10_v02,2,0,0,2
sink,D_touchdown_stateful_200ms,sand_solref_interpolation_2of3_0p10_v02,3,0,0,3
sink,D_touchdown_stateful_200ms,marble_native_0p15_v02,0,0,0,0
sink,D_touchdown_stateful_200ms,concrete_native_0p15_v02,0,0,0,0
sink,D_touchdown_stateful_200ms,sand_hardened_0p15_v02,2,0,0,2
sink,D_touchdown_stateful_200ms,ice_native_0p15_v02,0,0,0,0
sink,D_touchdown_stateful_200ms,sand_solref_interpolation_1of3_0p15_v02,0,0,0,0
sink,D_touchdown_stateful_200ms,sand_solref_interpolation_2of3_0p15_v02,1,0,0,1
sink,D_touchdown_stateful_200ms,marble_native_0p20_v02,0,0,0,0
sink,D_touchdown_stateful_200ms,concrete_native_0p20_v02,0,0,0,0
sink,D_touchdown_stateful_200ms,sand_hardened_0p20_v02,1,0,0,1
sink,D_touchdown_stateful_200ms,ice_native_0p20_v02,1,0,0,1
sink,D_touchdown_stateful_200ms,sand_solref_interpolation_1of3_0p20_v02,0,0,0,0
sink,D_touchdown_stateful_200ms,sand_solref_interpolation_2of3_0p20_v02,0,0,0,0
sink,E_contact_gated_stateful_200ms,marble_native_0p10_v02,0,0,0,0
sink,E_contact_gated_stateful_200ms,concrete_native_0p10_v02,0,0,0,0
sink,E_contact_gated_stateful_200ms,sand_hardened_0p10_v02,0,0,0,0
sink,E_contact_gated_stateful_200ms,ice_native_0p10_v02,0,0,0,0
sink,E_contact_gated_stateful_200ms,sand_solref_interpolation_1of3_0p10_v02,0,0,0,0
sink,E_contact_gated_stateful_200ms,sand_solref_interpolation_2of3_0p10_v02,0,0,0,0
sink,E_contact_gated_stateful_200ms,marble_native_0p15_v02,0,0,0,0
sink,E_contact_gated_stateful_200ms,concrete_native_0p15_v02,0,0,0,0
sink,E_contact_gated_stateful_200ms,sand_hardened_0p15_v02,0,0,0,0
sink,E_contact_gated_stateful_200ms,ice_native_0p15_v02,0,0,0,0
sink,E_contact_gated_stateful_200ms,sand_solref_interpolation_1of3_0p15_v02,0,0,0,0
sink,E_contact_gated_stateful_200ms,sand_solref_interpolation_2of3_0p15_v02,0,0,0,0
sink,E_contact_gated_stateful_200ms,marble_native_0p20_v02,0,0,0,0
sink,E_contact_gated_stateful_200ms,concrete_native_0p20_v02,0,0,0,0
sink,E_contact_gated_stateful_200ms,sand_hardened_0p20_v02,0,0,0,0
sink,E_contact_gated_stateful_200ms,ice_native_0p20_v02,0,0,0,0
sink,E_contact_gated_stateful_200ms,sand_solref_interpolation_1of3_0p20_v02,0,0,0,0
sink,E_contact_gated_stateful_200ms,sand_solref_interpolation_2of3_0p20_v02,0,0,0,0
