detector,candidate_id,run_id,profile,speed_mps,role,physical_positive,physical_onset_sample,first_risk_sample,risk_in_horizon,risk_after_onset,risk_too_early,first_confirmed_sample,pre_onset_confirmed,post_onset_confirmed_sample,confirmed_detected,confirmed_latency_ms,normal_risk_fp,normal_confirmed_fp
slip,A_stateless_100ms,ice_native_0p10_v02,ice,0.1,slip_candidate,True,158,107,True,True,False,107,True,158,True,0,False,False
slip,A_stateless_100ms,ice_native_0p15_v02,ice,0.15,slip_candidate,True,158,108,True,True,False,108,True,158,True,0,False,False
slip,A_stateless_100ms,ice_native_0p20_v02,ice,0.2,slip_candidate,True,159,108,True,True,False,108,True,159,True,0,False,False
slip,B_dual_persistence_100ms,ice_native_0p10_v02,ice,0.1,slip_candidate,True,158,111,True,True,False,111,True,213,True,55,False,False
slip,B_dual_persistence_100ms,ice_native_0p15_v02,ice,0.15,slip_candidate,True,158,112,True,True,False,112,True,158,True,0,False,False
slip,B_dual_persistence_100ms,ice_native_0p20_v02,ice,0.2,slip_candidate,True,159,112,True,True,False,112,True,159,True,0,False,False
slip,C_contact_gated_100ms,ice_native_0p10_v02,ice,0.1,slip_candidate,True,158,155,True,True,False,2563,False,2563,True,2405,False,False
slip,C_contact_gated_100ms,ice_native_0p15_v02,ice,0.15,slip_candidate,True,158,2438,False,False,False,2518,False,,False,,False,False
slip,C_contact_gated_100ms,ice_native_0p20_v02,ice,0.2,slip_candidate,True,159,2486,False,False,False,2564,False,,False,,False,False
slip,D_touchdown_reference_100ms,ice_native_0p10_v02,ice,0.1,slip_candidate,True,158,149,True,True,False,,False,,False,,False,False
slip,D_touchdown_reference_100ms,ice_native_0p15_v02,ice,0.15,slip_candidate,True,158,145,True,True,False,2543,False,,False,,False,False
slip,D_touchdown_reference_100ms,ice_native_0p20_v02,ice,0.2,slip_candidate,True,159,150,True,True,False,,False,,False,,False,False
sink,A_stateless_20ms,sand_solref_interpolation_1of3_0p10_v02,sand_solref_interpolation_1of3,0.1,sink_candidate,True,857,,False,False,False,,False,,False,,False,False
sink,A_stateless_20ms,sand_solref_interpolation_2of3_0p10_v02,sand_solref_interpolation_2of3,0.1,sink_candidate,True,188,,False,False,False,,False,,False,,False,False
sink,A_stateless_20ms,sand_solref_interpolation_1of3_0p15_v02,sand_solref_interpolation_1of3,0.15,sink_candidate,True,249,,False,False,False,,False,,False,,False,False
sink,A_stateless_20ms,sand_solref_interpolation_2of3_0p15_v02,sand_solref_interpolation_2of3,0.15,sink_candidate,True,188,,False,False,False,,False,,False,,False,False
sink,A_stateless_20ms,sand_solref_interpolation_1of3_0p20_v02,sand_solref_interpolation_1of3,0.2,sink_candidate,True,242,,False,False,False,,False,,False,,False,False
sink,A_stateless_20ms,sand_solref_interpolation_2of3_0p20_v02,sand_solref_interpolation_2of3,0.2,sink_candidate,True,189,,False,False,False,,False,,False,,False,False
sink,B_causal_50ms,sand_solref_interpolation_1of3_0p10_v02,sand_solref_interpolation_1of3,0.1,sink_candidate,True,857,124,False,False,True,124,True,,False,,False,False
sink,B_causal_50ms,sand_solref_interpolation_2of3_0p10_v02,sand_solref_interpolation_2of3,0.1,sink_candidate,True,188,,False,False,False,,False,,False,,False,False
sink,B_causal_50ms,sand_solref_interpolation_1of3_0p15_v02,sand_solref_interpolation_1of3,0.15,sink_candidate,True,249,124,True,True,False,124,True,249,True,0,False,False
sink,B_causal_50ms,sand_solref_interpolation_2of3_0p15_v02,sand_solref_interpolation_2of3,0.15,sink_candidate,True,188,,False,False,False,,False,,False,,False,False
sink,B_causal_50ms,sand_solref_interpolation_1of3_0p20_v02,sand_solref_interpolation_1of3,0.2,sink_candidate,True,242,124,True,True,False,124,True,242,True,0,False,False
