detector,candidate_id,run_id,causal_fsr_contact_losses,contact_loss_reset_events,reset_events,missed_contact_loss_resets,unexpected_contact_loss_resets,hazard_true_on_reset,fall_censor_reset_present,episode_boundary_initialized_clean,reset_invariant_pass
slip,A_stateless_100ms,marble_native_0p10_v02,6,6,6,0,0,0,True,True,True
slip,A_stateless_100ms,concrete_native_0p10_v02,5,5,5,0,0,0,True,True,True
slip,A_stateless_100ms,sand_hardened_0p10_v02,7,7,7,0,0,0,True,True,True
slip,A_stateless_100ms,ice_native_0p10_v02,73,73,73,0,0,0,True,True,True
slip,A_stateless_100ms,sand_solref_interpolation_1of3_0p10_v02,5,5,5,0,0,0,True,True,True
slip,A_stateless_100ms,sand_solref_interpolation_2of3_0p10_v02,5,5,5,0,0,0,True,True,True
slip,A_stateless_100ms,marble_native_0p15_v02,6,6,6,0,0,0,True,True,True
slip,A_stateless_100ms,concrete_native_0p15_v02,5,5,5,0,0,0,True,True,True
slip,A_stateless_100ms,sand_hardened_0p15_v02,6,6,6,0,0,0,True,True,True
slip,A_stateless_100ms,ice_native_0p15_v02,100,100,100,0,0,0,True,True,True
slip,A_stateless_100ms,sand_solref_interpolation_1of3_0p15_v02,5,5,5,0,0,0,True,True,True
slip,A_stateless_100ms,sand_solref_interpolation_2of3_0p15_v02,5,5,5,0,0,0,True,True,True
slip,A_stateless_100ms,marble_native_0p20_v02,5,5,5,0,0,0,True,True,True
slip,A_stateless_100ms,concrete_native_0p20_v02,5,5,5,0,0,0,True,True,True
slip,A_stateless_100ms,sand_hardened_0p20_v02,6,6,6,0,0,0,True,True,True
slip,A_stateless_100ms,ice_native_0p20_v02,60,60,60,0,0,0,True,True,True
slip,A_stateless_100ms,sand_solref_interpolation_1of3_0p20_v02,5,5,5,0,0,0,True,True,True
slip,A_stateless_100ms,sand_solref_interpolation_2of3_0p20_v02,5,5,5,0,0,0,True,True,True
slip,B_dual_persistence_100ms,marble_native_0p10_v02,6,6,6,0,0,0,True,True,True
slip,B_dual_persistence_100ms,concrete_native_0p10_v02,5,5,5,0,0,0,True,True,True
slip,B_dual_persistence_100ms,sand_hardened_0p10_v02,7,7,7,0,0,0,True,True,True
slip,B_dual_persistence_100ms,ice_native_0p10_v02,73,73,73,0,0,0,True,True,True
slip,B_dual_persistence_100ms,sand_solref_interpolation_1of3_0p10_v02,5,5,5,0,0,0,True,True,True
slip,B_dual_persistence_100ms,sand_solref_interpolation_2of3_0p10_v02,5,5,5,0,0,0,True,True,True
slip,B_dual_persistence_100ms,marble_native_0p15_v02,6,6,6,0,0,0,True,True,True
slip,B_dual_persistence_100ms,concrete_native_0p15_v02,5,5,5,0,0,0,True,True,True
slip,B_dual_persistence_100ms,sand_hardened_0p15_v02,6,6,6,0,0,0,True,True,True
slip,B_dual_persistence_100ms,ice_native_0p15_v02,100,100,100,0,0,0,True,True,True
slip,B_dual_persistence_100ms,sand_solref_interpolation_1of3_0p15_v02,5,5,5,0,0,0,True,True,True
slip,B_dual_persistence_100ms,sand_solref_interpolation_2of3_0p15_v02,5,5,5,0,0,0,True,True,True
slip,B_dual_persistence_100ms,marble_native_0p20_v02,5,5,5,0,0,0,True,True,True
slip,B_dual_persistence_100ms,concrete_native_0p20_v02,5,5,5,0,0,0,True,True,True
slip,B_dual_persistence_100ms,sand_hardened_0p20_v02,6,6,6,0,0,0,True,True,True
slip,B_dual_persistence_100ms,ice_native_0p20_v02,60,60,60,0,0,0,True,True,True
slip,B_dual_persistence_100ms,sand_solref_interpolation_1of3_0p20_v02,5,5,5,0,0,0,True,True,True
slip,B_dual_persistence_100ms,sand_solref_interpolation_2of3_0p20_v02,5,5,5,0,0,0,True,True,True
slip,C_contact_gated_100ms,marble_native_0p10_v02,6,6,6,0,0,0,True,True,True
slip,C_contact_gated_100ms,concrete_native_0p10_v02,5,5,5,0,0,0,True,True,True
