row_type,detector,candidate_id,candidate_order,comparison,history_ms,feature_set,state_machine,risk_threshold,risk_off_threshold,confirmed_threshold,confirmed_off_threshold,risk_persistence,confirmed_persistence,threshold_rule,train_samples,validation_runs,normal_runs,physical_positive_runs,risk_run_coverage,risk_covered_runs,normal_risk_fp_runs,risk_too_early_runs,confirmed_run_recall,confirmed_detected_runs,normal_confirmed_fp_runs,pre_onset_confirmed_runs,confirmed_latency_median_ms,confirmed_latency_p95_ms,invalid_firing_samples,reset_invariant_pass,reload_parity_exact,profile_results_json,controlled_run_recall,controlled_baseline_recall,controlled_retention_pass,host_inference_us_per_sample,parameter_count,persistent_state_bytes,history_buffer_bytes,estimated_macs_per_1khz_sample,feature_count,e84_u55_compatible,vela_unsupported_ops_expected,int8_or_vela_executed,risk_gate_pass,confirmed_gate_pass,mandatory_gate_pass,production_candidate,profile,speed_mps,run_count,run_id,role,physical_positive,physical_onset_sample,first_risk_sample,risk_in_horizon,risk_after_onset,risk_too_early,first_confirmed_sample,pre_onset_confirmed,post_onset_confirmed_sample,confirmed_detected,confirmed_latency_ms,normal_risk_fp,normal_confirmed_fp
candidate,sink,A_stateless_20ms,0,A_stateless_20ms,20,raw,False,0.9999999995857579,0.7999999996686064,0.999998975255682,0.7999991802045456,1,1,train_safe,48928,18,9,6,0.0,0,0,0,0.0,0,0,0,,,0,True,True,"{""sand_solref_interpolation_1of3"": {""detected"": 0, ""physical"": 3, ""risk_covered"": 0}, ""sand_solref_interpolation_2of3"": {""detected"": 0, ""physical"": 3, ""risk_covered"": 0}}",0.0,1.0,False,63.80064725763751,162,544,800,1760,80,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,
candidate,sink,B_causal_50ms,1,B_causal_50ms,50,raw,False,0.999998989924307,0.7999991919394457,0.9999961570598097,0.7999969256478479,1,1,train_safe,48928,18,9,6,0.3333333333333333,2,0,1,0.3333333333333333,2,0,3,0.0,0.0,1,True,True,"{""sand_solref_interpolation_1of3"": {""detected"": 2, ""physical"": 3, ""risk_covered"": 2}, ""sand_solref_interpolation_2of3"": {""detected"": 0, ""physical"": 3, ""risk_covered"": 0}}",0.0,1.0,False,68.05727673970439,162,544,2000,4160,80,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,
candidate,sink,C_dual_history_200ms,2,C_dual_history_200ms,200,raw,False,0.9,0.7200000000000001,0.9,0.7200000000000001,5,10,fixed_0p90,48928,18,9,6,1.0,6,8,1,1.0,6,8,6,0.0,0.0,1,True,True,"{""sand_solref_interpolation_1of3"": {""detected"": 3, ""physical"": 3, ""risk_covered"": 3}, ""sand_solref_interpolation_2of3"": {""detected"": 3, ""physical"": 3, ""risk_covered"": 3}}",1.0,1.0,True,92.52141096361878,162,544,8000,16160,80,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,
candidate,sink,D_touchdown_stateful_200ms,3,D_touchdown_stateful_200ms,200,stateful,False,0.9,0.7200000000000001,0.9,0.7200000000000001,5,10,fixed_0p90,48928,18,9,6,1.0,6,9,1,1.0,6,9,6,0.0,0.0,10,True,True,"{""sand_solref_interpolation_1of3"": {""detected"": 3, ""physical"": 3, ""risk_covered"": 3}, ""sand_solref_interpolation_2of3"": {""detected"": 3, ""physical"": 3, ""risk_covered"": 3}}",1.0,1.0,True,136.23171542659057,250,720,8000,16248,124,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,
candidate,sink,E_contact_gated_stateful_200ms,4,E_contact_gated_stateful_200ms,200,stateful,True,0.9999995953851426,0.7999996763081141,0.9969679263649394,0.7975743410919516,5,10,train_safe,48928,18,9,6,0.0,0,0,0,0.0,0,0,0,,,0,True,True,"{""sand_solref_interpolation_1of3"": {""detected"": 0, ""physical"": 3, ""risk_covered"": 0}, ""sand_solref_interpolation_2of3"": {""detected"": 0, ""physical"": 3, ""risk_covered"": 0}}",0.0,1.0,False,136.37511887052958,250,720,8000,16248,124,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,
profile_speed,sink,A_stateless_20ms,,,,,,,,,,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,concrete,0.1,1,,,,,,,,,,,,,,,
profile_speed,sink,A_stateless_20ms,,,,,,,,,,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,concrete,0.15,1,,,,,,,,,,,,,,,
profile_speed,sink,A_stateless_20ms,,,,,,,,,,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,concrete,0.2,1,,,,,,,,,,,,,,,
profile_speed,sink,A_stateless_20ms,,,,,,,,,,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,ice,0.1,1,,,,,,,,,,,,,,,
profile_speed,sink,A_stateless_20ms,,,,,,,,,,,,,,,,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,ice,0.15,1,,,,,,,,,,,,,,,
