run_id,case_id,terrain_before,terrain_after,boundary_x_m,expected_transition_step,T_BOUNDARY_CROSS,T_TOUCHDOWN,T0,target_touchdowns,forward_displacement_m,walking_completed,fall_occurred,fall_reason,min_base_height_m,fusion10_finite,sample_count,T1,T2,T3,T_DECISION,transition_case,case_correct,case_reflex_required,recovery_required,unmatched_hazard,dual_hazard,slip_oracle,sink_oracle,slip_firing,sink_firing
walking_A_00,A,marble,ice,0.25,first monitored left-foot loaded target touchdown,596,596,596,1,-0.8813648724575543,False,True,fall,-27.17046684279344,True,3000,631,596,597,631,B,False,False,False,True,False,True,True,True,True
walking_A_01,A,marble,ice,0.25,first monitored left-foot loaded target touchdown,596,596,596,1,-0.8813648724575543,False,True,fall,-27.17046684279344,True,3000,631,596,597,631,B,False,False,False,True,False,True,True,True,True
walking_A_02,A,marble,ice,0.25,first monitored left-foot loaded target touchdown,596,596,596,1,-0.8813648724575543,False,True,fall,-27.17046684279344,True,3000,631,596,597,631,B,False,False,False,True,False,True,True,True,True
walking_B_00,B,marble,sand,0.25,first monitored left-foot loaded target touchdown,596,596,596,2,-0.7474634830616412,False,True,fall,-27.122770664361322,True,3000,598,597,597,598,B,True,False,False,True,False,True,True,True,True
walking_B_01,B,marble,sand,0.25,first monitored left-foot loaded target touchdown,596,596,596,2,-0.7474634830616412,False,True,fall,-27.122770664361322,True,3000,598,597,597,598,B,True,False,False,True,False,True,True,True,True
walking_B_02,B,marble,sand,0.25,first monitored left-foot loaded target touchdown,596,596,596,2,-0.7474634830616412,False,True,fall,-27.122770664361322,True,3000,598,597,597,598,B,True,False,False,True,False,True,True,True,True
walking_C_00,C,ice,marble,0.25,first monitored left-foot loaded target touchdown,445,445,445,11,0.7189459191356316,False,True,fall,-19.454471517183485,True,3000,490,,,490,C,True,False,True,True,True,True,True,True,True
walking_C_01,C,ice,marble,0.25,first monitored left-foot loaded target touchdown,445,445,445,11,0.7189459191356316,False,True,fall,-19.454471517183485,True,3000,490,,,490,C,True,False,True,True,True,True,True,True,True
walking_C_02,C,ice,marble,0.25,first monitored left-foot loaded target touchdown,445,445,445,11,0.7189459191356316,False,True,fall,-19.454471517183485,True,3000,490,,,490,C,True,False,True,True,True,True,True,True,True
walking_D_00,D,sand,marble,0.25,first monitored left-foot loaded target touchdown,612,612,612,2,-0.17646943907634088,False,True,fall,-27.497669111865545,True,3000,665,,,665,C,False,False,True,False,False,True,True,True,True
walking_D_01,D,sand,marble,0.25,first monitored left-foot loaded target touchdown,612,612,612,2,-0.17646943907634088,False,True,fall,-27.497669111865545,True,3000,665,,,665,C,False,False,True,False,False,True,True,True,True
walking_D_02,D,sand,marble,0.25,first monitored left-foot loaded target touchdown,612,612,612,2,-0.17646943907634088,False,True,fall,-27.497669111865545,True,3000,665,,,665,C,False,False,True,False,False,True,True,True,True
