task,architecture,seed,model_parameter_count,model_file_bytes,shared_encoder_structure,shared_encoder_fingerprint,head_macs_per_inference,bilateral_macs_per_tick,history_buffer_bytes,persistent_state_bytes,normalization_bytes,estimated_host_inference_ms,expected_int8_operator_set,expected_vela_compatibility,unsupported_recurrent_operator,within_parameter_limit,within_history_state_limit,within_mac_limit,model_sha256,normalization_sha256,config_sha256,int8_or_vela_executed
terrain,T1,202608211,1094,5528,one exact depthwise Conv/GAP weight set; applied twice,bb7d2fc92335d3c46478fefa7cc7bec73071d815fe39032f5897bfd89f5e8133,320,1860,4000,32,1280,0.20186,"DEPTHWISE_CONV_1D-equivalent,MEAN,SUB,FULLY_CONNECTED,SOFTMAX|LOGISTIC",True,False,True,True,True,607114f11c441e2b171264de3a66a8b9a706d42975a454d1c60bd37b528eb163,6fc61071926008611767031a5e6ab0f4a13bc4e4f8fd3656a79bab7303a6c5d5,322236b4fb741259622cbdc5e5522d65de431a0eba96c0b38c0af6c2e1bec9ae,False
terrain,T1,202608212,1094,5521,one exact depthwise Conv/GAP weight set; applied twice,bb7d2fc92335d3c46478fefa7cc7bec73071d815fe39032f5897bfd89f5e8133,320,1860,4000,32,1280,0.20186,"DEPTHWISE_CONV_1D-equivalent,MEAN,SUB,FULLY_CONNECTED,SOFTMAX|LOGISTIC",True,False,True,True,True,98234c87d28c8a65094b21ec2ad862eae6b36bebe45893225dbd1d1360d71043,2fbf84a91bb4489c1e388367efd5202f287297112e3b61fe3a448d4c4cb3fc3c,6885c253a6ff41e22b6ff33584b7d3c661dadef87c375de4a071319b3a7569b4,False
terrain,T1,202608213,1094,5525,one exact depthwise Conv/GAP weight set; applied twice,bb7d2fc92335d3c46478fefa7cc7bec73071d815fe39032f5897bfd89f5e8133,320,1860,4000,32,1280,0.20186,"DEPTHWISE_CONV_1D-equivalent,MEAN,SUB,FULLY_CONNECTED,SOFTMAX|LOGISTIC",True,False,True,True,True,43f30504c5e87bdabb49fa949c9d20eaba431e69011ce19db8f642945158c7ed,634848b2cf9548a41900ad1d8569af44a441d290c77c48ad772390fef1d2de45,19bd7c51beffcbcf358a130152c38e7d088e5b0d9f3b05c36cb7e24c1fddee3c,False
terrain,T2,202608211,1162,6141,one exact depthwise Conv/GAP weight set; applied twice,bb7d2fc92335d3c46478fefa7cc7bec73071d815fe39032f5897bfd89f5e8133,388,1928,4000,32,1552,0.20192800000000002,"DEPTHWISE_CONV_1D-equivalent,MEAN,SUB,FULLY_CONNECTED,SOFTMAX|LOGISTIC",True,False,True,True,True,e6d3383bb892b4016667462d9e9fb72247d1a528ba82ff0d867644e827eba9f7,c0d149f856ec4eca6b524d37b52cd83ad476a5ed79db162669096da0d2780044,f8f57158fa1b527a0502bf4d5d50ba705371dc657605ca465e18fd70dde32b8b,False
terrain,T2,202608212,1162,6138,one exact depthwise Conv/GAP weight set; applied twice,bb7d2fc92335d3c46478fefa7cc7bec73071d815fe39032f5897bfd89f5e8133,388,1928,4000,32,1552,0.20192800000000002,"DEPTHWISE_CONV_1D-equivalent,MEAN,SUB,FULLY_CONNECTED,SOFTMAX|LOGISTIC",True,False,True,True,True,869aac46389edb942365866eff2ff681f6d380f6f04718000199d4f51f126aff,3038b66b17c8abda4602c9b65862a2d23b41502aef34d3e3b7b28859259cea7b,b0bb6d3babda79420bda2b86e7715acd5cc496279279e8a8414281289fdde334,False
terrain,T2,202608213,1162,6126,one exact depthwise Conv/GAP weight set; applied twice,bb7d2fc92335d3c46478fefa7cc7bec73071d815fe39032f5897bfd89f5e8133,388,1928,4000,32,1552,0.20192800000000002,"DEPTHWISE_CONV_1D-equivalent,MEAN,SUB,FULLY_CONNECTED,SOFTMAX|LOGISTIC",True,False,True,True,True,afd4050cdf21fb55afa5108936be63c344321a94f2b7d9c102a256e25f833363,691bf93c33fa9a799ee8ed29c9e88645e60846a7f34ebc2a3cef7d3ef7bd668d,d7bb94912d54574e222cbe8948a3961c712f4cf30db6a86fd3a5071757fbeefa,False
slip,S1,202608211,1358,3797,one exact depthwise Conv/GAP weight set; applied twice,2b04cbc2665e600a7ebac7e33246213828fe00ae4f49e2d37e13822eb08bc548,87,2627,8000,64,1392,0.202627,"DEPTHWISE_CONV_1D-equivalent,MEAN,SUB,FULLY_CONNECTED,SOFTMAX|LOGISTIC",True,False,True,True,True,f2e2fca6d138ac9175512b35a264b4c364fbd766325aee36b79f792594b6109c,64b76c9c4700be64d51ec13ee08da25352abd4f4af904261be2d331b911a5ad5,d40bc7f9d83de388691bb786e8c63ef1bd0c4764959b04f7bba2d9a30cf09152,False
slip,S1,202608212,1358,3796,one exact depthwise Conv/GAP weight set; applied twice,2b04cbc2665e600a7ebac7e33246213828fe00ae4f49e2d37e13822eb08bc548,87,2627,8000,64,1392,0.202627,"DEPTHWISE_CONV_1D-equivalent,MEAN,SUB,FULLY_CONNECTED,SOFTMAX|LOGISTIC",True,False,True,True,True,e8586403c156eff8a84e372d154d0eeb4d984f41cdaf3d0c746845a1b9e09298,fa5032005a09d5fb33b3fddf9cc577df323f94721d2c8ca14f8b4c60ca8b1d8a,98d5e9911f78f6acac8c7f5d07c6fd906985cc34742624a2f7616524a9aa1331,False
slip,S1,202608213,1358,3794,one exact depthwise Conv/GAP weight set; applied twice,2b04cbc2665e600a7ebac7e33246213828fe00ae4f49e2d37e13822eb08bc548,87,2627,8000,64,1392,0.202627,"DEPTHWISE_CONV_1D-equivalent,MEAN,SUB,FULLY_CONNECTED,SOFTMAX|LOGISTIC",True,False,True,True,True,071a0238802a66987f4fd0d5b5f8ed90c6d510ac0b0a3cfd3cdb0e313dd2c97c,10e17f124f2f55e229452eefaa0a98fdf97a02b37e3beca939494a38bad70797,2704a1323b519baf2c9a1cfe6a1bc68e46f8c05b81b8f8925e0ea2079828b691,False
slip,S2,202608211,1372,4153,one exact depthwise Conv/GAP weight set; applied twice,2b04cbc2665e600a7ebac7e33246213828fe00ae4f49e2d37e13822eb08bc548,101,2641,8000,64,1616,0.20264100000000002,"DEPTHWISE_CONV_1D-equivalent,MEAN,SUB,FULLY_CONNECTED,SOFTMAX|LOGISTIC",True,False,True,True,True,9df68d312f83143e9d960cad690dea7c4cebe7c95ccb4bf081813a7ff0f589b6,7ab950f8a1b242c340fc194dbcd5e9666e091c09370fba7c40e849dbee27298e,7b0b4ac76ca24e809aab574b6bab80d7af9a3253e533cd81f079ade013190535,False
slip,S2,202608212,1372,4153,one exact depthwise Conv/GAP weight set; applied twice,2b04cbc2665e600a7ebac7e33246213828fe00ae4f49e2d37e13822eb08bc548,101,2641,8000,64,1616,0.20264100000000002,"DEPTHWISE_CONV_1D-equivalent,MEAN,SUB,FULLY_CONNECTED,SOFTMAX|LOGISTIC",True,False,True,True,True,b8cc484a41d3fe7ef3dd163b6902d4f4c52eed5dc94bd0f8124c404d09c11b01,6901fff479bbac74a9e10aa829de204bf6866730a6176628620ceee4a0f7fd2b,a5e54e2a34b9dfc5a6821315e9062ed4d960aa2c5c11b843800fe75e972a11e8,False
slip,S2,202608213,1372,4156,one exact depthwise Conv/GAP weight set; applied twice,2b04cbc2665e600a7ebac7e33246213828fe00ae4f49e2d37e13822eb08bc548,101,2641,8000,64,1616,0.20264100000000002,"DEPTHWISE_CONV_1D-equivalent,MEAN,SUB,FULLY_CONNECTED,SOFTMAX|LOGISTIC",True,False,True,True,True,c2643a5c080a2abf7f99fcb78fcf35c2694b00d3929c5512674ca33f4704c50c,99dd18515d5c04d5b64ed74810fd05006f9affdd6b1833828b52318697678faf,ceb7fd409e8fecef7bb14a1c417212af83f16dac2326030bb29627d2b8c3a191,False
