architecture,seed,threshold,persistence_endpoints,hysteresis,run_id,role,speed_mps,foot,contact_episode_id,physical_start_sample,physical_end_exclusive,raw_crossings,first_actionable,post_reflex_counterfactual,detected,first_detection_sample,warning_margin_ms,affected_foot_correct
S1,202608211,0.999,3,0.05,ice_native_0p10_v03,slip_candidate,0.1,left,0,169,193,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p10_v03,slip_candidate,0.1,left,3,287,294,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p10_v03,slip_candidate,0.1,left,4,354,390,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p10_v03,slip_candidate,0.1,left,12,1359,1585,2,True,False,True,1329,30,True
S1,202608211,0.999,3,0.05,ice_native_0p10_v03,slip_candidate,0.1,left,54,2540,2785,3,True,False,True,2509,31,True
S1,202608211,0.999,3,0.05,ice_native_0p10_v03,slip_candidate,0.1,right,30,943,1150,2,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p10_v03,slip_candidate,0.1,right,39,1627,1713,1,True,False,True,1529,98,True
S1,202608211,0.999,3,0.05,ice_native_0p10_v03,slip_candidate,0.1,right,55,2070,2113,1,True,False,True,2019,51,True
S1,202608211,0.999,3,0.05,ice_native_0p10_v03,slip_candidate,0.1,right,56,2248,2296,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p10_v03,slip_candidate,0.1,right,57,2388,2400,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p10_v03,slip_candidate,0.1,right,66,2972,2991,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p15_v03,slip_candidate,0.15,left,0,170,194,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p15_v03,slip_candidate,0.15,left,2,270,310,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p15_v03,slip_candidate,0.15,left,16,1394,1454,2,True,False,True,1339,55,True
S1,202608211,0.999,3,0.05,ice_native_0p15_v03,slip_candidate,0.15,left,18,1545,1584,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p15_v03,slip_candidate,0.15,left,29,2644,2711,4,True,False,True,2549,95,True
S1,202608211,0.999,3,0.05,ice_native_0p15_v03,slip_candidate,0.15,right,29,920,927,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p15_v03,slip_candidate,0.15,right,75,2911,3000,5,True,False,False,,,
S1,202608211,0.999,3,0.05,sand_solref_interpolation_2of3_0p15_v03,sink_candidate,0.15,left,2,1773,1786,1,True,False,True,1729,44,True
S1,202608211,0.999,3,0.05,sand_solref_interpolation_2of3_0p15_v03,sink_candidate,0.15,left,3,1911,1937,1,True,False,True,1929,-18,True
S1,202608211,0.999,3,0.05,sand_solref_interpolation_2of3_0p15_v03,sink_candidate,0.15,right,3,1795,1808,1,True,False,False,,,
S1,202608211,0.999,3,0.05,sand_solref_interpolation_3of4_stronger_v2_0p15_v03,sink_candidate,0.15,left,2,1793,1817,1,True,False,True,1759,34,True
S1,202608211,0.999,3,0.05,sand_solref_interpolation_3of4_stronger_v2_0p15_v03,sink_candidate,0.15,right,6,1815,1822,1,True,False,False,,,
S1,202608211,0.999,3,0.05,sand_solref_interpolation_5of6_stronger_v2_0p15_v03,sink_candidate,0.15,left,2,1732,1761,1,True,False,True,1709,23,True
S1,202608211,0.999,3,0.05,sand_solref_interpolation_5of6_stronger_v2_0p15_v03,sink_candidate,0.15,right,3,1767,1774,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p20_v03,slip_candidate,0.2,left,0,170,195,1,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p20_v03,slip_candidate,0.2,left,1,238,307,3,True,False,False,,,
S1,202608211,0.999,3,0.05,ice_native_0p20_v03,slip_candidate,0.2,left,13,1470,1503,4,True,False,False,,,
