pair_id,positive_run_id,control_run_id,speed_mps,target_foot,target_phase,severity,category,history_start_sample,history_end_sample_inclusive,future_sample_count,finite_comparison_values,mean_absolute_pair_difference,maximum_absolute_pair_difference,positive_mean,control_mean
pair_000,positive_0p10_left_early_loading_native_strong_ice_v0,control_0p10_left_early_loading_native_strong_ice_v0,0.1,left,early_loading,native_strong_ice,target_foot_fsr,0,156,0,628,0.0,0.0,77.03494262695312,77.03494262695312
pair_000,positive_0p10_left_early_loading_native_strong_ice_v0,control_0p10_left_early_loading_native_strong_ice_v0,0.1,left,early_loading,native_strong_ice,target_foot_imu,0,156,0,942,0.0,0.0,1.6164414882659912,1.6164414882659912
pair_000,positive_0p10_left_early_loading_native_strong_ice_v0,control_0p10_left_early_loading_native_strong_ice_v0,0.1,left,early_loading,native_strong_ice,contralateral_fsr,0,156,0,628,0.0,0.0,9.126360893249512,9.126360893249512
pair_000,positive_0p10_left_early_loading_native_strong_ice_v0,control_0p10_left_early_loading_native_strong_ice_v0,0.1,left,early_loading,native_strong_ice,contralateral_imu,0,156,0,942,0.0,0.0,2.0013186931610107,2.0013186931610107
pair_000,positive_0p10_left_early_loading_native_strong_ice_v0,control_0p10_left_early_loading_native_strong_ice_v0,0.1,left,early_loading,native_strong_ice,bilateral_asymmetry,0,156,0,1570,0.0,0.0,26.93250846862793,26.93250846862793
pair_000,positive_0p10_left_early_loading_native_strong_ice_v0,control_0p10_left_early_loading_native_strong_ice_v0,0.1,left,early_loading,native_strong_ice,contact_anchor_drift_label_only,0,156,0,121,0.0,0.0,0.0011640540324151516,0.0011640540324151516
pair_001,positive_0p10_left_early_loading_native_strong_ice_v1,control_0p10_left_early_loading_native_strong_ice_v1,0.1,left,early_loading,native_strong_ice,target_foot_fsr,0,159,0,640,0.0,0.0,14.81153678894043,14.81153678894043
pair_001,positive_0p10_left_early_loading_native_strong_ice_v1,control_0p10_left_early_loading_native_strong_ice_v1,0.1,left,early_loading,native_strong_ice,target_foot_imu,0,159,0,960,0.0,0.0,1.9722294807434082,1.9722294807434082
pair_001,positive_0p10_left_early_loading_native_strong_ice_v1,control_0p10_left_early_loading_native_strong_ice_v1,0.1,left,early_loading,native_strong_ice,contralateral_fsr,0,159,0,640,0.0,0.0,73.56257629394531,73.56257629394531
pair_001,positive_0p10_left_early_loading_native_strong_ice_v1,control_0p10_left_early_loading_native_strong_ice_v1,0.1,left,early_loading,native_strong_ice,contralateral_imu,0,159,0,960,0.0,0.0,1.6419867277145386,1.6419867277145386
pair_001,positive_0p10_left_early_loading_native_strong_ice_v1,control_0p10_left_early_loading_native_strong_ice_v1,0.1,left,early_loading,native_strong_ice,bilateral_asymmetry,0,159,0,1600,0.0,0.0,-23.302270889282227,-23.302270889282227
pair_001,positive_0p10_left_early_loading_native_strong_ice_v1,control_0p10_left_early_loading_native_strong_ice_v1,0.1,left,early_loading,native_strong_ice,contact_anchor_drift_label_only,0,159,0,50,0.0,0.0,0.0002885450376197696,0.0002885450376197696
pair_002,positive_0p10_left_early_loading_native_strong_ice_v2,control_0p10_left_early_loading_native_strong_ice_v2,0.1,left,early_loading,native_strong_ice,target_foot_fsr,0,164,0,660,0.0,0.0,45.813682556152344,45.813682556152344
