run_id,pair_id,role,speed_mps,target_foot,target_phase,actual_onset_phase,severity,material_profile,control_type,variation_index,actual_first_affected_foot,target_touchdown_sample,target_touchdown_time_s,target_physical_onset_sample,target_physical_onset_time_s,touchdown_to_onset_ms,target_contact_episode_id,contralateral_physical_slip_contamination,valid_target_positive,wrong_foot_onset,bilateral_ambiguous,no_onset,fall_occurred,first_fall_sample,fall_reason,post_fall_excluded_sample_count,discarded,replaced,silently_relabelled,physical_slip_foot_count,physical_slip_onset_free,stable_loaded_contact_coverage,valid_control_source
control_0p10_left_early_loading_native_strong_ice_v0,pair_000,control,0.1,left,early_loading,none,native_strong_ice,hard_normal,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_left_early_loading_native_strong_ice_v1,pair_001,control,0.1,left,early_loading,none,native_strong_ice,near_slip_non_event,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_left_early_loading_native_strong_ice_v2,pair_002,control,0.1,left,early_loading,none,native_strong_ice,hard_normal,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_left_early_loading_moderate_ice_preregistered_v0,pair_003,control,0.1,left,early_loading,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_left_early_loading_moderate_ice_preregistered_v1,pair_004,control,0.1,left,early_loading,none,moderate_ice_preregistered,hard_normal,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_left_early_loading_moderate_ice_preregistered_v2,pair_005,control,0.1,left,early_loading,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_left_mid_loading_early_stance_native_strong_ice_v0,pair_006,control,0.1,left,mid_loading_early_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_left_mid_loading_early_stance_native_strong_ice_v1,pair_007,control,0.1,left,mid_loading_early_stance,none,native_strong_ice,hard_normal,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_left_mid_loading_early_stance_native_strong_ice_v2,pair_008,control,0.1,left,mid_loading_early_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,pair_009,control,0.1,left,mid_loading_early_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,pair_010,control,0.1,left,mid_loading_early_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,pair_011,control,0.1,left,mid_loading_early_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_left_mid_late_stance_native_strong_ice_v0,pair_012,control,0.1,left,mid_late_stance,none,native_strong_ice,hard_normal,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_left_mid_late_stance_native_strong_ice_v1,pair_013,control,0.1,left,mid_late_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_left_mid_late_stance_native_strong_ice_v2,pair_014,control,0.1,left,mid_late_stance,none,native_strong_ice,hard_normal,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_left_mid_late_stance_moderate_ice_preregistered_v0,pair_015,control,0.1,left,mid_late_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_left_mid_late_stance_moderate_ice_preregistered_v1,pair_016,control,0.1,left,mid_late_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_left_mid_late_stance_moderate_ice_preregistered_v2,pair_017,control,0.1,left,mid_late_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_right_early_loading_native_strong_ice_v0,pair_018,control,0.1,right,early_loading,none,native_strong_ice,near_slip_non_event,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_right_early_loading_native_strong_ice_v1,pair_019,control,0.1,right,early_loading,none,native_strong_ice,hard_normal,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_right_early_loading_native_strong_ice_v2,pair_020,control,0.1,right,early_loading,none,native_strong_ice,near_slip_non_event,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_right_early_loading_moderate_ice_preregistered_v0,pair_021,control,0.1,right,early_loading,none,moderate_ice_preregistered,hard_normal,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_right_early_loading_moderate_ice_preregistered_v1,pair_022,control,0.1,right,early_loading,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_right_early_loading_moderate_ice_preregistered_v2,pair_023,control,0.1,right,early_loading,none,moderate_ice_preregistered,hard_normal,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_right_mid_loading_early_stance_native_strong_ice_v0,pair_024,control,0.1,right,mid_loading_early_stance,none,native_strong_ice,hard_normal,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_right_mid_loading_early_stance_native_strong_ice_v1,pair_025,control,0.1,right,mid_loading_early_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_right_mid_loading_early_stance_native_strong_ice_v2,pair_026,control,0.1,right,mid_loading_early_stance,none,native_strong_ice,hard_normal,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v0,pair_027,control,0.1,right,mid_loading_early_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v1,pair_028,control,0.1,right,mid_loading_early_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v2,pair_029,control,0.1,right,mid_loading_early_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_right_mid_late_stance_native_strong_ice_v0,pair_030,control,0.1,right,mid_late_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_right_mid_late_stance_native_strong_ice_v1,pair_031,control,0.1,right,mid_late_stance,none,native_strong_ice,hard_normal,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_right_mid_late_stance_native_strong_ice_v2,pair_032,control,0.1,right,mid_late_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_right_mid_late_stance_moderate_ice_preregistered_v0,pair_033,control,0.1,right,mid_late_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_right_mid_late_stance_moderate_ice_preregistered_v1,pair_034,control,0.1,right,mid_late_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p10_right_mid_late_stance_moderate_ice_preregistered_v2,pair_035,control,0.1,right,mid_late_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_left_early_loading_native_strong_ice_v0,pair_036,control,0.15,left,early_loading,none,native_strong_ice,hard_normal,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_left_early_loading_native_strong_ice_v1,pair_037,control,0.15,left,early_loading,none,native_strong_ice,near_slip_non_event,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_left_early_loading_native_strong_ice_v2,pair_038,control,0.15,left,early_loading,none,native_strong_ice,hard_normal,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_left_early_loading_moderate_ice_preregistered_v0,pair_039,control,0.15,left,early_loading,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_left_early_loading_moderate_ice_preregistered_v1,pair_040,control,0.15,left,early_loading,none,moderate_ice_preregistered,hard_normal,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_left_early_loading_moderate_ice_preregistered_v2,pair_041,control,0.15,left,early_loading,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_left_mid_loading_early_stance_native_strong_ice_v0,pair_042,control,0.15,left,mid_loading_early_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_left_mid_loading_early_stance_native_strong_ice_v1,pair_043,control,0.15,left,mid_loading_early_stance,none,native_strong_ice,hard_normal,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_left_mid_loading_early_stance_native_strong_ice_v2,pair_044,control,0.15,left,mid_loading_early_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v0,pair_045,control,0.15,left,mid_loading_early_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v1,pair_046,control,0.15,left,mid_loading_early_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_left_mid_loading_early_stance_moderate_ice_preregistered_v2,pair_047,control,0.15,left,mid_loading_early_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_left_mid_late_stance_native_strong_ice_v0,pair_048,control,0.15,left,mid_late_stance,none,native_strong_ice,hard_normal,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_left_mid_late_stance_native_strong_ice_v1,pair_049,control,0.15,left,mid_late_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_left_mid_late_stance_native_strong_ice_v2,pair_050,control,0.15,left,mid_late_stance,none,native_strong_ice,hard_normal,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_left_mid_late_stance_moderate_ice_preregistered_v0,pair_051,control,0.15,left,mid_late_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_left_mid_late_stance_moderate_ice_preregistered_v1,pair_052,control,0.15,left,mid_late_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_left_mid_late_stance_moderate_ice_preregistered_v2,pair_053,control,0.15,left,mid_late_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
control_0p15_right_early_loading_native_strong_ice_v0,pair_054,control,0.15,right,early_loading,none,native_strong_ice,near_slip_non_event,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True
