run_id,pair_id,role,fall_occurred,first_fall_sample,first_fall_time_s,fall_reason,pre_fall_valid_sample_count,post_fall_stored_sample_count,post_fall_excluded_from_labels
positive_0p10_left_early_loading_native_strong_ice_v0,pair_000,positive,False,,,,3000,0,True
control_0p10_left_early_loading_native_strong_ice_v0,pair_000,control,False,,,,3000,0,True
positive_0p10_left_early_loading_native_strong_ice_v1,pair_001,positive,False,,,,3000,0,True
control_0p10_left_early_loading_native_strong_ice_v1,pair_001,control,False,,,,3000,0,True
positive_0p10_left_early_loading_native_strong_ice_v2,pair_002,positive,False,,,,3000,0,True
control_0p10_left_early_loading_native_strong_ice_v2,pair_002,control,False,,,,3000,0,True
positive_0p10_left_early_loading_moderate_ice_preregistered_v0,pair_003,positive,False,,,,3000,0,True
control_0p10_left_early_loading_moderate_ice_preregistered_v0,pair_003,control,False,,,,3000,0,True
positive_0p10_left_early_loading_moderate_ice_preregistered_v1,pair_004,positive,False,,,,3000,0,True
control_0p10_left_early_loading_moderate_ice_preregistered_v1,pair_004,control,False,,,,3000,0,True
positive_0p10_left_early_loading_moderate_ice_preregistered_v2,pair_005,positive,False,,,,3000,0,True
control_0p10_left_early_loading_moderate_ice_preregistered_v2,pair_005,control,False,,,,3000,0,True
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v0,pair_006,positive,False,,,,3000,0,True
control_0p10_left_mid_loading_early_stance_native_strong_ice_v0,pair_006,control,False,,,,3000,0,True
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v1,pair_007,positive,False,,,,3000,0,True
control_0p10_left_mid_loading_early_stance_native_strong_ice_v1,pair_007,control,False,,,,3000,0,True
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v2,pair_008,positive,False,,,,3000,0,True
control_0p10_left_mid_loading_early_stance_native_strong_ice_v2,pair_008,control,False,,,,3000,0,True
positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,pair_009,positive,False,,,,3000,0,True
control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,pair_009,control,False,,,,3000,0,True
positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,pair_010,positive,False,,,,3000,0,True
control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,pair_010,control,False,,,,3000,0,True
positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,pair_011,positive,False,,,,3000,0,True
control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,pair_011,control,False,,,,3000,0,True
positive_0p10_left_mid_late_stance_native_strong_ice_v0,pair_012,positive,False,,,,3000,0,True
control_0p10_left_mid_late_stance_native_strong_ice_v0,pair_012,control,False,,,,3000,0,True
positive_0p10_left_mid_late_stance_native_strong_ice_v1,pair_013,positive,False,,,,3000,0,True
control_0p10_left_mid_late_stance_native_strong_ice_v1,pair_013,control,False,,,,3000,0,True
positive_0p10_left_mid_late_stance_native_strong_ice_v2,pair_014,positive,False,,,,3000,0,True
control_0p10_left_mid_late_stance_native_strong_ice_v2,pair_014,control,False,,,,3000,0,True
positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v0,pair_015,positive,False,,,,3000,0,True
control_0p10_left_mid_late_stance_moderate_ice_preregistered_v0,pair_015,control,False,,,,3000,0,True
positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v1,pair_016,positive,False,,,,3000,0,True
control_0p10_left_mid_late_stance_moderate_ice_preregistered_v1,pair_016,control,False,,,,3000,0,True
positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v2,pair_017,positive,False,,,,3000,0,True
control_0p10_left_mid_late_stance_moderate_ice_preregistered_v2,pair_017,control,False,,,,3000,0,True
positive_0p10_right_early_loading_native_strong_ice_v0,pair_018,positive,False,,,,3000,0,True
control_0p10_right_early_loading_native_strong_ice_v0,pair_018,control,False,,,,3000,0,True
positive_0p10_right_early_loading_native_strong_ice_v1,pair_019,positive,False,,,,3000,0,True
control_0p10_right_early_loading_native_strong_ice_v1,pair_019,control,False,,,,3000,0,True
positive_0p10_right_early_loading_native_strong_ice_v2,pair_020,positive,False,,,,3000,0,True
control_0p10_right_early_loading_native_strong_ice_v2,pair_020,control,False,,,,3000,0,True
positive_0p10_right_early_loading_moderate_ice_preregistered_v0,pair_021,positive,False,,,,3000,0,True
control_0p10_right_early_loading_moderate_ice_preregistered_v0,pair_021,control,False,,,,3000,0,True
positive_0p10_right_early_loading_moderate_ice_preregistered_v1,pair_022,positive,False,,,,3000,0,True
control_0p10_right_early_loading_moderate_ice_preregistered_v1,pair_022,control,False,,,,3000,0,True
positive_0p10_right_early_loading_moderate_ice_preregistered_v2,pair_023,positive,False,,,,3000,0,True
control_0p10_right_early_loading_moderate_ice_preregistered_v2,pair_023,control,False,,,,3000,0,True
positive_0p10_right_mid_loading_early_stance_native_strong_ice_v0,pair_024,positive,False,,,,3000,0,True
control_0p10_right_mid_loading_early_stance_native_strong_ice_v0,pair_024,control,False,,,,3000,0,True
positive_0p10_right_mid_loading_early_stance_native_strong_ice_v1,pair_025,positive,False,,,,3000,0,True
control_0p10_right_mid_loading_early_stance_native_strong_ice_v1,pair_025,control,False,,,,3000,0,True
positive_0p10_right_mid_loading_early_stance_native_strong_ice_v2,pair_026,positive,False,,,,3000,0,True
control_0p10_right_mid_loading_early_stance_native_strong_ice_v2,pair_026,control,False,,,,3000,0,True
positive_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v0,pair_027,positive,False,,,,3000,0,True
control_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v0,pair_027,control,False,,,,3000,0,True
positive_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v1,pair_028,positive,False,,,,3000,0,True
control_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v1,pair_028,control,False,,,,3000,0,True
positive_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v2,pair_029,positive,False,,,,3000,0,True
control_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v2,pair_029,control,False,,,,3000,0,True
positive_0p10_right_mid_late_stance_native_strong_ice_v0,pair_030,positive,False,,,,3000,0,True
control_0p10_right_mid_late_stance_native_strong_ice_v0,pair_030,control,False,,,,3000,0,True
positive_0p10_right_mid_late_stance_native_strong_ice_v1,pair_031,positive,False,,,,3000,0,True
control_0p10_right_mid_late_stance_native_strong_ice_v1,pair_031,control,False,,,,3000,0,True
positive_0p10_right_mid_late_stance_native_strong_ice_v2,pair_032,positive,False,,,,3000,0,True
control_0p10_right_mid_late_stance_native_strong_ice_v2,pair_032,control,False,,,,3000,0,True
positive_0p10_right_mid_late_stance_moderate_ice_preregistered_v0,pair_033,positive,False,,,,3000,0,True
control_0p10_right_mid_late_stance_moderate_ice_preregistered_v0,pair_033,control,False,,,,3000,0,True
positive_0p10_right_mid_late_stance_moderate_ice_preregistered_v1,pair_034,positive,False,,,,3000,0,True
control_0p10_right_mid_late_stance_moderate_ice_preregistered_v1,pair_034,control,False,,,,3000,0,True
positive_0p10_right_mid_late_stance_moderate_ice_preregistered_v2,pair_035,positive,False,,,,3000,0,True
control_0p10_right_mid_late_stance_moderate_ice_preregistered_v2,pair_035,control,False,,,,3000,0,True
