pair_id,positive_run_id,control_run_id,pair_fingerprint,speed_mps,target_foot,target_phase,severity,control_type,variation_index,seed,initial_policy_observation_equal,command_timing_equal,gait_phase_equal,target_touchdown_equal,speed_equal,patch_geometry_equal,seed_equal,duration_equal,timestamps_equal,non_material_configuration_equal,only_material_profile_differs,parity_pass
pair_000,positive_0p10_left_early_loading_native_strong_ice_v0,control_0p10_left_early_loading_native_strong_ice_v0,a891700868c8885d1fa78cdbd41635802037ebb4ecc696104da534d24b26c1e4,0.1,left,early_loading,native_strong_ice,hard_normal,0,202608300,True,True,True,True,True,True,True,True,True,True,True,True
pair_001,positive_0p10_left_early_loading_native_strong_ice_v1,control_0p10_left_early_loading_native_strong_ice_v1,b206e99a954dcb540f00fb16f00223155a0118248cc6e9f7757538f6a681420f,0.1,left,early_loading,native_strong_ice,near_slip_non_event,1,202608301,True,True,True,True,True,True,True,True,True,True,True,True
pair_002,positive_0p10_left_early_loading_native_strong_ice_v2,control_0p10_left_early_loading_native_strong_ice_v2,8dc3712adab3d196c935dcc4e9233839e93444bb524a71ab11898327d27a54a4,0.1,left,early_loading,native_strong_ice,hard_normal,2,202608302,True,True,True,True,True,True,True,True,True,True,True,True
pair_003,positive_0p10_left_early_loading_moderate_ice_preregistered_v0,control_0p10_left_early_loading_moderate_ice_preregistered_v0,1897211de0bb10f88fe818276d0948d56f19fde170a2d63b7fbbb12bfb906f2a,0.1,left,early_loading,moderate_ice_preregistered,near_slip_non_event,0,202608303,True,True,True,True,True,True,True,True,True,True,True,True
pair_004,positive_0p10_left_early_loading_moderate_ice_preregistered_v1,control_0p10_left_early_loading_moderate_ice_preregistered_v1,c2be633b105f503ddec16a7413a9351f26e4cfbd8f1d66c8a1c115768dfd829d,0.1,left,early_loading,moderate_ice_preregistered,hard_normal,1,202608304,True,True,True,True,True,True,True,True,True,True,True,True
pair_005,positive_0p10_left_early_loading_moderate_ice_preregistered_v2,control_0p10_left_early_loading_moderate_ice_preregistered_v2,ffd7ad9964af1ae758592cf583d1d6e11f041ccf20ea59807cf78b3577d84f5b,0.1,left,early_loading,moderate_ice_preregistered,near_slip_non_event,2,202608305,True,True,True,True,True,True,True,True,True,True,True,True
pair_006,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v0,control_0p10_left_mid_loading_early_stance_native_strong_ice_v0,d050110fba0b35afd47b53800f0581212a864c869d19e4f42bd0289879cc226c,0.1,left,mid_loading_early_stance,native_strong_ice,near_slip_non_event,0,202608306,True,True,True,True,True,True,True,True,True,True,True,True
pair_007,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v1,control_0p10_left_mid_loading_early_stance_native_strong_ice_v1,0d3162b704d3157799a24cb35c953cadf0ace91321098ab769877c8fdf5e01f8,0.1,left,mid_loading_early_stance,native_strong_ice,hard_normal,1,202608307,True,True,True,True,True,True,True,True,True,True,True,True
pair_008,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v2,control_0p10_left_mid_loading_early_stance_native_strong_ice_v2,eba8acd402261c268d4ddf53897f2020e0663845f1b6be45d877a320008d3010,0.1,left,mid_loading_early_stance,native_strong_ice,near_slip_non_event,2,202608308,True,True,True,True,True,True,True,True,True,True,True,True
pair_009,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,aa3748f8a2dae4806a0240738322546b041f4f0c0334bd29ed16cc58fddfce92,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,hard_normal,0,202608309,True,True,True,True,True,True,True,True,True,True,True,True
pair_010,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,19be553b16f8b080a1e91bd2a1a605bb2aaac8343b314d9e73bd674dc69c539b,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,near_slip_non_event,1,202608310,True,True,True,True,True,True,True,True,True,True,True,True
pair_011,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,8f1acd5ca65224c87ae7c5522ec716948c812a1643c9842dd31fd4d1290d3fee,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,hard_normal,2,202608311,True,True,True,True,True,True,True,True,True,True,True,True
pair_012,positive_0p10_left_mid_late_stance_native_strong_ice_v0,control_0p10_left_mid_late_stance_native_strong_ice_v0,421a98fa22341bee67713f33d5e0ebb4c867dfb36c44deec26c3f8d6339863e7,0.1,left,mid_late_stance,native_strong_ice,hard_normal,0,202608312,True,True,True,True,True,True,True,True,True,True,True,True
pair_013,positive_0p10_left_mid_late_stance_native_strong_ice_v1,control_0p10_left_mid_late_stance_native_strong_ice_v1,a447c6082b1f1f350340c4842f49b9aee81f610032c7db7d12b96a915c028602,0.1,left,mid_late_stance,native_strong_ice,near_slip_non_event,1,202608313,True,True,True,True,True,True,True,True,True,True,True,True
