run_id,pair_id,role,speed_mps,target_foot,target_phase,actual_onset_phase,severity,material_profile,control_type,variation_index,actual_first_affected_foot,target_touchdown_sample,target_touchdown_time_s,target_physical_onset_sample,target_physical_onset_time_s,touchdown_to_onset_ms,target_contact_episode_id,contralateral_physical_slip_contamination,valid_target_positive,wrong_foot_onset,bilateral_ambiguous,no_onset,fall_occurred,first_fall_sample,fall_reason,post_fall_excluded_sample_count,discarded,replaced,silently_relabelled
positive_0p10_left_early_loading_native_strong_ice_v0,pair_000,positive,0.1,left,early_loading,none,native_strong_ice,native_strong_ice,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_left_early_loading_native_strong_ice_v1,pair_001,positive,0.1,left,early_loading,none,native_strong_ice,native_strong_ice,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_left_early_loading_native_strong_ice_v2,pair_002,positive,0.1,left,early_loading,none,native_strong_ice,native_strong_ice,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_left_early_loading_moderate_ice_preregistered_v0,pair_003,positive,0.1,left,early_loading,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_left_early_loading_moderate_ice_preregistered_v1,pair_004,positive,0.1,left,early_loading,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_left_early_loading_moderate_ice_preregistered_v2,pair_005,positive,0.1,left,early_loading,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v0,pair_006,positive,0.1,left,mid_loading_early_stance,none,native_strong_ice,native_strong_ice,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v1,pair_007,positive,0.1,left,mid_loading_early_stance,none,native_strong_ice,native_strong_ice,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v2,pair_008,positive,0.1,left,mid_loading_early_stance,none,native_strong_ice,native_strong_ice,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,pair_009,positive,0.1,left,mid_loading_early_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,pair_010,positive,0.1,left,mid_loading_early_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,pair_011,positive,0.1,left,mid_loading_early_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_left_mid_late_stance_native_strong_ice_v0,pair_012,positive,0.1,left,mid_late_stance,none,native_strong_ice,native_strong_ice,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_left_mid_late_stance_native_strong_ice_v1,pair_013,positive,0.1,left,mid_late_stance,none,native_strong_ice,native_strong_ice,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_left_mid_late_stance_native_strong_ice_v2,pair_014,positive,0.1,left,mid_late_stance,none,native_strong_ice,native_strong_ice,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v0,pair_015,positive,0.1,left,mid_late_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v1,pair_016,positive,0.1,left,mid_late_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v2,pair_017,positive,0.1,left,mid_late_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_right_early_loading_native_strong_ice_v0,pair_018,positive,0.1,right,early_loading,none,native_strong_ice,native_strong_ice,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_right_early_loading_native_strong_ice_v1,pair_019,positive,0.1,right,early_loading,none,native_strong_ice,native_strong_ice,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_right_early_loading_native_strong_ice_v2,pair_020,positive,0.1,right,early_loading,none,native_strong_ice,native_strong_ice,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_right_early_loading_moderate_ice_preregistered_v0,pair_021,positive,0.1,right,early_loading,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_right_early_loading_moderate_ice_preregistered_v1,pair_022,positive,0.1,right,early_loading,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_right_early_loading_moderate_ice_preregistered_v2,pair_023,positive,0.1,right,early_loading,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_right_mid_loading_early_stance_native_strong_ice_v0,pair_024,positive,0.1,right,mid_loading_early_stance,none,native_strong_ice,native_strong_ice,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_right_mid_loading_early_stance_native_strong_ice_v1,pair_025,positive,0.1,right,mid_loading_early_stance,none,native_strong_ice,native_strong_ice,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_right_mid_loading_early_stance_native_strong_ice_v2,pair_026,positive,0.1,right,mid_loading_early_stance,none,native_strong_ice,native_strong_ice,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v0,pair_027,positive,0.1,right,mid_loading_early_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v1,pair_028,positive,0.1,right,mid_loading_early_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v2,pair_029,positive,0.1,right,mid_loading_early_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_right_mid_late_stance_native_strong_ice_v0,pair_030,positive,0.1,right,mid_late_stance,none,native_strong_ice,native_strong_ice,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_right_mid_late_stance_native_strong_ice_v1,pair_031,positive,0.1,right,mid_late_stance,none,native_strong_ice,native_strong_ice,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_right_mid_late_stance_native_strong_ice_v2,pair_032,positive,0.1,right,mid_late_stance,none,native_strong_ice,native_strong_ice,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_right_mid_late_stance_moderate_ice_preregistered_v0,pair_033,positive,0.1,right,mid_late_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_right_mid_late_stance_moderate_ice_preregistered_v1,pair_034,positive,0.1,right,mid_late_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p10_right_mid_late_stance_moderate_ice_preregistered_v2,pair_035,positive,0.1,right,mid_late_stance,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_left_early_loading_native_strong_ice_v0,pair_036,positive,0.15,left,early_loading,none,native_strong_ice,native_strong_ice,hard_normal,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_left_early_loading_native_strong_ice_v1,pair_037,positive,0.15,left,early_loading,none,native_strong_ice,native_strong_ice,near_slip_non_event,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_left_early_loading_native_strong_ice_v2,pair_038,positive,0.15,left,early_loading,none,native_strong_ice,native_strong_ice,hard_normal,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_left_early_loading_moderate_ice_preregistered_v0,pair_039,positive,0.15,left,early_loading,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,0,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_left_early_loading_moderate_ice_preregistered_v1,pair_040,positive,0.15,left,early_loading,none,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,1,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
positive_0p15_left_early_loading_moderate_ice_preregistered_v2,pair_041,positive,0.15,left,early_loading,none,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,2,none,,,,,,,False,False,False,False,True,False,,,0,False,False,False
