run_id,pair_id,pair_index,role,speed_mps,target_foot,target_phase,severity,material_profile,control_type,variation_index,phase_fraction,command_delay_s,lateral_offset_m,seed,duration_s,patch,pair_fingerprint,initial_policy_observation_sha256,sample_count,first_sample_time_s,last_sample_time_s,sample_spacing_max_error_s,first_fall_sample,first_fall_time_s,fall_occurred,fall_reason,post_fall_excluded_sample_count,left_first_loaded_touchdown_sample,right_first_loaded_touchdown_sample,patch_contact_application_count,finite_fusion20,full_trace_sha256,discarded,replaced,silently_relabelled
positive_0p10_left_early_loading_native_strong_ice_v0,pair_000,0,positive,0.1,left,early_loading,native_strong_ice,native_strong_ice,hard_normal,0,0.07,0.0,-0.004,202608300,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",a891700868c8885d1fa78cdbd41635802037ebb4ecc696104da534d24b26c1e4,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,36,43,12337,True,d273f39e125c396ae1bbe8211bdc1189e3e44bd0637f7094168cfab13706b4ec,False,False,False
control_0p10_left_early_loading_native_strong_ice_v0,pair_000,0,control,0.1,left,early_loading,native_strong_ice,hard_normal,hard_normal,0,0.07,0.0,-0.004,202608300,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",a891700868c8885d1fa78cdbd41635802037ebb4ecc696104da534d24b26c1e4,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,36,43,12337,True,d273f39e125c396ae1bbe8211bdc1189e3e44bd0637f7094168cfab13706b4ec,False,False,False
positive_0p10_left_early_loading_native_strong_ice_v1,pair_001,1,positive,0.1,left,early_loading,native_strong_ice,native_strong_ice,near_slip_non_event,1,0.41,0.04,0.0,202608301,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",b206e99a954dcb540f00fb16f00223155a0118248cc6e9f7757538f6a681420f,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,39,37,12726,True,a5b6cfc58c8a0e1fc3c81dd6084fba38844832eef68fe636862831fd4680951c,False,False,False
control_0p10_left_early_loading_native_strong_ice_v1,pair_001,1,control,0.1,left,early_loading,native_strong_ice,near_slip_non_event,near_slip_non_event,1,0.41,0.04,0.0,202608301,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",b206e99a954dcb540f00fb16f00223155a0118248cc6e9f7757538f6a681420f,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,39,37,12726,True,a5b6cfc58c8a0e1fc3c81dd6084fba38844832eef68fe636862831fd4680951c,False,False,False
positive_0p10_left_early_loading_native_strong_ice_v2,pair_002,2,positive,0.1,left,early_loading,native_strong_ice,native_strong_ice,hard_normal,2,0.83,0.08,0.004,202608302,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",8dc3712adab3d196c935dcc4e9233839e93444bb524a71ab11898327d27a54a4,2dee8a77f195705bee7a231aaf858fad80e20a68a76c91445fcbc4dfb3ec8014,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,44,34,12899,True,d4485a277ed5025d7a381faacbe4cfa2bcf456469581732b1e19a1240666a0d3,False,False,False
control_0p10_left_early_loading_native_strong_ice_v2,pair_002,2,control,0.1,left,early_loading,native_strong_ice,hard_normal,hard_normal,2,0.83,0.08,0.004,202608302,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",8dc3712adab3d196c935dcc4e9233839e93444bb524a71ab11898327d27a54a4,2dee8a77f195705bee7a231aaf858fad80e20a68a76c91445fcbc4dfb3ec8014,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,44,34,12899,True,d4485a277ed5025d7a381faacbe4cfa2bcf456469581732b1e19a1240666a0d3,False,False,False
positive_0p10_left_early_loading_moderate_ice_preregistered_v0,pair_003,3,positive,0.1,left,early_loading,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,0,0.07,0.0,-0.004,202608303,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",1897211de0bb10f88fe818276d0948d56f19fde170a2d63b7fbbb12bfb906f2a,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,36,43,11717,True,462ab021b7c83b1df15d955d9d24d671df61d54efce976d26173679138d18da9,False,False,False
control_0p10_left_early_loading_moderate_ice_preregistered_v0,pair_003,3,control,0.1,left,early_loading,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,0,0.07,0.0,-0.004,202608303,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",1897211de0bb10f88fe818276d0948d56f19fde170a2d63b7fbbb12bfb906f2a,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,36,43,11717,True,462ab021b7c83b1df15d955d9d24d671df61d54efce976d26173679138d18da9,False,False,False
positive_0p10_left_early_loading_moderate_ice_preregistered_v1,pair_004,4,positive,0.1,left,early_loading,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,1,0.41,0.04,0.0,202608304,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",c2be633b105f503ddec16a7413a9351f26e4cfbd8f1d66c8a1c115768dfd829d,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,39,37,12726,True,ad3cc881ab56e73557c77c8815d52686ce9e047d56ce965f16b04b8175f88ae7,False,False,False
control_0p10_left_early_loading_moderate_ice_preregistered_v1,pair_004,4,control,0.1,left,early_loading,moderate_ice_preregistered,hard_normal,hard_normal,1,0.41,0.04,0.0,202608304,3.0,"{'target_foot': 'left', 'x_min_m': -0.3, 'x_max_m': 1.5, 'y_min_m': 0.015, 'y_max_m': 0.26, 'surface_z_m': 0.0, 'height_delta_m': 0.0}",c2be633b105f503ddec16a7413a9351f26e4cfbd8f1d66c8a1c115768dfd829d,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,,,False,,0,39,37,12726,True,ad3cc881ab56e73557c77c8815d52686ce9e047d56ce965f16b04b8175f88ae7,False,False,False
