pair_id,positive_run_id,control_run_id,speed_mps,target_foot,target_phase,severity,category,history_start_sample,history_end_sample_inclusive,future_sample_count,finite_comparison_values,mean_absolute_pair_difference,maximum_absolute_pair_difference,positive_mean,control_mean
v5_pair_000,positive_0p10_left_early_loading_native_strong_ice_v0,control_0p10_left_early_loading_native_strong_ice_v0,0.1,left,early_loading,native_strong_ice,target_foot_fsr,0,143,0,576,27.78577065711013,377.2201843261719,72.13974821520969,76.81566358057574
v5_pair_000,positive_0p10_left_early_loading_native_strong_ice_v0,control_0p10_left_early_loading_native_strong_ice_v0,0.1,left,early_loading,native_strong_ice,target_foot_imu,0,143,0,864,3.5333370637975423,57.15545082092285,3.0660630198659353,1.613956906377222
v5_pair_000,positive_0p10_left_early_loading_native_strong_ice_v0,control_0p10_left_early_loading_native_strong_ice_v0,0.1,left,early_loading,native_strong_ice,contralateral_fsr,0,143,0,576,0.8318483359439092,14.621879577636719,10.506253554045948,9.95318207807011
v5_pair_000,positive_0p10_left_early_loading_native_strong_ice_v0,control_0p10_left_early_loading_native_strong_ice_v0,0.1,left,early_loading,native_strong_ice,contralateral_imu,0,143,0,864,0.8480356084587752,22.764118194580078,2.1486218435614624,1.9153879405403131
v5_pair_000,positive_0p10_left_early_loading_native_strong_ice_v0,control_0p10_left_early_loading_native_strong_ice_v0,0.1,left,early_loading,native_strong_ice,bilateral_asymmetry,0,143,0,1440,13.384637018947332,377.2201843261719,25.20386254009791,26.564134000290586
v5_pair_000,positive_0p10_left_early_loading_native_strong_ice_v0,control_0p10_left_early_loading_native_strong_ice_v0,0.1,left,early_loading,native_strong_ice,contact_anchor_drift_label_only,0,143,0,108,0.015620701441582275,0.051801054389216006,0.016772754081574495,0.0011520526399922178
v5_pair_001,positive_0p10_left_early_loading_native_strong_ice_v1,control_0p10_left_early_loading_native_strong_ice_v1,0.1,left,early_loading,native_strong_ice,target_foot_fsr,681,881,0,804,46.17799168202414,419.5995788574219,46.17799168202414,0.0
v5_pair_001,positive_0p10_left_early_loading_native_strong_ice_v1,control_0p10_left_early_loading_native_strong_ice_v1,0.1,left,early_loading,native_strong_ice,target_foot_imu,681,881,0,1206,7.75069368196349,156.93930101394653,3.793377171046117,1.9926828210922436
v5_pair_001,positive_0p10_left_early_loading_native_strong_ice_v1,control_0p10_left_early_loading_native_strong_ice_v1,0.1,left,early_loading,native_strong_ice,contralateral_fsr,681,881,0,804,93.48289325225413,180.37613677978516,49.86093520643699,81.63600489749244
v5_pair_001,positive_0p10_left_early_loading_native_strong_ice_v1,control_0p10_left_early_loading_native_strong_ice_v1,0.1,left,early_loading,native_strong_ice,contralateral_imu,681,881,0,1206,1.9633052959978146,29.021926265209913,2.100382968804229,1.5987608697072593
v5_pair_001,positive_0p10_left_early_loading_native_strong_ice_v1,control_0p10_left_early_loading_native_strong_ice_v1,0.1,left,early_loading,native_strong_ice,bilateral_asymmetry,681,881,0,2010,59.69661526583594,502.6802978515625,-0.45738088405362115,-32.418048787012054
