run_id,pair_id,role,speed_mps,target_foot,target_phase,actual_onset_phase,severity,material_profile,control_type,variation_index,actual_first_affected_foot,target_touchdown_sample,target_touchdown_time_s,target_physical_onset_sample,target_physical_onset_time_s,touchdown_to_onset_ms,target_contact_episode_id,contralateral_physical_slip_contamination,valid_target_positive,wrong_foot_onset,bilateral_ambiguous,no_onset,fall_occurred,first_fall_sample,fall_reason,post_fall_excluded_sample_count,discarded,replaced,silently_relabelled,physical_slip_foot_count,physical_slip_onset_free,stable_loaded_contact_coverage,valid_control_source,maximum_target_anchor_drift_m,first_fall_censor_boundary,control_source_valid,failure_reason,failed_attempt_preserved,silently_counted_as_normal,development_only
control_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,control,0.1,left,early_loading,none,native_strong_ice,hard_normal,hard_normal,0,none,36,0.037000000000000026,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.002020732732489705,,True,,True,False,True
control_0p10_left_early_loading_native_strong_ice_v1,v5_pair_001,control,0.1,left,early_loading,none,native_strong_ice,near_slip_non_event,near_slip_non_event,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.007602348458021879,,True,,True,False,True
control_0p10_left_early_loading_native_strong_ice_v2,v5_pair_002,control,0.1,left,early_loading,none,native_strong_ice,hard_normal,hard_normal,2,none,44,0.04500000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.005537720397114754,,True,,True,False,True
control_0p10_left_early_loading_moderate_ice_preregistered_v0,v5_pair_003,control,0.1,left,early_loading,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,0,none,36,0.037000000000000026,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.006452381145209074,,True,,True,False,True
control_0p10_left_early_loading_moderate_ice_preregistered_v1,v5_pair_004,control,0.1,left,early_loading,none,moderate_ice_preregistered,hard_normal,hard_normal,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.007875500246882439,,True,,True,False,True
control_0p10_left_early_loading_moderate_ice_preregistered_v2,v5_pair_005,control,0.1,left,early_loading,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,2,none,44,0.04500000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.006489741150289774,,True,,True,False,True
control_0p10_left_mid_loading_early_stance_native_strong_ice_v0,v5_pair_006,control,0.1,left,mid_loading_early_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,0,none,36,0.037000000000000026,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.0018269672291353345,,True,,True,False,True
control_0p10_left_mid_loading_early_stance_native_strong_ice_v1,v5_pair_007,control,0.1,left,mid_loading_early_stance,none,native_strong_ice,hard_normal,hard_normal,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.007921406999230385,,True,,True,False,True
control_0p10_left_mid_loading_early_stance_native_strong_ice_v2,v5_pair_008,control,0.1,left,mid_loading_early_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,2,none,44,0.04500000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.005254873540252447,,True,,True,False,True
control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_009,control,0.1,left,mid_loading_early_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,0,none,36,0.037000000000000026,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.0020262892358005047,,True,,True,False,True
control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_010,control,0.1,left,mid_loading_early_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,1,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.008012445643544197,,True,,True,False,True
