run_id,pair_id,role,fall_occurred,first_fall_sample,first_fall_time_s,fall_reason,pre_fall_valid_sample_count,post_fall_stored_sample_count,post_fall_excluded_from_labels
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,True,1738,1.738999999999864,fallen_base_height,1738,1262,True
control_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,control,False,,,,3000,0,True
positive_0p10_left_early_loading_native_strong_ice_v1,v5_pair_001,positive,True,1464,1.4649999999998942,fallen_base_height,1464,1536,True
control_0p10_left_early_loading_native_strong_ice_v1,v5_pair_001,control,False,,,,3000,0,True
positive_0p10_left_early_loading_native_strong_ice_v2,v5_pair_002,positive,True,1846,1.846999999999852,fallen_base_height,1846,1154,True
control_0p10_left_early_loading_native_strong_ice_v2,v5_pair_002,control,False,,,,3000,0,True
positive_0p10_left_early_loading_moderate_ice_preregistered_v0,v5_pair_003,positive,True,2123,2.1239999999998767,fallen_base_height,2123,877,True
control_0p10_left_early_loading_moderate_ice_preregistered_v0,v5_pair_003,control,False,,,,3000,0,True
positive_0p10_left_early_loading_moderate_ice_preregistered_v1,v5_pair_004,positive,True,2248,2.2489999999999184,fallen_base_height,2248,752,True
control_0p10_left_early_loading_moderate_ice_preregistered_v1,v5_pair_004,control,False,,,,3000,0,True
positive_0p10_left_early_loading_moderate_ice_preregistered_v2,v5_pair_005,positive,True,2296,2.2969999999999344,fallen_base_height,2296,704,True
control_0p10_left_early_loading_moderate_ice_preregistered_v2,v5_pair_005,control,False,,,,3000,0,True
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v0,v5_pair_006,positive,False,,,,3000,0,True
control_0p10_left_mid_loading_early_stance_native_strong_ice_v0,v5_pair_006,control,False,,,,3000,0,True
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v1,v5_pair_007,positive,False,,,,3000,0,True
control_0p10_left_mid_loading_early_stance_native_strong_ice_v1,v5_pair_007,control,False,,,,3000,0,True
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v2,v5_pair_008,positive,False,,,,3000,0,True
control_0p10_left_mid_loading_early_stance_native_strong_ice_v2,v5_pair_008,control,False,,,,3000,0,True
positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_009,positive,False,,,,3000,0,True
control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_009,control,False,,,,3000,0,True
positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_010,positive,False,,,,3000,0,True
control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_010,control,False,,,,3000,0,True
positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,v5_pair_011,positive,False,,,,3000,0,True
control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,v5_pair_011,control,False,,,,3000,0,True
positive_0p10_left_mid_late_stance_native_strong_ice_v0,v5_pair_012,positive,False,,,,3000,0,True
control_0p10_left_mid_late_stance_native_strong_ice_v0,v5_pair_012,control,False,,,,3000,0,True
positive_0p10_left_mid_late_stance_native_strong_ice_v1,v5_pair_013,positive,False,,,,3000,0,True
control_0p10_left_mid_late_stance_native_strong_ice_v1,v5_pair_013,control,False,,,,3000,0,True
positive_0p10_left_mid_late_stance_native_strong_ice_v2,v5_pair_014,positive,False,,,,3000,0,True
control_0p10_left_mid_late_stance_native_strong_ice_v2,v5_pair_014,control,False,,,,3000,0,True
positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_015,positive,False,,,,3000,0,True
control_0p10_left_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_015,control,False,,,,3000,0,True
positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_016,positive,False,,,,3000,0,True
control_0p10_left_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_016,control,False,,,,3000,0,True
positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_017,positive,False,,,,3000,0,True
control_0p10_left_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_017,control,False,,,,3000,0,True
positive_0p10_right_early_loading_native_strong_ice_v0,v5_pair_018,positive,True,1418,1.4189999999998992,fallen_base_height,1418,1582,True
control_0p10_right_early_loading_native_strong_ice_v0,v5_pair_018,control,False,,,,3000,0,True
positive_0p10_right_early_loading_native_strong_ice_v1,v5_pair_019,positive,True,1312,1.312999999999911,fallen_base_height,1312,1688,True
control_0p10_right_early_loading_native_strong_ice_v1,v5_pair_019,control,False,,,,3000,0,True
positive_0p10_right_early_loading_native_strong_ice_v2,v5_pair_020,positive,True,1546,1.5469999999998851,fallen_base_height,1546,1454,True
control_0p10_right_early_loading_native_strong_ice_v2,v5_pair_020,control,False,,,,3000,0,True
positive_0p10_right_early_loading_moderate_ice_preregistered_v0,v5_pair_021,positive,True,1802,1.802999999999857,fallen_orientation,1802,1198,True
control_0p10_right_early_loading_moderate_ice_preregistered_v0,v5_pair_021,control,False,,,,3000,0,True
positive_0p10_right_early_loading_moderate_ice_preregistered_v1,v5_pair_022,positive,True,2709,2.7100000000000724,fallen_base_height,2709,291,True
control_0p10_right_early_loading_moderate_ice_preregistered_v1,v5_pair_022,control,False,,,,3000,0,True
positive_0p10_right_early_loading_moderate_ice_preregistered_v2,v5_pair_023,positive,True,1959,1.9599999999998396,fallen_base_height,1959,1041,True
control_0p10_right_early_loading_moderate_ice_preregistered_v2,v5_pair_023,control,False,,,,3000,0,True
positive_0p10_right_mid_loading_early_stance_native_strong_ice_v0,v5_pair_024,positive,False,,,,3000,0,True
control_0p10_right_mid_loading_early_stance_native_strong_ice_v0,v5_pair_024,control,False,,,,3000,0,True
positive_0p10_right_mid_loading_early_stance_native_strong_ice_v1,v5_pair_025,positive,False,,,,3000,0,True
control_0p10_right_mid_loading_early_stance_native_strong_ice_v1,v5_pair_025,control,False,,,,3000,0,True
positive_0p10_right_mid_loading_early_stance_native_strong_ice_v2,v5_pair_026,positive,False,,,,3000,0,True
control_0p10_right_mid_loading_early_stance_native_strong_ice_v2,v5_pair_026,control,False,,,,3000,0,True
positive_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_027,positive,False,,,,3000,0,True
control_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_027,control,False,,,,3000,0,True
positive_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_028,positive,False,,,,3000,0,True
control_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_028,control,False,,,,3000,0,True
positive_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v2,v5_pair_029,positive,False,,,,3000,0,True
control_0p10_right_mid_loading_early_stance_moderate_ice_preregistered_v2,v5_pair_029,control,False,,,,3000,0,True
positive_0p10_right_mid_late_stance_native_strong_ice_v0,v5_pair_030,positive,False,,,,3000,0,True
control_0p10_right_mid_late_stance_native_strong_ice_v0,v5_pair_030,control,False,,,,3000,0,True
positive_0p10_right_mid_late_stance_native_strong_ice_v1,v5_pair_031,positive,False,,,,3000,0,True
control_0p10_right_mid_late_stance_native_strong_ice_v1,v5_pair_031,control,False,,,,3000,0,True
positive_0p10_right_mid_late_stance_native_strong_ice_v2,v5_pair_032,positive,False,,,,3000,0,True
control_0p10_right_mid_late_stance_native_strong_ice_v2,v5_pair_032,control,False,,,,3000,0,True
positive_0p10_right_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_033,positive,False,,,,3000,0,True
control_0p10_right_mid_late_stance_moderate_ice_preregistered_v0,v5_pair_033,control,False,,,,3000,0,True
positive_0p10_right_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_034,positive,False,,,,3000,0,True
control_0p10_right_mid_late_stance_moderate_ice_preregistered_v1,v5_pair_034,control,False,,,,3000,0,True
positive_0p10_right_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_035,positive,False,,,,3000,0,True
control_0p10_right_mid_late_stance_moderate_ice_preregistered_v2,v5_pair_035,control,False,,,,3000,0,True
positive_0p15_left_early_loading_native_strong_ice_v0,v5_pair_036,positive,True,1636,1.6369999999998752,fallen_base_height,1636,1364,True
control_0p15_left_early_loading_native_strong_ice_v0,v5_pair_036,control,False,,,,3000,0,True
positive_0p15_left_early_loading_native_strong_ice_v1,v5_pair_037,positive,True,1495,1.4959999999998908,fallen_base_height,1495,1505,True
control_0p15_left_early_loading_native_strong_ice_v1,v5_pair_037,control,False,,,,3000,0,True
positive_0p15_left_early_loading_native_strong_ice_v2,v5_pair_038,positive,True,1825,1.8259999999998544,fallen_base_height,1825,1175,True
control_0p15_left_early_loading_native_strong_ice_v2,v5_pair_038,control,False,,,,3000,0,True
