pair_id,positive_run_id,control_run_id,pair_fingerprint,speed_mps,target_foot,target_phase,severity,control_type,variation_index,seed,first_patch_contact_sample,initial_qpos_equal,initial_qvel_equal,initial_policy_observation_equal,prepatch_generalized_state_equal,precontact_fusion20_equal,command_equal,geometry_equal,patch_location_equal,target_foot_equal,timestamps_equal,pair_configuration_equal,positive_expected_friction,control_expected_friction,positive_effective_friction_contract,control_effective_friction_contract,effective_friction_differs,postcontact_trajectory_diverged,full_trace_identical,classification,patch_base_double_contact_count,parity_pass
v5_pair_000,positive_0p10_left_early_loading_native_strong_ice_v0,control_0p10_left_early_loading_native_strong_ice_v0,a3b3b9bf2ebb05a1f1d825db7a56371b39c105d6c84525304f04568732eaef8a,0.1,left,early_loading,native_strong_ice,hard_normal,0,202608500,36,True,True,True,True,True,True,True,True,True,True,True,0.05,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_001,positive_0p10_left_early_loading_native_strong_ice_v1,control_0p10_left_early_loading_native_strong_ice_v1,9dd38cd96156f9170e9619acb6df69ddc5614b92a8d3dcc9ff6c4a64310d8366,0.1,left,early_loading,native_strong_ice,near_slip_non_event,1,202608501,39,True,True,True,True,True,True,True,True,True,True,True,0.05,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_002,positive_0p10_left_early_loading_native_strong_ice_v2,control_0p10_left_early_loading_native_strong_ice_v2,eadddc1dc381ebe7db2ddd1b9f0ecff3cb6a7b724378c1c9d51c5d747259217d,0.1,left,early_loading,native_strong_ice,hard_normal,2,202608502,44,True,True,True,True,True,True,True,True,True,True,True,0.05,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_003,positive_0p10_left_early_loading_moderate_ice_preregistered_v0,control_0p10_left_early_loading_moderate_ice_preregistered_v0,ac903890c8b7a152080b81ba1bba5a3d41ab8c14e485ca19f162316cf2c2ebbe,0.1,left,early_loading,moderate_ice_preregistered,near_slip_non_event,0,202608503,36,True,True,True,True,True,True,True,True,True,True,True,0.1,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_004,positive_0p10_left_early_loading_moderate_ice_preregistered_v1,control_0p10_left_early_loading_moderate_ice_preregistered_v1,fc7f17337cc35b7b928805b0a8c7ca7377a3cd7ab98892d8e7cf31500656abfe,0.1,left,early_loading,moderate_ice_preregistered,hard_normal,1,202608504,39,True,True,True,True,True,True,True,True,True,True,True,0.1,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_005,positive_0p10_left_early_loading_moderate_ice_preregistered_v2,control_0p10_left_early_loading_moderate_ice_preregistered_v2,6a85a8a1aabc12891e2ec4648a3e9623b82ed49bce149f9d49855bd74a60bf48,0.1,left,early_loading,moderate_ice_preregistered,near_slip_non_event,2,202608505,44,True,True,True,True,True,True,True,True,True,True,True,0.1,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_006,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v0,control_0p10_left_mid_loading_early_stance_native_strong_ice_v0,84fdcf2b5cb717f352086586420d6b8fcd0fba9c74b86ec61fbc4db6cc1f86be,0.1,left,mid_loading_early_stance,native_strong_ice,near_slip_non_event,0,202608506,36,True,True,True,True,True,True,True,True,True,True,True,0.05,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_007,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v1,control_0p10_left_mid_loading_early_stance_native_strong_ice_v1,039e45de3c5dcbf22641d9858d384453e2249ee535af37dfbbe20cc5994d3327,0.1,left,mid_loading_early_stance,native_strong_ice,hard_normal,1,202608507,39,True,True,True,True,True,True,True,True,True,True,True,0.05,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_008,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v2,control_0p10_left_mid_loading_early_stance_native_strong_ice_v2,5e06d31e1c5b749ddeb601ef3108fd7d83491c9bebbbecadcd540f40bb8949a7,0.1,left,mid_loading_early_stance,native_strong_ice,near_slip_non_event,2,202608508,44,True,True,True,True,True,True,True,True,True,True,True,0.05,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_009,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,94c828ec0a4512cfa22bd46ba964eaa854d70fa13e372eb0159b2281a9e15bda,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,hard_normal,0,202608509,36,True,True,True,True,True,True,True,True,True,True,True,0.1,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_010,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,8119c95a8c8c10353f30daad24cef321c243470932d2da04ef7c354408161247,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,near_slip_non_event,1,202608510,39,True,True,True,True,True,True,True,True,True,True,True,0.1,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_011,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,44740140531fb36e4f3a471ecf3ae43759dac4a274a6fd9827979a4f693ac3bb,0.1,left,mid_loading_early_stance,moderate_ice_preregistered,hard_normal,2,202608511,44,True,True,True,True,True,True,True,True,True,True,True,0.1,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_012,positive_0p10_left_mid_late_stance_native_strong_ice_v0,control_0p10_left_mid_late_stance_native_strong_ice_v0,7db1b53c2b3168aff864d37aea82b1d37ad06b6bb95103dacdd4a02cd51c6359,0.1,left,mid_late_stance,native_strong_ice,hard_normal,0,202608512,36,True,True,True,True,True,True,True,True,True,True,True,0.05,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_013,positive_0p10_left_mid_late_stance_native_strong_ice_v1,control_0p10_left_mid_late_stance_native_strong_ice_v1,486af25216d16b9f00e36a3abb03d6301b0b21d8d9e87e36f8a8ac00eb687fa3,0.1,left,mid_late_stance,native_strong_ice,near_slip_non_event,1,202608513,39,True,True,True,True,True,True,True,True,True,True,True,0.05,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_014,positive_0p10_left_mid_late_stance_native_strong_ice_v2,control_0p10_left_mid_late_stance_native_strong_ice_v2,bc49e5733c340db73d174f348b23f122bdcb1901bb63aaa0fc6b5712ef6a9c53,0.1,left,mid_late_stance,native_strong_ice,hard_normal,2,202608514,44,True,True,True,True,True,True,True,True,True,True,True,0.05,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True
v5_pair_015,positive_0p10_left_mid_late_stance_moderate_ice_preregistered_v0,control_0p10_left_mid_late_stance_moderate_ice_preregistered_v0,7350a8d38b5f3906279d3712ee496ac540fe30458657b232e67487466c755f29,0.1,left,mid_late_stance,moderate_ice_preregistered,near_slip_non_event,0,202608515,36,True,True,True,True,True,True,True,True,True,True,True,0.1,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True
