run_id,pair_id,role,target_foot,foot,actual_first_affected_foot,contact_episode_id,episode_start_sample,episode_end_sample_exclusive,touchdown_sample,physical_onset_sample,time_from_touchdown_to_onset_ms,active_physical_slip_intervals,maximum_contact_anchor_drift_m,stable_loaded_contact_valid,fall_time_s,fall_reason,first_fall_censor_boundary,post_fall_excluded_sample_count,air_mask_sample_count,touchdown_mask_sample_count,invalid_mask_sample_count,contralateral_physical_slip_contamination
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,0,36,149,36,143,108,"[[143,149]]",0.05902133882045746,True,1.738999999999864,fallen_base_height,1738,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,1,150,155,150,,,[],0.0051309335976839066,False,1.738999999999864,fallen_base_height,1738,0,0,5,5,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,2,156,162,156,,,[],0.0067515186965465546,False,1.738999999999864,fallen_base_height,1738,0,0,6,6,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,3,163,171,163,,,[],0.009047606959939003,False,1.738999999999864,fallen_base_height,1738,0,0,8,8,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,4,172,180,172,,,[],0.008215723559260368,False,1.738999999999864,fallen_base_height,1738,0,0,8,8,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,5,520,585,520,,,[],0.04417528957128525,True,1.738999999999864,fallen_base_height,1738,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,6,586,613,586,,,[],0.0375385507941246,True,1.738999999999864,fallen_base_height,1738,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,7,614,637,614,,,[],0.03519957885146141,True,1.738999999999864,fallen_base_height,1738,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,8,638,643,638,,,[],0.006711399648338556,False,1.738999999999864,fallen_base_height,1738,0,0,5,5,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,9,644,660,644,,,[],0.025190038606524467,True,1.738999999999864,fallen_base_height,1738,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,10,662,671,662,,,[],0.013037375174462795,False,1.738999999999864,fallen_base_height,1738,0,0,9,9,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,11,672,699,672,,,[],0.036358173936605453,True,1.738999999999864,fallen_base_height,1738,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,12,700,724,700,,,[],0.013563744723796844,True,1.738999999999864,fallen_base_height,1738,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,13,725,731,725,,,[],0.001163698616437614,False,1.738999999999864,fallen_base_height,1738,0,0,6,6,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,14,732,739,732,,,[],0.0013515641912817955,False,1.738999999999864,fallen_base_height,1738,0,0,7,7,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,15,740,747,740,,,[],0.0015510814264416695,False,1.738999999999864,fallen_base_height,1738,0,0,7,7,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,16,749,753,749,,,[],0.0009440560243092477,False,1.738999999999864,fallen_base_height,1738,0,0,4,4,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,17,754,761,754,,,[],0.0022830425295978785,False,1.738999999999864,fallen_base_height,1738,0,0,7,7,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,18,805,813,805,,,[],0.0027272594161331654,False,1.738999999999864,fallen_base_height,1738,0,0,8,8,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,19,816,821,816,,,[],0.0014064628630876541,False,1.738999999999864,fallen_base_height,1738,0,0,5,5,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,20,823,826,823,,,[],0.000701739510986954,False,1.738999999999864,fallen_base_height,1738,0,0,3,3,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,21,827,863,827,,,[],0.008963026106357574,True,1.738999999999864,fallen_base_height,1738,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,22,866,879,866,,,[],0.0026301483158022165,True,1.738999999999864,fallen_base_height,1738,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,23,881,884,881,,,[],0.00044862739741802216,False,1.738999999999864,fallen_base_height,1738,0,0,3,3,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,24,886,889,886,,,[],0.0005003712140023708,False,1.738999999999864,fallen_base_height,1738,0,0,3,3,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,25,890,893,890,,,[],0.0005028570303693414,False,1.738999999999864,fallen_base_height,1738,0,0,3,3,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,26,894,899,894,,,[],0.0009561486076563597,False,1.738999999999864,fallen_base_height,1738,0,0,5,5,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,27,900,903,,,,[],0.0004919241764582694,False,1.738999999999864,fallen_base_height,1738,0,0,3,3,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,28,917,922,917,,,[],0.0010212174383923411,False,1.738999999999864,fallen_base_height,1738,0,0,5,5,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,29,971,1191,971,1063,93,"[[1063,1191]]",0.2746576964855194,True,1.738999999999864,fallen_base_height,1738,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,30,1193,1216,1193,,,[],0.03954960033297539,True,1.738999999999864,fallen_base_height,1738,0,0,10,10,False
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,left,left,left,31,1217,1266,1217,1249,33,"[[1249,1266]]",0.07897169142961502,True,1.738999999999864,fallen_base_height,1738,0,0,10,10,False
