run_id,pair_id,role,speed_mps,target_foot,target_phase,actual_onset_phase,severity,material_profile,control_type,variation_index,actual_first_affected_foot,target_touchdown_sample,target_touchdown_time_s,target_physical_onset_sample,target_physical_onset_time_s,touchdown_to_onset_ms,target_contact_episode_id,contralateral_physical_slip_contamination,valid_target_positive,wrong_foot_onset,bilateral_ambiguous,no_onset,fall_occurred,first_fall_sample,fall_reason,post_fall_excluded_sample_count,discarded,replaced,silently_relabelled,target_foot_patch_contact,target_foot_physical_slip,target_first,valid_pre_fall_duration_s,maximum_target_anchor_drift_m,source_valid,failure_reason,failed_attempt_preserved,development_only
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,0.1,left,early_loading,early_loading,native_strong_ice,native_strong_ice,hard_normal,0,left,36,0.037000000000000026,143,0.1440000000000001,108,0,False,True,False,False,False,True,1738,fallen_base_height,1262,False,False,False,True,True,True,1.738,0.2746576964855194,True,,True,True
positive_0p10_left_early_loading_native_strong_ice_v1,v5_pair_001,positive,0.1,left,early_loading,early_loading,native_strong_ice,native_strong_ice,near_slip_non_event,1,left,812,0.8129999999999659,881,0.8819999999999583,70,13,False,True,False,False,False,True,1464,fallen_base_height,1536,False,False,False,True,True,True,1.464,0.1629399061203003,True,,True,True
positive_0p10_left_early_loading_native_strong_ice_v2,v5_pair_002,positive,0.1,left,early_loading,early_loading,native_strong_ice,native_strong_ice,hard_normal,2,left,166,0.16700000000000012,234,0.23500000000000018,69,1,False,True,False,False,False,True,1846,fallen_base_height,1154,False,False,False,True,True,True,1.846,0.21858717501163483,True,,True,True
positive_0p10_left_early_loading_moderate_ice_preregistered_v0,v5_pair_003,positive,0.1,left,early_loading,early_loading,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,0,left,543,0.5439999999999955,643,0.6439999999999845,101,2,False,True,False,False,False,True,2123,fallen_base_height,877,False,False,False,True,True,True,2.123,0.08851982653141022,True,,True,True
positive_0p10_left_early_loading_moderate_ice_preregistered_v1,v5_pair_004,positive,0.1,left,early_loading,early_loading,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,1,left,306,0.3070000000000002,387,0.3880000000000003,82,1,False,True,False,False,False,True,2248,fallen_base_height,752,False,False,False,True,True,True,2.248,0.10657823830842972,True,,True,True
positive_0p10_left_early_loading_moderate_ice_preregistered_v2,v5_pair_005,positive,0.1,left,early_loading,early_loading,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,2,left,1130,1.130999999999931,1230,1.23099999999992,101,28,False,True,False,False,False,True,2296,fallen_base_height,704,False,False,False,True,True,True,2.296,0.0962338075041771,True,,True,True
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v0,v5_pair_006,positive,0.1,left,mid_loading_early_stance,mid_loading_early_stance,native_strong_ice,native_strong_ice,near_slip_non_event,0,left,542,0.5429999999999956,695,0.6959999999999787,154,3,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.12492340058088303,True,,True,True
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v1,v5_pair_007,positive,0.1,left,mid_loading_early_stance,mid_loading_early_stance,native_strong_ice,native_strong_ice,hard_normal,1,left,304,0.3050000000000002,442,0.44300000000000034,139,1,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.10295863449573517,True,,True,True
positive_0p10_left_mid_loading_early_stance_native_strong_ice_v2,v5_pair_008,positive,0.1,left,mid_loading_early_stance,mid_loading_early_stance,native_strong_ice,native_strong_ice,near_slip_non_event,2,left,44,0.04500000000000003,301,0.3020000000000002,258,0,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.09309530258178711,True,,True,True
positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_009,positive,0.1,left,mid_loading_early_stance,mid_loading_early_stance,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,0,left,1720,1.720999999999866,1890,1.8909999999998472,171,6,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.07489980757236481,True,,True,True
positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_010,positive,0.1,left,mid_loading_early_stance,mid_loading_early_stance,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,1,left,917,0.9179999999999543,1091,1.0919999999999352,175,4,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.0844719335436821,True,,True,True
positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,v5_pair_011,positive,0.1,left,mid_loading_early_stance,mid_loading_early_stance,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,2,left,44,0.04500000000000003,272,0.2730000000000002,229,0,False,True,False,False,False,False,,,0,False,False,False,True,True,True,3.0,0.05256719887256622,True,,True,True
