run_id,pair_id,pair_index,role,speed_mps,target_foot,target_phase,severity,material_profile,control_type,variation_index,phase_fraction,command_delay_s,lateral_offset_m,seed,duration_s,pair_fingerprint,patch,collision_geometry_sha256,initial_qpos_sha256,initial_qvel_sha256,initial_policy_observation_sha256,sample_count,first_sample_time_s,last_sample_time_s,sample_spacing_max_error_s,fusion20_shape,finite_fusion20,first_patch_contact_sample,patch_active_contact_sample_count,intervention_configured_physics_steps,effective_patch_friction_mean,patch_base_double_contact_count,left_first_loaded_touchdown_sample,right_first_loaded_touchdown_sample,first_fall_sample,first_fall_time_s,fall_occurred,fall_reason,post_fall_excluded_sample_count,full_trace_sha256,discarded,replaced,silently_relabelled,development_only
positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,0,positive,0.1,left,early_loading,native_strong_ice,native_strong_ice,hard_normal,0,0.07,0.0,-0.004,202608500,3.0,a3b3b9bf2ebb05a1f1d825db7a56371b39c105d6c84525304f04568732eaef8a,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,f24dddad07936aee1d5b54ef3baee602767a313c2313ae877465787a5742f997,3728f930e94b8d7f4b2bbddec5074e8bd23de3e6648aa61f30a56bd9bb8db7fa,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,36,1205,6000,0.05,0,36,43,1738,1.738999999999864,True,fallen_base_height,1262,e57984a0f5d3629b8ec0e2de19ad8d7b06288a5d03752d02ca27a4c6613a6745,False,False,False,True
control_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,0,control,0.1,left,early_loading,native_strong_ice,hard_normal,hard_normal,0,0.07,0.0,-0.004,202608500,3.0,a3b3b9bf2ebb05a1f1d825db7a56371b39c105d6c84525304f04568732eaef8a,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,f24dddad07936aee1d5b54ef3baee602767a313c2313ae877465787a5742f997,3728f930e94b8d7f4b2bbddec5074e8bd23de3e6648aa61f30a56bd9bb8db7fa,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,36,1607,0,1.0,0,36,43,,,False,,0,f9137fbb966b780c76394423c830135fd773e7931defb07e0ef64009907c6105,False,False,False,True
positive_0p10_left_early_loading_native_strong_ice_v1,v5_pair_001,1,positive,0.1,left,early_loading,native_strong_ice,native_strong_ice,near_slip_non_event,1,0.41,0.04,0.0,202608501,3.0,9dd38cd96156f9170e9619acb6df69ddc5614b92a8d3dcc9ff6c4a64310d8366,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,80548452b35f9f35bc9eb335c2cf4ec12e983e5b30341b760ee20847f39e63ca,68281ec0f25c089fda90e4e41cbcc55e91ce03d45c12f13af969f4a9c18de262,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1015,6000,0.05000000000000001,0,39,37,1464,1.4649999999998942,True,fallen_base_height,1536,f745a5104ce7ee0d634af684ac68acf626812c965a6393b35aa1408ed558599d,False,False,False,True
control_0p10_left_early_loading_native_strong_ice_v1,v5_pair_001,1,control,0.1,left,early_loading,native_strong_ice,near_slip_non_event,near_slip_non_event,1,0.41,0.04,0.0,202608501,3.0,9dd38cd96156f9170e9619acb6df69ddc5614b92a8d3dcc9ff6c4a64310d8366,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,80548452b35f9f35bc9eb335c2cf4ec12e983e5b30341b760ee20847f39e63ca,68281ec0f25c089fda90e4e41cbcc55e91ce03d45c12f13af969f4a9c18de262,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1683,6000,0.35,0,39,37,,,False,,0,8f5f2992d8eaa9abc79aba071750e1eb3e2da6bf47ea735fdf623453c3f403a0,False,False,False,True
positive_0p10_left_early_loading_native_strong_ice_v2,v5_pair_002,2,positive,0.1,left,early_loading,native_strong_ice,native_strong_ice,hard_normal,2,0.83,0.08,0.004,202608502,3.0,eadddc1dc381ebe7db2ddd1b9f0ecff3cb6a7b724378c1c9d51c5d747259217d,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,1a29245f6078b22b6841b221f1a52db0124c7bf83a7f2f178ed675d499fc067f,fa9144539e5aef3b73cc7cf88b51aeaf164e25b2152d002fb4ebebde1a8f32b4,2dee8a77f195705bee7a231aaf858fad80e20a68a76c91445fcbc4dfb3ec8014,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,44,1330,6000,0.05,0,44,34,1846,1.846999999999852,True,fallen_base_height,1154,db6e75e4e421f3803c789d8577ab33832fd6f4dd4cd1c0850690a8479ff991a2,False,False,False,True
control_0p10_left_early_loading_native_strong_ice_v2,v5_pair_002,2,control,0.1,left,early_loading,native_strong_ice,hard_normal,hard_normal,2,0.83,0.08,0.004,202608502,3.0,eadddc1dc381ebe7db2ddd1b9f0ecff3cb6a7b724378c1c9d51c5d747259217d,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,1a29245f6078b22b6841b221f1a52db0124c7bf83a7f2f178ed675d499fc067f,fa9144539e5aef3b73cc7cf88b51aeaf164e25b2152d002fb4ebebde1a8f32b4,2dee8a77f195705bee7a231aaf858fad80e20a68a76c91445fcbc4dfb3ec8014,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,44,1714,0,1.0,0,44,34,,,False,,0,a506811d3d36031febdc160873ea8d0ecb7e3a44d38002cbb9ab854b4465f719,False,False,False,True
positive_0p10_left_early_loading_moderate_ice_preregistered_v0,v5_pair_003,3,positive,0.1,left,early_loading,moderate_ice_preregistered,moderate_ice_preregistered,near_slip_non_event,0,0.07,0.0,-0.004,202608503,3.0,ac903890c8b7a152080b81ba1bba5a3d41ab8c14e485ca19f162316cf2c2ebbe,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,1c94388c5f5579df7030fdfd4350e58d8ad30a63454bdc9635dcc66592f0737e,e3a206b686c9af4bf7a47faa0f3e3daa81479ea453bf3d025f1c1a274d2ea61d,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,36,1055,6000,0.1,0,36,43,2123,2.1239999999998767,True,fallen_base_height,877,dd7f857869b8ba073a77453ec5fba39428a3a71caea29d3bb10f40717f29f75c,False,False,False,True
control_0p10_left_early_loading_moderate_ice_preregistered_v0,v5_pair_003,3,control,0.1,left,early_loading,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,0,0.07,0.0,-0.004,202608503,3.0,ac903890c8b7a152080b81ba1bba5a3d41ab8c14e485ca19f162316cf2c2ebbe,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,1c94388c5f5579df7030fdfd4350e58d8ad30a63454bdc9635dcc66592f0737e,e3a206b686c9af4bf7a47faa0f3e3daa81479ea453bf3d025f1c1a274d2ea61d,e8db233ba68753692a7ca9d542ffa00754cdd2d0c4f2c428ef2644dfc559214a,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,36,1593,6000,0.35,0,36,43,,,False,,0,003e5b033d3071c2466cdf2a622605f88eda642d6194742928c145dccd305010,False,False,False,True
positive_0p10_left_early_loading_moderate_ice_preregistered_v1,v5_pair_004,4,positive,0.1,left,early_loading,moderate_ice_preregistered,moderate_ice_preregistered,hard_normal,1,0.41,0.04,0.0,202608504,3.0,fc7f17337cc35b7b928805b0a8c7ca7377a3cd7ab98892d8e7cf31500656abfe,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,2e71974e31a5077da7338eb7e16989841ba6f5b3b37d22af28bcfa4428563cf6,f3ebc6d1bea831d085a1096d76ce208046d9c3e0f674d3cf325014a3612fa268,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1518,6000,0.09999999999999999,0,39,37,2248,2.2489999999999184,True,fallen_base_height,752,f24bf8486de750a0970af05d46c4b09b28bbb40d62085c0428eadb5ecb664621,False,False,False,True
control_0p10_left_early_loading_moderate_ice_preregistered_v1,v5_pair_004,4,control,0.1,left,early_loading,moderate_ice_preregistered,hard_normal,hard_normal,1,0.41,0.04,0.0,202608504,3.0,fc7f17337cc35b7b928805b0a8c7ca7377a3cd7ab98892d8e7cf31500656abfe,"{'x_min_m': -1.0, 'x_max_m': 2.0, 'y_min_m': -0.8, 'y_max_m': 0.8, 'top_z_m': 0.0}",58b3071a02305e9ea39c75751a7a9c67c32afb648478888eb597c404f529b717,2e71974e31a5077da7338eb7e16989841ba6f5b3b37d22af28bcfa4428563cf6,f3ebc6d1bea831d085a1096d76ce208046d9c3e0f674d3cf325014a3612fa268,9145d4546123182ed68a19d519066e07547c7a9c385db1f5ec2a30986e59f0f8,3000,0.001,3.000000000000169,3.3393426912553537e-16,"[3000, 20]",True,39,1704,0,1.0,0,39,37,,,False,,0,566ad3b40577dbfd678643f7314e85ace8a0fa3844e27ed47dfde7f2cf136122,False,False,False,True
