run_index,run_id,pair_id,role,status,full_trace_sha256,discarded,replaced,silently_relabelled
0,positive_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,positive,EXECUTED_AND_RETAINED,e57984a0f5d3629b8ec0e2de19ad8d7b06288a5d03752d02ca27a4c6613a6745,False,False,False
1,control_0p10_left_early_loading_native_strong_ice_v0,v5_pair_000,control,EXECUTED_AND_RETAINED,f9137fbb966b780c76394423c830135fd773e7931defb07e0ef64009907c6105,False,False,False
2,positive_0p10_left_early_loading_native_strong_ice_v1,v5_pair_001,positive,EXECUTED_AND_RETAINED,f745a5104ce7ee0d634af684ac68acf626812c965a6393b35aa1408ed558599d,False,False,False
3,control_0p10_left_early_loading_native_strong_ice_v1,v5_pair_001,control,EXECUTED_AND_RETAINED,8f5f2992d8eaa9abc79aba071750e1eb3e2da6bf47ea735fdf623453c3f403a0,False,False,False
4,positive_0p10_left_early_loading_native_strong_ice_v2,v5_pair_002,positive,EXECUTED_AND_RETAINED,db6e75e4e421f3803c789d8577ab33832fd6f4dd4cd1c0850690a8479ff991a2,False,False,False
5,control_0p10_left_early_loading_native_strong_ice_v2,v5_pair_002,control,EXECUTED_AND_RETAINED,a506811d3d36031febdc160873ea8d0ecb7e3a44d38002cbb9ab854b4465f719,False,False,False
6,positive_0p10_left_early_loading_moderate_ice_preregistered_v0,v5_pair_003,positive,EXECUTED_AND_RETAINED,dd7f857869b8ba073a77453ec5fba39428a3a71caea29d3bb10f40717f29f75c,False,False,False
7,control_0p10_left_early_loading_moderate_ice_preregistered_v0,v5_pair_003,control,EXECUTED_AND_RETAINED,003e5b033d3071c2466cdf2a622605f88eda642d6194742928c145dccd305010,False,False,False
8,positive_0p10_left_early_loading_moderate_ice_preregistered_v1,v5_pair_004,positive,EXECUTED_AND_RETAINED,f24bf8486de750a0970af05d46c4b09b28bbb40d62085c0428eadb5ecb664621,False,False,False
9,control_0p10_left_early_loading_moderate_ice_preregistered_v1,v5_pair_004,control,EXECUTED_AND_RETAINED,566ad3b40577dbfd678643f7314e85ace8a0fa3844e27ed47dfde7f2cf136122,False,False,False
10,positive_0p10_left_early_loading_moderate_ice_preregistered_v2,v5_pair_005,positive,EXECUTED_AND_RETAINED,e84714b65fa517d8b8ee0b41b0e69a3a6031b70481f222c9666d62cefa3e9f22,False,False,False
11,control_0p10_left_early_loading_moderate_ice_preregistered_v2,v5_pair_005,control,EXECUTED_AND_RETAINED,bbdc1d85924d2af7392387afeb068722b1c22bf92807f4deac634f17cc6b41fc,False,False,False
12,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v0,v5_pair_006,positive,EXECUTED_AND_RETAINED,c13a110005be3463bc71a95b1ab732baa594e54ec06498ae5f9505d81b9db74d,False,False,False
13,control_0p10_left_mid_loading_early_stance_native_strong_ice_v0,v5_pair_006,control,EXECUTED_AND_RETAINED,ccc04d5d2e3e6c98dad56e7d5a93692423edd7c2f4df8711bbbc6abe08d699c3,False,False,False
14,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v1,v5_pair_007,positive,EXECUTED_AND_RETAINED,c5411df7ed3f34371a38db5b9644a4200d489ea44b0bfa979189b372cd53babc,False,False,False
15,control_0p10_left_mid_loading_early_stance_native_strong_ice_v1,v5_pair_007,control,EXECUTED_AND_RETAINED,2e2787a2b81f18e641229aed3130fdc7fdfa21be3fb466aa73ee8ce31b93f58e,False,False,False
16,positive_0p10_left_mid_loading_early_stance_native_strong_ice_v2,v5_pair_008,positive,EXECUTED_AND_RETAINED,587d4c68f632be8be2be299bb48c55d73b5382a2986951d69cd7acc5256b400e,False,False,False
17,control_0p10_left_mid_loading_early_stance_native_strong_ice_v2,v5_pair_008,control,EXECUTED_AND_RETAINED,ad8085906cab6bb1955f7336ddc917afb052c6ecf6d918ea288704d25dcca5e7,False,False,False
18,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_009,positive,EXECUTED_AND_RETAINED,459fa28916ecfe40ace560c972bc21736780f8560b6360d594f6426493dfc3f0,False,False,False
19,control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_009,control,EXECUTED_AND_RETAINED,60426160103af49c8e9850490e54156b47408e8700d56b6c3d165545db012be1,False,False,False
20,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_010,positive,EXECUTED_AND_RETAINED,50728ce9e4c018a49c00a6360c3ba3964887e4cc06c3ab300047450a9433955b,False,False,False
21,control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_010,control,EXECUTED_AND_RETAINED,713ec270c1bde0641af703d1385f588d072d7e0e4ba3417f5ecfd482aba66bcb,False,False,False
22,positive_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,v5_pair_011,positive,EXECUTED_AND_RETAINED,ad71caaa7b90c1312c24da46629b5b42543f8b7acdcf8600c3db711b2ba2fe07,False,False,False
23,control_0p10_left_mid_loading_early_stance_moderate_ice_preregistered_v2,v5_pair_011,control,EXECUTED_AND_RETAINED,288ea78cb17cad47123e848de8f618401d4aee54a670b2a7d32d7ef92a7cbf8c,False,False,False
24,positive_0p10_left_mid_late_stance_native_strong_ice_v0,v5_pair_012,positive,EXECUTED_AND_RETAINED,4f3cb86bb4b740c5e04bdfb4aa78ffd82fc8619655e08f9bfc4e3dec86520d71,False,False,False
25,control_0p10_left_mid_late_stance_native_strong_ice_v0,v5_pair_012,control,EXECUTED_AND_RETAINED,9d0234a639d851a44eae4dbd5d19bf0d2dcf14e3ce522e7c96d6421e27abfad8,False,False,False
