pipeline,actual,predicted,count
A,concrete,concrete,1608
A,concrete,marble,170
A,concrete,ice,0
A,concrete,sand,66
A,marble,concrete,311
A,marble,marble,1444
A,marble,ice,0
A,marble,sand,49
A,ice,concrete,0
A,ice,marble,13
A,ice,ice,1679
A,ice,sand,9
A,sand,concrete,88
A,sand,marble,32
A,sand,ice,96
A,sand,sand,9780
B,concrete,concrete,1031
B,concrete,marble,549
B,concrete,ice,19
B,concrete,sand,245
B,marble,concrete,785
B,marble,marble,642
B,marble,ice,36
B,marble,sand,341
B,ice,concrete,21
B,ice,marble,20
B,ice,ice,1464
B,ice,sand,196
B,sand,concrete,1471
B,sand,marble,1494
B,sand,ice,134
B,sand,sand,6897
C,concrete,concrete,619
C,concrete,marble,242
C,concrete,ice,35
C,concrete,sand,1139
C,marble,concrete,425
C,marble,marble,394
C,marble,ice,47
C,marble,sand,1147
C,ice,concrete,48
C,ice,marble,30
C,ice,ice,2252
C,ice,sand,140
C,sand,concrete,376
C,sand,marble,525
C,sand,ice,284
C,sand,sand,9496
D,concrete,concrete,1093
D,concrete,marble,594
D,concrete,ice,54
D,concrete,sand,294
D,marble,concrete,832
D,marble,marble,727
D,marble,ice,71
D,marble,sand,383
D,ice,concrete,62
D,ice,marble,59
D,ice,ice,2100
D,ice,sand,249
D,sand,concrete,1497
D,sand,marble,1561
D,sand,ice,279
D,sand,sand,7344
