pipeline,stage,shape,dtype,minimum,maximum,mean,std,finite_count,element_count,sha256,note
source,raw_bilateral_fusion20,"[48, 3000, 20]",float32,-354.2134704589844,2244.3251953125,19.00912759518351,45.88502074993254,2880000,2880000,79f7cb8cdc8869e3e97d5891fe2b3be0952f9cd5ca77a8e30c06b2b49ea80089,stored pre-canonicalization virtual sensor tensor
source,frame_canonical_bilateral_fusion20,"[48, 3000, 20]",float32,-563.0613403320312,2244.3251953125,19.057672562224106,45.86487956664399,2880000,2880000,55ff5634b98558927cf5366138313659393a5fbe6c12728b450e1bd672d3f332,same immutable canonical array feeds both pipelines
diagnostic,per_foot_shared_feature,"[15345, 160]",float32,-2055.666259765625,2244.3251953125,16.37785259828182,48.66393210022959,2455200,2455200,05ad0d9f3b72efec87e7751c905d385280c9836b261674315516d4b46f981416,200 ms mean/std/min/max/last/delta/MAD/RMS
diagnostic,bilateral_fusion_feature,"[15345, 164]",float32,-2055.666259765625,2244.3251953125,15.992808771944363,48.12850897200078,2516580,2516580,00ff12dc94e9faca56f3c156136ba5f67bd986d6060f3ca92e5d28c9e5d1fa90,164 features
diagnostic,train_normalization_mean,[164],float64,-36.21128430035058,31731.285347890516,1389.401713705964,5207.70245361103,164,164,ef873220d1667dc3d3490374fccf0d6c7bc34fb5ce4feefef4be790d3dcb467e,"fit on 22,299 diagnostic train rows only"
diagnostic,train_normalization_scale,[164],float64,0.029500573239215122,457587.7809926783,26564.73698671717,90778.04151273369,164,164,43f4c01e3005f05d9a3ceb8af5dbc69fb9437c972450fcc8fa15a821eaad5cc6,validation excluded
T2,per_foot_shared_feature,"[17199, 80]",float32,-702.1763305664062,970.8114013671875,14.812642026426412,37.78633752651096,1375920,1375920,14b2f38ba79f0e099f499fbe5c69142bba06fe987d7e71c49679defdce62e1e5,50 ms fixed depthwise summaries
T2,bilateral_fusion_feature,"[17199, 97]",float32,-702.1763305664062,970.8114013671875,12.260231459155863,34.76004288461302,1668303,1668303,0e0983867f4226efd5d8cf46a3131c71c12b968559be391cf819a7682aff7eab,97 features
T2,train_normalization_mean,[97],float64,-6.701241002224267,37181.72136593476,1605.891149374139,6798.590106491598,97,97,7e2e194e4f99bce6f72b771af125bc169789b2ef14f74868001d07aea21399c8,"fit on 1,440 balanced train rows only"
T2,train_normalization_scale,[97],float64,0.030524832260043315,496577.75524247886,24807.646074981534,99226.84987872896,97,97,ce17f0c63a23912695bd5302085de1693b287da3e116a9fa693b508f8465d997,validation excluded
diagnostic,class_label_encoding,[15345],int64,0.0,3.0,2.2935158031932223,1.0786595117499058,15345,15345,b351d316bca0479b83bd7121251df7571fb827167095273db75cf51a5c8eb391,"concrete,marble,ice,sand => 0,1,2,3"
T2,class_label_encoding,[17199],int64,0.0,3.0,2.267341124483982,1.0676507950745988,17199,17199,8805ba137985a7432adbc4dfea2c121e2075afc21652008a33dca3b597633c7f,same encoding
diagnostic,contact_phase,[15345],int64,2.0,4.0,2.956272401433692,0.3415086210398064,15345,15345,0c244739922016752c4a0a6d3f2f33ac239d9dc723e22bc8a7c89290da58ca75,stored phase at endpoint
T2,contact_phase,[17199],int64,1.0,4.0,2.818245246816675,0.5933834178237755,17199,17199,61315c2732a2453717a5fc4e9e1e388734db605b6946c7bf38c8662c4ecf8ca8,stored phase at endpoint
