run_id,fold,speed_mps,foot,physical_episode_id,onset_sample,detected,first_output_sample,latency_ms,detected_by_onset,detected_within_20ms,detected_within_50ms
ice_native_0p10_v00,0,0.1,left,0,134,False,,,False,False,False
ice_native_0p10_v00,0,0.1,left,7,505,False,,,False,False,False
ice_native_0p10_v00,0,0.1,left,20,1090,False,,,False,False,False
ice_native_0p10_v00,0,0.1,left,33,1638,False,,,False,False,False
ice_native_0p10_v00,0,0.1,left,63,2308,False,,,False,False,False
ice_native_0p10_v00,0,0.1,left,71,2670,False,,,False,False,False
ice_native_0p10_v00,0,0.1,right,1,223,False,,,False,False,False
ice_native_0p10_v00,0,0.1,right,2,367,False,,,False,False,False
ice_native_0p10_v00,0,0.1,right,9,631,False,,,False,False,False
ice_native_0p10_v00,0,0.1,right,10,932,False,,,False,False,False
ice_native_0p10_v00,0,0.1,right,20,1255,False,,,False,False,False
ice_native_0p10_v00,0,0.1,right,21,1504,False,,,False,False,False
ice_native_0p10_v00,0,0.1,right,39,1835,False,,,False,False,False
ice_native_0p10_v00,0,0.1,right,55,2599,False,,,False,False,False
ice_native_0p15_v00,0,0.15,left,7,472,False,,,False,False,False
ice_native_0p15_v00,0,0.15,left,8,504,False,,,False,False,False
ice_native_0p15_v00,0,0.15,left,22,914,False,,,False,False,False
ice_native_0p15_v00,0,0.15,left,37,1629,False,,,False,False,False
ice_native_0p15_v00,0,0.15,left,40,2282,False,,,False,False,False
ice_native_0p15_v00,0,0.15,right,1,224,False,,,False,False,False
ice_native_0p15_v00,0,0.15,right,8,603,False,,,False,False,False
ice_native_0p15_v00,0,0.15,right,21,1288,False,,,False,False,False
ice_native_0p15_v00,0,0.15,right,23,1505,False,,,False,False,False
ice_native_0p15_v00,0,0.15,right,35,1850,False,,,False,False,False
ice_native_0p15_v00,0,0.15,right,42,2472,False,,,False,False,False
ice_native_0p15_v00,0,0.15,right,54,2962,False,,,False,False,False
ice_native_0p20_v00,0,0.2,left,0,127,False,,,False,False,False
ice_native_0p20_v00,0,0.2,left,6,478,False,,,False,False,False
ice_native_0p20_v00,0,0.2,left,7,515,False,,,False,False,False
ice_native_0p20_v00,0,0.2,left,17,936,False,,,False,False,False
ice_native_0p20_v00,0,0.2,left,25,1641,False,,,False,False,False
ice_native_0p20_v00,0,0.2,right,1,235,False,,,False,False,False
ice_native_0p20_v00,0,0.2,right,2,357,False,,,False,False,False
ice_native_0p20_v00,0,0.2,right,10,594,False,,,False,False,False
ice_native_0p20_v00,0,0.2,right,12,894,False,,,False,False,False
ice_native_0p20_v00,0,0.2,right,31,1337,False,,,False,False,False
ice_native_0p20_v00,0,0.2,right,41,1902,False,,,False,False,False
ice_native_0p20_v00,0,0.2,right,56,2555,False,,,False,False,False
ice_native_0p20_v00,0,0.2,right,68,2847,False,,,False,False,False
ice_native_0p10_v01,1,0.1,left,2,360,False,,,False,False,False
ice_native_0p10_v01,1,0.1,left,19,961,False,,,False,False,False
ice_native_0p10_v01,1,0.1,left,27,1613,False,,,False,False,False
