endpoint_row,sample,foot,runtime_episode_id,physical_episode_id,normal_score,early_score,actionable_score,active_score,foot_score,proposal_score,persistence_count,valid_mask,prefall_mask,loaded_mask,touchdown_mask,transition_case,unique_g0_owner,data_quality_valid,run_id,fold,speed_mps,post_fall,invalid,wrong_case,owner_mismatch,latency_ms,attribution
6,259,1,2,1,2.4815588682364088e-14,6.709193649997455e-11,0.8059978303769669,0.19400216955591643,0.8949688435107706,0.9917017699649499,2,True,True,True,False,,True,True,ice_native_0p10_v00,0,0.1,False,False,False,False,36,VALID_EVENT_OUTPUT
26,459,0,6,6,1.5988859141334953e-39,1.45565969595245e-08,0.9999464836066695,5.350183673373205e-05,0.9943728356367741,0.999388565299527,2,True,True,True,False,,False,True,ice_native_0p10_v00,0,0.1,False,False,False,True,,NORMAL_CONTACT_FP
30,499,0,7,7,2.682017048255005e-35,7.151430197156015e-17,0.9999565886785526,4.34113214473827e-05,0.9996451680588907,0.9984667709681653,2,True,True,True,False,,False,True,ice_native_0p10_v00,0,0.1,False,False,False,True,-6,VALID_EVENT_OUTPUT
48,679,1,11,9,3.8256570442252617e-28,0.00409115781067428,0.9955878678774595,0.000320974311866436,0.9959969446699785,0.995830371590657,2,True,True,True,False,,False,True,ice_native_0p10_v00,0,0.1,False,False,False,True,48,VALID_EVENT_OUTPUT
88,1079,0,20,20,1.0989278543948434e-27,5.208949594859515e-07,0.9010609835722767,0.09893849553276368,0.9667169435175783,0.8716225013407907,2,True,True,True,False,,True,True,ice_native_0p10_v00,0,0.1,False,False,False,False,-11,VALID_EVENT_OUTPUT
103,1229,1,23,20,4.852976808071799e-15,0.017183016302529167,0.8267646594241962,0.15605232427326973,0.9237892969163928,0.776095442596581,2,True,True,True,False,,False,True,ice_native_0p10_v00,0,0.1,False,False,False,True,-26,VALID_EVENT_OUTPUT
140,1599,0,33,33,1.173195052135016e-10,1.1925074261567146e-05,0.9999879671299647,1.0767845431187879e-07,0.964432956908165,0.974610537960463,2,True,True,True,False,,True,True,ice_native_0p10_v00,0,0.1,False,False,False,False,-39,VALID_EVENT_OUTPUT
184,2039,0,63,62,0.0,0.0,1.0,0.0,1.0,1.0,2,True,True,True,False,,True,True,ice_native_0p10_v00,0,0.1,False,False,False,False,,NORMAL_CONTACT_FP
26,459,0,7,7,1.582214010001262e-37,2.3215398452286489e-07,0.9999938737065535,5.894139462075656e-06,0.9964787369993441,0.9963244723432989,2,True,True,True,False,,True,True,ice_native_0p15_v00,0,0.15,False,False,False,False,-13,VALID_EVENT_OUTPUT
49,689,1,11,8,1.0922245388425498e-27,0.10140400660448287,0.877299647327749,0.021296346067768042,0.993528983318668,0.8182709035202005,2,True,True,True,False,,False,True,ice_native_0p15_v00,0,0.15,False,False,False,True,86,VALID_EVENT_OUTPUT
