run_id,fold,speed_mps,foot,physical_episode_id,onset_sample,detected,first_output_sample,latency_ms,detected_by_onset,detected_within_20ms,detected_within_50ms
ice_native_0p10_v00,0,0.1,left,0,134,False,,,False,False,False
ice_native_0p10_v00,0,0.1,left,7,505,True,499,-6,True,True,True
ice_native_0p10_v00,0,0.1,left,20,1090,True,1079,-11,True,True,True
ice_native_0p10_v00,0,0.1,left,33,1638,True,1599,-39,True,True,True
ice_native_0p10_v00,0,0.1,left,63,2308,False,,,False,False,False
ice_native_0p10_v00,0,0.1,left,71,2670,False,,,False,False,False
ice_native_0p10_v00,0,0.1,right,1,223,True,259,36,False,False,True
ice_native_0p10_v00,0,0.1,right,2,367,False,,,False,False,False
ice_native_0p10_v00,0,0.1,right,9,631,True,679,48,False,False,True
ice_native_0p10_v00,0,0.1,right,10,932,False,,,False,False,False
ice_native_0p10_v00,0,0.1,right,20,1255,True,1229,-26,True,True,True
ice_native_0p10_v00,0,0.1,right,21,1504,False,,,False,False,False
ice_native_0p10_v00,0,0.1,right,39,1835,False,,,False,False,False
ice_native_0p10_v00,0,0.1,right,55,2599,False,,,False,False,False
ice_native_0p15_v00,0,0.15,left,7,472,True,459,-13,True,True,True
ice_native_0p15_v00,0,0.15,left,8,504,False,,,False,False,False
ice_native_0p15_v00,0,0.15,left,22,914,True,1039,125,False,False,False
ice_native_0p15_v00,0,0.15,left,37,1629,True,1579,-50,True,True,True
ice_native_0p15_v00,0,0.15,left,40,2282,True,2229,-53,True,True,True
ice_native_0p15_v00,0,0.15,right,1,224,False,,,False,False,False
ice_native_0p15_v00,0,0.15,right,8,603,True,689,86,False,False,False
ice_native_0p15_v00,0,0.15,right,21,1288,True,1249,-39,True,True,True
ice_native_0p15_v00,0,0.15,right,23,1505,False,,,False,False,False
ice_native_0p15_v00,0,0.15,right,35,1850,True,1819,-31,True,True,True
ice_native_0p15_v00,0,0.15,right,42,2472,False,,,False,False,False
ice_native_0p15_v00,0,0.15,right,54,2962,False,,,False,False,False
ice_native_0p20_v00,0,0.2,left,0,127,False,,,False,False,False
ice_native_0p20_v00,0,0.2,left,6,478,True,469,-9,True,True,True
ice_native_0p20_v00,0,0.2,left,7,515,True,519,4,False,True,True
ice_native_0p20_v00,0,0.2,left,17,936,False,,,False,False,False
ice_native_0p20_v00,0,0.2,left,25,1641,True,1569,-72,True,True,True
ice_native_0p20_v00,0,0.2,right,1,235,False,,,False,False,False
ice_native_0p20_v00,0,0.2,right,2,357,False,,,False,False,False
ice_native_0p20_v00,0,0.2,right,10,594,True,549,-45,True,True,True
ice_native_0p20_v00,0,0.2,right,12,894,False,,,False,False,False
ice_native_0p20_v00,0,0.2,right,31,1337,True,1259,-78,True,True,True
ice_native_0p20_v00,0,0.2,right,41,1902,True,1819,-83,True,True,True
ice_native_0p20_v00,0,0.2,right,56,2555,False,,,False,False,False
ice_native_0p20_v00,0,0.2,right,68,2847,False,,,False,False,False
ice_native_0p10_v01,1,0.1,left,2,360,True,339,-21,True,True,True
ice_native_0p10_v01,1,0.1,left,19,961,True,889,-72,True,True,True
ice_native_0p10_v01,1,0.1,left,27,1613,True,1589,-24,True,True,True
ice_native_0p10_v01,1,0.1,left,50,2084,True,2029,-55,True,True,True
ice_native_0p10_v01,1,0.1,left,58,2769,True,2769,0,True,True,True
ice_native_0p10_v01,1,0.1,right,0,230,True,209,-21,True,True,True
ice_native_0p10_v01,1,0.1,right,10,810,False,,,False,False,False
ice_native_0p10_v01,1,0.1,right,16,1180,False,,,False,False,False
ice_native_0p10_v01,1,0.1,right,18,1489,True,1439,-50,True,True,True
ice_native_0p10_v01,1,0.1,right,21,1758,True,1899,141,False,False,False
ice_native_0p10_v01,1,0.1,right,33,2088,True,2009,-79,True,True,True
ice_native_0p10_v01,1,0.1,right,72,2912,False,,,False,False,False
sand_solref_interpolation_3of4_stronger_v2_0p10_v01,1,0.1,left,1,1342,True,1339,-3,True,True,True
sand_solref_interpolation_5of6_stronger_v2_0p10_v01,1,0.1,left,1,1226,False,,,False,False,False
ice_native_0p15_v01,1,0.15,left,3,359,True,339,-20,True,True,True
ice_native_0p15_v01,1,0.15,left,18,968,True,879,-89,True,True,True
ice_native_0p15_v01,1,0.15,left,20,1107,False,,,False,False,False
ice_native_0p15_v01,1,0.15,left,23,1599,False,,,False,False,False
ice_native_0p15_v01,1,0.15,left,65,2417,False,,,False,False,False
ice_native_0p15_v01,1,0.15,left,71,2776,False,,,False,False,False
ice_native_0p15_v01,1,0.15,right,0,226,False,,,False,False,False
ice_native_0p15_v01,1,0.15,right,7,517,True,639,122,False,False,False
ice_native_0p15_v01,1,0.15,right,13,1195,True,1179,-16,True,True,True
ice_native_0p15_v01,1,0.15,right,18,1755,False,,,False,False,False
ice_native_0p15_v01,1,0.15,right,52,2577,False,,,False,False,False
