hard_dwell_endpoints,ice_dwell_endpoints,confidence_threshold,pending_until_unique_owner,config_id,run_count,event_count,output_count,event_detected,event_recall,predictive_detected_by_onset,predictive_recall_by_onset,detected_within_20ms,recall_within_20ms,detected_within_50ms,recall_within_50ms,detected_runs,actionable_runs,run_recall,normal_run_fp,eventless_run_count,normal_run_fp_rate,normal_contact_fp,normal_contact_count,normal_contact_fp_rate,too_early,post_fall_output,invalid_output,wrong_case_output,duplicate_output,latch_carryover,contact_owner_mismatch,after_contact_output,precision,alert_f1,speed_recall,speed_recall_within_20ms,foot_recall,median_warning_margin_ms,p95_warning_margin_ms,median_late_latency_ms,p95_late_latency_ms,direct_gate_pass
2,3,0.7,True,contact_h2_i3_p0.70_pending1,333,471,162,41,0.0870488322717622,38,0.08067940552016985,38,0.08067940552016985,38,0.08067940552016985,32,125,0.256,0,208,0.0,110,8914,0.012340139107022662,3,8,0,0,0,0,0,0,0.25308641975308643,0.12954186413902055,"{'0.10': 0.07272727272727272, '0.15': 0.09615384615384616, '0.20': 0.09333333333333334}","{'0.10': 0.06060606060606061, '0.15': 0.08974358974358974, '0.20': 0.09333333333333334}","{'left': 0.10043668122270742, 'right': 0.0743801652892562}",38.0,65.0,0.0,81.0,False
2,3,0.8,True,contact_h2_i3_p0.80_pending1,333,471,152,45,0.09554140127388536,44,0.09341825902335456,44,0.09341825902335456,44,0.09341825902335456,35,125,0.28,0,208,0.0,97,8914,0.010881759030738165,2,8,0,0,0,0,0,0,0.29605263157894735,0.14446227929373998,"{'0.10': 0.06666666666666667, '0.15': 0.10897435897435898, '0.20': 0.11333333333333333}","{'0.10': 0.06060606060606061, '0.15': 0.10897435897435898, '0.20': 0.11333333333333333}","{'left': 0.10043668122270742, 'right': 0.09090909090909091}",40.0,58.8,0.0,0.0,False
2,3,0.9,True,contact_h2_i3_p0.90_pending1,333,471,124,41,0.0870488322717622,40,0.08492569002123142,41,0.0870488322717622,41,0.0870488322717622,32,125,0.256,0,208,0.0,74,8914,0.008301548126542517,1,8,0,0,0,0,0,0,0.33064516129032256,0.13781512605042018,"{'0.10': 0.048484848484848485, '0.15': 0.1282051282051282, '0.20': 0.08666666666666667}","{'0.10': 0.048484848484848485, '0.15': 0.1282051282051282, '0.20': 0.08666666666666667}","{'left': 0.09606986899563319, 'right': 0.07851239669421488}",38.0,59.0,0.0,0.0,False
2,5,0.7,True,contact_h2_i5_p0.70_pending1,333,471,116,37,0.07855626326963906,34,0.07218683651804671,37,0.07855626326963906,37,0.07855626326963906,28,125,0.224,0,208,0.0,70,8914,0.007852815795378058,1,8,0,0,0,0,0,0,0.31896551724137934,0.1260647359454855,"{'0.10': 0.06666666666666667, '0.15': 0.08333333333333333, '0.20': 0.08666666666666667}","{'0.10': 0.06666666666666667, '0.15': 0.08333333333333333, '0.20': 0.08666666666666667}","{'left': 0.07860262008733625, 'right': 0.07851239669421488}",21.0,55.599999999999795,0.0,4.599999999999987,False
2,5,0.8,True,contact_h2_i5_p0.80_pending1,333,471,108,43,0.09129511677282377,40,0.08492569002123142,43,0.09129511677282377,43,0.09129511677282377,32,125,0.256,0,208,0.0,57,8914,0.00639443571909356,0,8,0,0,0,0,0,0,0.39814814814814814,0.1485319516407599,"{'0.10': 0.06666666666666667, '0.15': 0.10256410256410256, '0.20': 0.10666666666666667}","{'0.10': 0.06666666666666667, '0.15': 0.10256410256410256, '0.20': 0.10666666666666667}","{'left': 0.08733624454148471, 'right': 0.09504132231404959}",20.0,45.29999999999999,0.0,3.5999999999999943,False
2,5,0.9,True,contact_h2_i5_p0.90_pending1,333,471,85,37,0.07855626326963906,35,0.07430997876857749,37,0.07855626326963906,37,0.07855626326963906,29,125,0.232,0,208,0.0,40,8914,0.004487323311644604,0,8,0,0,0,0,0,0,0.43529411764705883,0.13309352517985612,"{'0.10': 0.048484848484848485, '0.15': 0.10897435897435898, '0.20': 0.08}","{'0.10': 0.048484848484848485, '0.15': 0.10897435897435898, '0.20': 0.08}","{'left': 0.08733624454148471, 'right': 0.07024793388429752}",18.0,40.39999999999997,0.0,1.3999999999999702,False
2,8,0.7,True,contact_h2_i8_p0.70_pending1,333,471,51,25,0.05307855626326964,9,0.01910828025477707,20,0.04246284501061571,25,0.05307855626326964,21,125,0.168,0,208,0.0,20,8914,0.002243661655822302,0,6,0,0,0,0,0,0,0.49019607843137253,0.09578544061302681,"{'0.10': 0.048484848484848485, '0.15': 0.0641025641025641, '0.20': 0.04666666666666667}","{'0.10': 0.04242424242424243, '0.15': 0.05128205128205128, '0.20': 0.03333333333333333}","{'left': 0.056768558951965066, 'right': 0.049586776859504134}",-3.0,58.39999999999985,3.0,21.799999999999997,False
2,8,0.8,True,contact_h2_i8_p0.80_pending1,333,471,48,27,0.05732484076433121,8,0.016985138004246284,22,0.04670912951167728,27,0.05732484076433121,23,125,0.184,0,208,0.0,15,8914,0.0016827462418667265,0,6,0,0,0,0,0,0,0.5625,0.10404624277456648,"{'0.10': 0.048484848484848485, '0.15': 0.07051282051282051, '0.20': 0.05333333333333334}","{'0.10': 0.04242424242424243, '0.15': 0.057692307692307696, '0.20': 0.04}","{'left': 0.0611353711790393, 'right': 0.05371900826446281}",-5.0,13.899999999999995,5.0,21.7,False
2,8,0.9,True,contact_h2_i8_p0.90_pending1,333,471,38,25,0.05307855626326964,7,0.014861995753715499,19,0.040339702760084924,25,0.05307855626326964,20,125,0.16,0,208,0.0,7,8914,0.0007852815795378057,0,6,0,0,0,0,0,0,0.6578947368421053,0.09823182711198428,"{'0.10': 0.030303030303030304, '0.15': 0.07692307692307693, '0.20': 0.05333333333333334}","{'0.10': 0.030303030303030304, '0.15': 0.057692307692307696, '0.20': 0.03333333333333333}","{'left': 0.06550218340611354, 'right': 0.04132231404958678}",-5.0,14.59999999999998,5.0,24.599999999999994,False
3,3,0.7,True,contact_h3_i3_p0.70_pending1,333,471,144,44,0.09341825902335456,43,0.09129511677282377,43,0.09129511677282377,43,0.09129511677282377,34,125,0.272,0,208,0.0,95,8914,0.010657392865155935,2,3,0,0,0,0,0,0,0.3055555555555556,0.14308943089430895,"{'0.10': 0.04242424242424243, '0.15': 0.11538461538461539, '0.20': 0.12666666666666668}","{'0.10': 0.03636363636363636, '0.15': 0.11538461538461539, '0.20': 0.12666666666666668}","{'left': 0.08733624454148471, 'right': 0.09917355371900827}",39.0,64.10000000000001,0.0,0.0,False
3,3,0.8,True,contact_h3_i3_p0.80_pending1,333,471,124,42,0.08917197452229299,41,0.0870488322717622,41,0.0870488322717622,41,0.0870488322717622,32,125,0.256,0,208,0.0,78,8914,0.008750280457706977,1,3,0,0,0,0,0,0,0.3387096774193548,0.1411764705882353,"{'0.10': 0.04242424242424243, '0.15': 0.10897435897435898, '0.20': 0.12}","{'0.10': 0.03636363636363636, '0.15': 0.10897435897435898, '0.20': 0.12}","{'left': 0.07860262008733625, 'right': 0.09917355371900827}",36.0,58.949999999999996,0.0,0.0,False
3,3,0.9,True,contact_h3_i3_p0.90_pending1,333,471,88,33,0.07006369426751592,32,0.06794055201698514,33,0.07006369426751592,33,0.07006369426751592,27,125,0.216,0,208,0.0,52,8914,0.005833520305137985,0,3,0,0,0,0,0,0,0.375,0.11806797853309482,"{'0.10': 0.03636363636363636, '0.15': 0.08974358974358974, '0.20': 0.08666666666666667}","{'0.10': 0.03636363636363636, '0.15': 0.08974358974358974, '0.20': 0.08666666666666667}","{'left': 0.06550218340611354, 'right': 0.0743801652892562}",34.0,61.79999999999999,0.0,0.0,False
3,5,0.7,True,contact_h3_i5_p0.70_pending1,333,471,106,42,0.08917197452229299,41,0.0870488322717622,42,0.08917197452229299,42,0.08917197452229299,34,125,0.272,0,208,0.0,61,8914,0.006843168050258021,0,3,0,0,0,0,0,0,0.39622641509433965,0.14558058925476602,"{'0.10': 0.04242424242424243, '0.15': 0.10897435897435898, '0.20': 0.12}","{'0.10': 0.04242424242424243, '0.15': 0.10897435897435898, '0.20': 0.12}","{'left': 0.07423580786026202, 'right': 0.10330578512396695}",20.5,45.949999999999996,0.0,0.0,False
3,5,0.8,True,contact_h3_i5_p0.80_pending1,333,471,93,39,0.08280254777070063,38,0.08067940552016985,39,0.08280254777070063,39,0.08280254777070063,31,125,0.248,0,208,0.0,51,8914,0.00572133722234687,0,3,0,0,0,0,0,0,0.41935483870967744,0.1382978723404255,"{'0.10': 0.03636363636363636, '0.15': 0.10256410256410256, '0.20': 0.11333333333333333}","{'0.10': 0.03636363636363636, '0.15': 0.10256410256410256, '0.20': 0.11333333333333333}","{'left': 0.06550218340611354, 'right': 0.09917355371900827}",18.0,39.70000000000001,0.0,0.0,False
3,5,0.9,True,contact_h3_i5_p0.90_pending1,333,471,64,28,0.059447983014861996,27,0.05732484076433121,28,0.059447983014861996,28,0.059447983014861996,25,125,0.2,0,208,0.0,33,8914,0.0037020417321067985,0,3,0,0,0,0,0,0,0.4375,0.10467289719626169,"{'0.10': 0.030303030303030304, '0.15': 0.07051282051282051, '0.20': 0.08}","{'0.10': 0.030303030303030304, '0.15': 0.07051282051282051, '0.20': 0.08}","{'left': 0.056768558951965066, 'right': 0.06198347107438017}",16.0,38.65,0.0,0.0,False
3,8,0.7,True,contact_h3_i8_p0.70_pending1,333,471,38,24,0.050955414012738856,7,0.014861995753715499,22,0.04670912951167728,24,0.050955414012738856,21,125,0.168,0,208,0.0,12,8914,0.0013461969934933811,0,2,0,0,0,0,0,0,0.631578947368421,0.09430255402750491,"{'0.10': 0.030303030303030304, '0.15': 0.07051282051282051, '0.20': 0.05333333333333334}","{'0.10': 0.030303030303030304, '0.15': 0.0641025641025641, '0.20': 0.04666666666666667}","{'left': 0.043668122270742356, 'right': 0.05785123966942149}",-4.0,15.849999999999998,4.0,20.24999999999999,False
3,8,0.8,True,contact_h3_i8_p0.80_pending1,333,471,31,20,0.04246284501061571,6,0.012738853503184714,17,0.036093418259023353,20,0.04246284501061571,18,125,0.144,0,208,0.0,9,8914,0.001009647745120036,0,2,0,0,0,0,0,0,0.6451612903225806,0.0796812749003984,"{'0.10': 0.024242424242424242, '0.15': 0.05128205128205128, '0.20': 0.05333333333333334}","{'0.10': 0.024242424242424242, '0.15': 0.038461538461538464, '0.20': 0.04666666666666667}","{'left': 0.034934497816593885, 'right': 0.049586776859504134}",-4.0,9.350000000000005,4.0,21.1,False
3,8,0.9,True,contact_h3_i8_p0.90_pending1,333,471,22,14,0.029723991507430998,5,0.010615711252653927,11,0.02335456475583864,14,0.029723991507430998,13,125,0.104,0,208,0.0,6,8914,0.0006730984967466906,0,2,0,0,0,0,0,0,0.6363636363636364,0.056795131845841784,"{'0.10': 0.01818181818181818, '0.15': 0.02564102564102564, '0.20': 0.04666666666666667}","{'0.10': 0.01818181818181818, '0.15': 0.01282051282051282, '0.20': 0.04}","{'left': 0.03056768558951965, 'right': 0.028925619834710745}",-5.0,11.449999999999998,5.0,21.7,False
5,3,0.7,True,contact_h5_i3_p0.70_pending1,333,471,78,19,0.040339702760084924,19,0.040339702760084924,19,0.040339702760084924,19,0.040339702760084924,14,125,0.112,0,208,0.0,56,8914,0.006282252636302446,0,3,0,0,0,0,0,0,0.24358974358974358,0.0692167577413479,"{'0.10': 0.03636363636363636, '0.15': 0.0641025641025641, '0.20': 0.02}","{'0.10': 0.03636363636363636, '0.15': 0.0641025641025641, '0.20': 0.02}","{'left': 0.017467248908296942, 'right': 0.06198347107438017}",32.0,59.69999999999996,0.0,0.0,False
