candidate_id,config_id,confidence_threshold,dwell_endpoints,minimum_contact_age_ms,terrain_accuracy,terrain_macro_f1,event_count,event_detected,event_recall,run_count,run_detected,run_recall,output_count,precision,f1,detected_within_20ms,recall_within_20ms,median_latency_ms,p95_latency_ms,normal_run_fp,normal_run_count,normal_run_fp_rate,normal_contact_fp,normal_contact_count,normal_contact_fp_rate,too_early,wrong_case_output,post_fall_output,invalid_output,duplicate_output,latch_carryover,cross_foot_output,per_speed_recall_within_20ms,per_hard_source_recall_within_20ms,grouped_variation_fold_count,independent_source_family_count,direct_gate_pass
LOCKED_T2_BASELINE,p0.50_d1_a5,0.5,1,5,0.5008432063187106,0.472446559139334,67,22,0.3283582089552239,59,22,0.3728813559322034,315,0.06984126984126984,0.11518324607329843,1,0.014925373134328358,179.0,458.5,177,360,0.49166666666666664,293,8243,0.03554531117311659,4,261,46,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.041666666666666664}","{""concrete"": 0.0, ""marble"": 0.029411764705882353}",5,1,False
LOCKED_T2_BASELINE,p0.50_d1_a10,0.5,1,10,0.5008432063187106,0.472446559139334,67,25,0.373134328358209,59,24,0.4067796610169492,321,0.0778816199376947,0.12886597938144329,1,0.014925373134328358,219.0,710.5999999999999,182,360,0.5055555555555555,296,8243,0.035909256338711636,4,261,53,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.041666666666666664}","{""concrete"": 0.0, ""marble"": 0.029411764705882353}",5,1,False
LOCKED_T2_BASELINE,p0.50_d2_a5,0.5,2,5,0.5008432063187106,0.472446559139334,67,20,0.29850746268656714,59,19,0.3220338983050847,235,0.0851063829787234,0.1324503311258278,0,0.0,224.0,679.1,159,360,0.44166666666666665,215,8243,0.026082736867645274,3,194,46,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
LOCKED_T2_BASELINE,p0.50_d2_a10,0.5,2,10,0.5008432063187106,0.472446559139334,67,20,0.29850746268656714,59,20,0.3389830508474576,233,0.08583690987124463,0.13333333333333333,0,0.0,229.0,450.90000000000015,153,360,0.425,213,8243,0.025840106757248574,3,192,43,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
LOCKED_T2_BASELINE,p0.50_d3_a5,0.5,3,5,0.5008432063187106,0.472446559139334,67,15,0.22388059701492538,59,15,0.2542372881355932,195,0.07692307692307693,0.11450381679389313,0,0.0,246.0,746.5999999999998,138,360,0.38333333333333336,180,8243,0.02183670993570302,1,163,42,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
LOCKED_T2_BASELINE,p0.50_d3_a10,0.5,3,10,0.5008432063187106,0.472446559139334,67,16,0.23880597014925373,59,15,0.2542372881355932,206,0.07766990291262135,0.1172161172161172,0,0.0,259.0,889.5,137,360,0.38055555555555554,190,8243,0.02304986048768652,1,170,42,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
LOCKED_T2_BASELINE,p0.65_d1_a5,0.65,1,5,0.5008432063187106,0.472446559139334,67,20,0.29850746268656714,59,20,0.3389830508474576,298,0.06711409395973154,0.10958904109589039,0,0.0,209.0,488.90000000000015,171,360,0.475,278,8243,0.033725585345141335,3,247,48,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
LOCKED_T2_BASELINE,p0.65_d1_a10,0.65,1,10,0.5008432063187106,0.472446559139334,67,23,0.34328358208955223,59,22,0.3728813559322034,308,0.07467532467532467,0.12266666666666667,0,0.0,219.0,714.8,175,360,0.4861111111111111,285,8243,0.03457479073152978,3,250,53,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
LOCKED_T2_BASELINE,p0.65_d2_a5,0.65,2,5,0.5008432063187106,0.472446559139334,67,18,0.26865671641791045,59,17,0.288135593220339,219,0.0821917808219178,0.12587412587412586,0,0.0,224.0,683.3,151,360,0.41944444444444445,201,8243,0.024384326094868375,1,183,45,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
LOCKED_T2_BASELINE,p0.65_d2_a10,0.65,2,10,0.5008432063187106,0.472446559139334,67,18,0.26865671641791045,59,18,0.3050847457627119,216,0.08333333333333333,0.127208480565371,0,0.0,229.0,474.69999999999965,147,360,0.4083333333333333,198,8243,0.024020380929273322,1,180,43,0,0,0,0,"{""0.10"": 0.0, ""0.15"": 0.0, ""0.20"": 0.0}","{""concrete"": 0.0, ""marble"": 0.0}",5,1,False
