run_id,pair_id,source_id,scenario_id,case_id,terrain_before,terrain_after,speed_mps,variation_index,phase_fraction,command_delay_s,lateral_offset_m,friction_scale_before,friction_scale_after,solref_scale_before,solref_scale_after,boundary_x_m,replicate_index,seed,duration_s,condition_sha256,development_only,permanently_excluded_from_future_blind,sample_rate_hz,physics_timestep_s,sample_count,sample_spacing_max_error_s,fusion20_shape,fusion20_finite,transition_sample_left,transition_sample_right,transition_time_left_s,transition_time_right_s,physical_slip_onset_left,physical_slip_onset_right,first_fall_sample_evaluation_only,first_fall_time_s_evaluation_only,fall_reason_evaluation_only,hard_terrain_type,surface_variation,initial_qpos_sha256,initial_qvel_sha256,upstream_controller_revision,upstream_policy_sha256,full_trace_sha256
hostv2_A_marble_ice_0p10_v0_r0,hostv2_pair_000,hostv2_source_000,A_marble_ice,A,marble,ice,0.1,0,0.07,0.0,-0.006,1.0,1.0,1.0,1.0,0.075,0,2026082100,1.2,402cc2c3bf898e8bb7362c33a88d76f8697581cd176aba0d7c8a8158c14117e0,True,True,1000,0.0005,1200,1.1015494072452725e-16,"[1200, 20]",True,36,484,0.037000000000000026,0.4850000000000004,,,,,,marble,"{""after_friction_scale"": 1.0, ""after_solref_scale"": 1.0, ""before_friction_scale"": 1.0, ""before_solref_scale"": 1.0}",16efd7be259bc0a164d0ff0cc650858ab4acbb86323e30209033f460a5a4d7e3,5aaae4f997b9abbc4d53838f12300b38bd27cd5fab2573f5bbc4cf7b5734b37b,1425b15f73bd4095f0df53709d7c389c3eb9e790,2a66ca6336eadb3c0b34b557763f3e06d01ff8fcf6260dd4cedbd69d6093fc28,d5662bccebad4cab3ef19a3e29852868bcfea198c6b8297575aa0474d9488220
hostv2_A_marble_ice_0p10_v0_r1,hostv2_pair_001,hostv2_source_001,A_marble_ice,A,marble,ice,0.1,0,0.07,0.0,-0.006,1.0,1.0,1.0,1.0,0.075,1,2026082101,1.2,0da415ebabd48536070bae997919f1647d41a101bdbf6fb0f5fb43515b7d678a,True,True,1000,0.0005,1200,1.1015494072452725e-16,"[1200, 20]",True,36,484,0.037000000000000026,0.4850000000000004,,,,,,marble,"{""after_friction_scale"": 1.0, ""after_solref_scale"": 1.0, ""before_friction_scale"": 1.0, ""before_solref_scale"": 1.0}",b05ea763811239e4d7b7103f53dca70069654280ddddabbb539901539b38a1ba,389e566f63594b72a694952fecc436b3bd0c60ef8920ef061ac5c90121b4233a,1425b15f73bd4095f0df53709d7c389c3eb9e790,2a66ca6336eadb3c0b34b557763f3e06d01ff8fcf6260dd4cedbd69d6093fc28,4aed1c49f95855af34fac387eebffe26fe56156fc866811761a10c54bb289904
hostv2_A_marble_ice_0p15_v0_r0,hostv2_pair_002,hostv2_source_002,A_marble_ice,A,marble,ice,0.15,0,0.07,0.0,-0.006,1.0,1.0,1.0,1.0,0.075,0,2026082102,1.2,53b716af15f8ee64f43478321ef20510f0f13e474f3c665cd7f687ff78bb2c17,True,True,1000,0.0005,1200,1.1015494072452725e-16,"[1200, 20]",True,216,400,0.21700000000000016,0.4010000000000003,748,,,,,marble,"{""after_friction_scale"": 1.0, ""after_solref_scale"": 1.0, ""before_friction_scale"": 1.0, ""before_solref_scale"": 1.0}",405a7af375be0575cef5332f19679a55d1fa71fe150da24ab77ca871b970efb9,572bef1c998403e0d1d058c65770261909fa5d86d00d973f3f6367810163b951,1425b15f73bd4095f0df53709d7c389c3eb9e790,2a66ca6336eadb3c0b34b557763f3e06d01ff8fcf6260dd4cedbd69d6093fc28,da4358878f3578d4ef40bedbc8d8f7e58e23813542fb4a608575f9d05249ea43
hostv2_A_marble_ice_0p15_v0_r1,hostv2_pair_003,hostv2_source_003,A_marble_ice,A,marble,ice,0.15,0,0.07,0.0,-0.006,1.0,1.0,1.0,1.0,0.075,1,2026082103,1.2,1f74e2da2a70227d5de383f63bdaeba36ed2688cd1d647e906e1239cb76a6e95,True,True,1000,0.0005,1200,1.1015494072452725e-16,"[1200, 20]",True,215,383,0.21600000000000016,0.3840000000000003,754,,,,,marble,"{""after_friction_scale"": 1.0, ""after_solref_scale"": 1.0, ""before_friction_scale"": 1.0, ""before_solref_scale"": 1.0}",f4cad4d43f5f100459fb4cf952c3113be2b346050ca46fe91a9099ebaaf1af87,d676c53da1f6da00a30fea1fb3fdb6d3fa488dffe5c7df10ff4ac834601d0b9b,1425b15f73bd4095f0df53709d7c389c3eb9e790,2a66ca6336eadb3c0b34b557763f3e06d01ff8fcf6260dd4cedbd69d6093fc28,3841abee62b73f705633e93d4f3d84249c0cef10978a8c7853a5bbc329b22840
hostv2_A_marble_ice_0p20_v0_r0,hostv2_pair_004,hostv2_source_004,A_marble_ice,A,marble,ice,0.2,0,0.07,0.0,-0.006,1.0,1.0,1.0,1.0,0.075,0,2026082104,1.2,727a6cb157a6928d6df9fb1dfde6c05499c8b9251f698556a948281db922e515,True,True,1000,0.0005,1200,1.1015494072452725e-16,"[1200, 20]",True,226,380,0.22700000000000017,0.3810000000000003,,,,,,marble,"{""after_friction_scale"": 1.0, ""after_solref_scale"": 1.0, ""before_friction_scale"": 1.0, ""before_solref_scale"": 1.0}",7f8db5964f70ff89d4328c1e6ed6a39eb8dd1d52cfbad57485b4d15fd0433c8f,24d6ba6c28394c2f1cd38266d29062727c4a6fd576ad66cc1b46c711b7cbed38,1425b15f73bd4095f0df53709d7c389c3eb9e790,2a66ca6336eadb3c0b34b557763f3e06d01ff8fcf6260dd4cedbd69d6093fc28,7602f989a9b2af0c69b26588f0a39185610f1c4f9f5665277d4089423ce1b09b
hostv2_A_marble_ice_0p20_v0_r1,hostv2_pair_005,hostv2_source_005,A_marble_ice,A,marble,ice,0.2,0,0.07,0.0,-0.006,1.0,1.0,1.0,1.0,0.075,1,2026082105,1.2,96117551136ca988468d1e6545a2322342262fff0f37c028be12edb473e360cc,True,True,1000,0.0005,1200,1.1015494072452725e-16,"[1200, 20]",True,227,380,0.22800000000000017,0.3810000000000003,,,,,,marble,"{""after_friction_scale"": 1.0, ""after_solref_scale"": 1.0, ""before_friction_scale"": 1.0, ""before_solref_scale"": 1.0}",8a91352977273bda281015df7271dd586e755295663d6d8acde13f4cfce86fb6,1694fc575b9094676435e328f0491561b2ab3f34b082152c45273868b0b2397c,1425b15f73bd4095f0df53709d7c389c3eb9e790,2a66ca6336eadb3c0b34b557763f3e06d01ff8fcf6260dd4cedbd69d6093fc28,cf37e72c2dc3154f133b67cfd9d8b522119d4abe424e0d578898d0142af64ca7
hostv2_A_concrete_ice_0p10_v0_r0,hostv2_pair_006,hostv2_source_006,A_concrete_ice,A,concrete,ice,0.1,0,0.07,0.0,-0.006,1.0,1.0,1.0,1.0,0.075,0,2026082106,1.2,91ad41646aad996ca24e5d427d87ac0b4640699b25cfa4cc3338fadf31d311bc,True,True,1000,0.0005,1200,1.1015494072452725e-16,"[1200, 20]",True,36,485,0.037000000000000026,0.4860000000000004,,,,,,concrete,"{""after_friction_scale"": 1.0, ""after_solref_scale"": 1.0, ""before_friction_scale"": 1.0, ""before_solref_scale"": 1.0}",cf4fadef639896f78ce8a315a68c16fa0924af3c5dcd6c7f6e7a640fe197384e,a2a0337360ebfd8c94272f460053580140d35b16d0e0902746c7824a5a5d1709,1425b15f73bd4095f0df53709d7c389c3eb9e790,2a66ca6336eadb3c0b34b557763f3e06d01ff8fcf6260dd4cedbd69d6093fc28,6495503a71e16e979eeac8ce4b0f218405d34f0ca166aa1832015219de53b750
hostv2_A_concrete_ice_0p10_v0_r1,hostv2_pair_007,hostv2_source_007,A_concrete_ice,A,concrete,ice,0.1,0,0.07,0.0,-0.006,1.0,1.0,1.0,1.0,0.075,1,2026082107,1.2,636d7117b8cc1a6c819cefb84a2e069b2913a46db94f660f388a5c08fccb30a3,True,True,1000,0.0005,1200,1.1015494072452725e-16,"[1200, 20]",True,36,487,0.037000000000000026,0.4880000000000004,,,,,,concrete,"{""after_friction_scale"": 1.0, ""after_solref_scale"": 1.0, ""before_friction_scale"": 1.0, ""before_solref_scale"": 1.0}",77a533884fc1c13872028f3a837b83c70fd9a7590d1323e8300b6e4c54b3e48d,231d66224c7f8a8d2ab347240d758f6ad541971d0a138abf07a56f761745a40d,1425b15f73bd4095f0df53709d7c389c3eb9e790,2a66ca6336eadb3c0b34b557763f3e06d01ff8fcf6260dd4cedbd69d6093fc28,2656c335716ef6da16c9f2675f77df3312d9645aab4ba2d8a8ae600eadeabd58
hostv2_A_concrete_ice_0p15_v0_r0,hostv2_pair_008,hostv2_source_008,A_concrete_ice,A,concrete,ice,0.15,0,0.07,0.0,-0.006,1.0,1.0,1.0,1.0,0.075,0,2026082108,1.2,8298f447290547f97e4d9b7a347525b1f4eae7adfae9ec782ba4abc39d50c607,True,True,1000,0.0005,1200,1.1015494072452725e-16,"[1200, 20]",True,216,420,0.21700000000000016,0.4210000000000003,770,,,,,concrete,"{""after_friction_scale"": 1.0, ""after_solref_scale"": 1.0, ""before_friction_scale"": 1.0, ""before_solref_scale"": 1.0}",ae296353c8f115444c83bc089de94cf9da56b98ea70f3b69ab0d24170e46de89,73b4ccfc1801a8ca5d587b0034d12bae787473ed5e6b76934061605cea8bfee1,1425b15f73bd4095f0df53709d7c389c3eb9e790,2a66ca6336eadb3c0b34b557763f3e06d01ff8fcf6260dd4cedbd69d6093fc28,88769f6465c79426ee939769cc6189d2cb8b2e51679e50ddf98e8d06c698d821
hostv2_A_concrete_ice_0p15_v0_r1,hostv2_pair_009,hostv2_source_009,A_concrete_ice,A,concrete,ice,0.15,0,0.07,0.0,-0.006,1.0,1.0,1.0,1.0,0.075,1,2026082109,1.2,9abe439f4c24737d01176b2e42f280fc8fff34b89efa177b58bd896955c55a4b,True,True,1000,0.0005,1200,1.1015494072452725e-16,"[1200, 20]",True,215,420,0.21600000000000016,0.4210000000000003,759,,,,,concrete,"{""after_friction_scale"": 1.0, ""after_solref_scale"": 1.0, ""before_friction_scale"": 1.0, ""before_solref_scale"": 1.0}",81edc5c0776fd085978f7bb2da3a41be9f243951583b8918f5b9629d1f79651c,b8455b6fdad47de99775bf641bd720c99913e9c5071501d44967f9e937909a02,1425b15f73bd4095f0df53709d7c389c3eb9e790,2a66ca6336eadb3c0b34b557763f3e06d01ff8fcf6260dd4cedbd69d6093fc28,c0fb1662d8e517d07ac31756ef88d64399bf0f2bd81fc2ea0e5244be122035b3
hostv2_A_concrete_ice_0p20_v0_r0,hostv2_pair_010,hostv2_source_010,A_concrete_ice,A,concrete,ice,0.2,0,0.07,0.0,-0.006,1.0,1.0,1.0,1.0,0.075,0,2026082110,1.2,537b07dcac29f600c258bdbf4fb50060fdb8b978b1c5dbfc6cde50a5162871a6,True,True,1000,0.0005,1200,1.1015494072452725e-16,"[1200, 20]",True,228,400,0.22900000000000018,0.4010000000000003,,,,,,concrete,"{""after_friction_scale"": 1.0, ""after_solref_scale"": 1.0, ""before_friction_scale"": 1.0, ""before_solref_scale"": 1.0}",5b3b03a408692a096abf6c115635562e6d2bca926bbba94e27033bc76d16f4de,61f028825ad2f4935ed58af861c906230b8f2437b5453b8bb959a619a90dddbb,1425b15f73bd4095f0df53709d7c389c3eb9e790,2a66ca6336eadb3c0b34b557763f3e06d01ff8fcf6260dd4cedbd69d6093fc28,d1bc9de3ac5d55e8442d0d6912560c69fa4c5289dd90a5a81f19bb5821c51cd8
hostv2_A_concrete_ice_0p20_v0_r1,hostv2_pair_011,hostv2_source_011,A_concrete_ice,A,concrete,ice,0.2,0,0.07,0.0,-0.006,1.0,1.0,1.0,1.0,0.075,1,2026082111,1.2,9c904f890d0ed2e1592c565d3e177b96a6438fde5d2bcb1c651096a2f69b9c47,True,True,1000,0.0005,1200,1.1015494072452725e-16,"[1200, 20]",True,228,400,0.22900000000000018,0.4010000000000003,,,,,,concrete,"{""after_friction_scale"": 1.0, ""after_solref_scale"": 1.0, ""before_friction_scale"": 1.0, ""before_solref_scale"": 1.0}",e48ca04cfb9a095cee38036c47936602ed9649a94bc8964a3ccc3f9b015a9065,ad701f79f1ad5ab2b3d01842a529b5ddf4020a12279a7094d31e1ec1ec1743f9,1425b15f73bd4095f0df53709d7c389c3eb9e790,2a66ca6336eadb3c0b34b557763f3e06d01ff8fcf6260dd4cedbd69d6093fc28,c5d01abac0be03218f6ebcae1de3b0a8eab23fbf7ad2dd2161418b7afe28f8dc
hostv2_N_marble_concrete_0p10_v0_r0,hostv2_pair_012,hostv2_source_012,N_marble_concrete,N,marble,concrete,0.1,0,0.07,0.0,-0.006,1.0,1.0,1.0,1.0,0.075,0,2026082112,1.2,3b80c67ed6f144e00a6da10276ec7e9317e545f7c3b4f80460464ce5dad5b5d2,True,True,1000,0.0005,1200,1.1015494072452725e-16,"[1200, 20]",True,36,503,0.037000000000000026,0.5039999999999999,,,,,,marble,"{""after_friction_scale"": 1.0, ""after_solref_scale"": 1.0, ""before_friction_scale"": 1.0, ""before_solref_scale"": 1.0}",bf86546fc7c4b234f127fe1270fb447fdd02b13e59d3d26d780fecc66c50267b,cae37bc9ab42209d58dc5bd3d1fdb0226aed94a605f9e3684b4cdfbeee6db01f,1425b15f73bd4095f0df53709d7c389c3eb9e790,2a66ca6336eadb3c0b34b557763f3e06d01ff8fcf6260dd4cedbd69d6093fc28,676f6c145945d776784d2d5f77734f75057eda7f7e3cc6cae1c0f2b7076fb85f
hostv2_N_marble_concrete_0p10_v0_r1,hostv2_pair_013,hostv2_source_013,N_marble_concrete,N,marble,concrete,0.1,0,0.07,0.0,-0.006,1.0,1.0,1.0,1.0,0.075,1,2026082113,1.2,bd84a59c096c598c8171a987e20f8ef3f0ae792487f77e3b7897c760b346d0f5,True,True,1000,0.0005,1200,1.1015494072452725e-16,"[1200, 20]",True,36,502,0.037000000000000026,0.503,,,,,,marble,"{""after_friction_scale"": 1.0, ""after_solref_scale"": 1.0, ""before_friction_scale"": 1.0, ""before_solref_scale"": 1.0}",32327b71ad9114b77206cd2b0d24b800bf460321f135b5a9edbd7af0e17c6489,c190adb88eb5ee154a448a51cd396c7420546224ac9aa45a4c761b67dbd2c8ff,1425b15f73bd4095f0df53709d7c389c3eb9e790,2a66ca6336eadb3c0b34b557763f3e06d01ff8fcf6260dd4cedbd69d6093fc28,eedaaac65ba6431153a8f9463013709d0d38f5683f431eef74ced8e93a21bae6
hostv2_N_marble_concrete_0p15_v0_r0,hostv2_pair_014,hostv2_source_014,N_marble_concrete,N,marble,concrete,0.15,0,0.07,0.0,-0.006,1.0,1.0,1.0,1.0,0.075,0,2026082114,1.2,5c56d5d84cb2a5761f3c6a8de5228f8e60242d1632aac7ac0dc6b7942546918c,True,True,1000,0.0005,1200,1.1015494072452725e-16,"[1200, 20]",True,219,440,0.22000000000000017,0.44100000000000034,,,,,,marble,"{""after_friction_scale"": 1.0, ""after_solref_scale"": 1.0, ""before_friction_scale"": 1.0, ""before_solref_scale"": 1.0}",58472726c41f21c17311bb63e2ee8fb6736fd054a390145dcf89123ab5fdc82a,6584b3f17e6ec0da7352fd37e0fbdf774adeab00e59c771850f44f27925ef24e,1425b15f73bd4095f0df53709d7c389c3eb9e790,2a66ca6336eadb3c0b34b557763f3e06d01ff8fcf6260dd4cedbd69d6093fc28,20c46f253a771e6dcc03280acafceea296129efdbd8daa840a72765561cbae25
hostv2_N_marble_concrete_0p15_v0_r1,hostv2_pair_015,hostv2_source_015,N_marble_concrete,N,marble,concrete,0.15,0,0.07,0.0,-0.006,1.0,1.0,1.0,1.0,0.075,1,2026082115,1.2,50e20134d731332bae8c7c6b02217c2de602e6e6d963f84b3e5c001de9b80de5,True,True,1000,0.0005,1200,1.1015494072452725e-16,"[1200, 20]",True,218,440,0.21900000000000017,0.44100000000000034,,,,,,marble,"{""after_friction_scale"": 1.0, ""after_solref_scale"": 1.0, ""before_friction_scale"": 1.0, ""before_solref_scale"": 1.0}",c7398692d13a0be55ae226f2c77cccbe6538867777e05c5a39b419e95de69c98,5573e1dda70d4d4c000e7c0cf6da6bb60bc29e568455de34deea9e57720487b0,1425b15f73bd4095f0df53709d7c389c3eb9e790,2a66ca6336eadb3c0b34b557763f3e06d01ff8fcf6260dd4cedbd69d6093fc28,a1e239685f936caea44347dac3e42bc01251e2384adbbece46f5a773daa7de33
hostv2_N_marble_concrete_0p20_v0_r0,hostv2_pair_016,hostv2_source_016,N_marble_concrete,N,marble,concrete,0.2,0,0.07,0.0,-0.006,1.0,1.0,1.0,1.0,0.075,0,2026082116,1.2,07dcf088699c5d820fbd4cded0e3393b2962a2ce4e22f322bd7d1a61278b4b5f,True,True,1000,0.0005,1200,1.1015494072452725e-16,"[1200, 20]",True,225,420,0.22600000000000017,0.4210000000000003,,,,,,marble,"{""after_friction_scale"": 1.0, ""after_solref_scale"": 1.0, ""before_friction_scale"": 1.0, ""before_solref_scale"": 1.0}",9468f1e4898300821a0f9ff1ff38459b6bbffc622cfcb66351c9840693c4c475,b6fe2995a51332f8544ce6b915ff06c6227f062cc741967f6f5141450e05f173,1425b15f73bd4095f0df53709d7c389c3eb9e790,2a66ca6336eadb3c0b34b557763f3e06d01ff8fcf6260dd4cedbd69d6093fc28,54884f4542092ac8386291400f7e3d3da57541a7e77c80615946030a61c1e90a
