architecture,seed,run_id,role,speed_mps,variation,foot,contact_episode_id,physical_start_sample,physical_end_exclusive,raw_crossings,actionable,detected,first_detection_sample,warning_margin_ms,late_latency_ms,affected_foot_correct,positive_attribution_after_fall
S3,202608212,ice_native_0p10_v03,slip_candidate,0.1,3,left,0,169,193,1,True,False,,,,,False
S3,202608212,ice_native_0p10_v03,slip_candidate,0.1,3,left,3,287,294,1,True,True,259,28,0,True,False
S3,202608212,ice_native_0p10_v03,slip_candidate,0.1,3,left,4,354,390,1,True,True,309,45,0,True,False
S3,202608212,ice_native_0p10_v03,slip_candidate,0.1,3,left,12,1359,1585,2,True,True,1309,50,0,True,False
S3,202608212,ice_native_0p10_v03,slip_candidate,0.1,3,left,54,2540,2785,3,True,True,2489,51,0,True,False
S3,202608212,ice_native_0p10_v03,slip_candidate,0.1,3,right,30,943,1150,2,True,True,889,54,0,True,False
S3,202608212,ice_native_0p10_v03,slip_candidate,0.1,3,right,39,1627,1713,1,True,False,,,,,False
S3,202608212,ice_native_0p10_v03,slip_candidate,0.1,3,right,55,2070,2113,1,True,True,2039,31,0,True,False
S3,202608212,ice_native_0p10_v03,slip_candidate,0.1,3,right,56,2248,2296,1,True,True,2169,79,0,True,False
S3,202608212,ice_native_0p10_v03,slip_candidate,0.1,3,right,57,2388,2400,1,True,True,2369,19,0,True,False
S3,202608212,ice_native_0p10_v03,slip_candidate,0.1,3,right,66,2972,2991,1,True,False,,,,,False
S3,202608212,ice_native_0p15_v03,slip_candidate,0.15,3,left,0,170,194,1,True,False,,,,,False
S3,202608212,ice_native_0p15_v03,slip_candidate,0.15,3,left,2,270,310,1,True,True,229,41,0,True,False
S3,202608212,ice_native_0p15_v03,slip_candidate,0.15,3,left,16,1394,1454,2,True,True,1319,75,0,True,False
S3,202608212,ice_native_0p15_v03,slip_candidate,0.15,3,left,18,1545,1584,1,True,True,1489,56,0,True,False
S3,202608212,ice_native_0p15_v03,slip_candidate,0.15,3,left,29,2644,2711,4,True,False,,,,,False
S3,202608212,ice_native_0p15_v03,slip_candidate,0.15,3,right,29,920,927,1,True,True,899,21,0,True,False
S3,202608212,ice_native_0p15_v03,slip_candidate,0.15,3,right,75,2911,3000,5,True,True,2889,22,0,True,False
S3,202608212,sand_solref_interpolation_2of3_0p15_v03,sink_candidate,0.15,3,left,2,1773,1786,1,True,False,,,,,False
S3,202608212,sand_solref_interpolation_2of3_0p15_v03,sink_candidate,0.15,3,left,3,1911,1937,1,True,True,1909,2,0,,False
S3,202608212,sand_solref_interpolation_2of3_0p15_v03,sink_candidate,0.15,3,right,3,1795,1808,1,True,True,1739,56,0,,False
S3,202608212,sand_solref_interpolation_3of4_stronger_v2_0p15_v03,sink_candidate,0.15,3,left,2,1793,1817,1,True,False,,,,,False
S3,202608212,sand_solref_interpolation_3of4_stronger_v2_0p15_v03,sink_candidate,0.15,3,right,6,1815,1822,1,True,False,,,,,False
S3,202608212,sand_solref_interpolation_5of6_stronger_v2_0p15_v03,sink_candidate,0.15,3,left,2,1732,1761,1,True,False,,,,,False
S3,202608212,sand_solref_interpolation_5of6_stronger_v2_0p15_v03,sink_candidate,0.15,3,right,3,1767,1774,1,True,True,1749,18,0,,False
S3,202608212,ice_native_0p20_v03,slip_candidate,0.2,3,left,0,170,195,1,True,False,,,,,False
S3,202608212,ice_native_0p20_v03,slip_candidate,0.2,3,left,1,238,307,3,True,True,209,29,0,True,False
S3,202608212,ice_native_0p20_v03,slip_candidate,0.2,3,left,13,1470,1503,4,True,True,1439,31,0,True,False
S3,202608212,ice_native_0p20_v03,slip_candidate,0.2,3,left,45,2588,2646,3,True,True,2589,-1,1,True,False
S3,202608212,ice_native_0p20_v03,slip_candidate,0.2,3,right,29,930,1146,1,True,True,889,41,0,True,False
S3,202608212,ice_native_0p20_v03,slip_candidate,0.2,3,right,53,1809,1941,1,True,True,1769,40,0,False,False
S3,202608212,ice_native_0p20_v03,slip_candidate,0.2,3,right,61,2053,2080,1,True,True,2059,-6,6,True,False
S3,202608212,ice_native_0p20_v03,slip_candidate,0.2,3,right,63,2242,2303,1,True,False,,,,,False
S3,202608212,ice_native_0p20_v03,slip_candidate,0.2,3,right,71,2681,2689,1,True,True,2669,12,0,True,False
S3,202608212,ice_native_0p20_v03,slip_candidate,0.2,3,right,82,2860,2984,1,True,True,2819,41,0,True,False
