architecture,seed,run_id,foot,contact_loss_resets,touchdown_resets,score_outputs_without_raw_evidence,owner_cross_foot_mutations,previous_contact_carryover,owner_max
S3,202608212,marble_native_0p10_v03,left,109,7,0,0,0,6
S3,202608212,marble_native_0p10_v03,right,134,9,0,0,0,9
S3,202608212,concrete_native_0p10_v03,left,109,5,0,0,0,5
S3,202608212,concrete_native_0p10_v03,right,133,6,0,0,0,6
S3,202608212,sand_hardened_0p10_v03,left,104,5,0,0,0,5
S3,202608212,sand_hardened_0p10_v03,right,129,6,0,0,0,6
S3,202608212,ice_native_0p10_v03,left,94,53,0,0,0,39
S3,202608212,ice_native_0p10_v03,right,45,51,0,0,0,49
S3,202608212,sand_solref_interpolation_1of3_0p10_v03,left,104,5,0,0,0,5
S3,202608212,sand_solref_interpolation_1of3_0p10_v03,right,117,6,0,0,0,6
S3,202608212,sand_solref_interpolation_2of3_0p10_v03,left,103,5,0,0,0,5
S3,202608212,sand_solref_interpolation_2of3_0p10_v03,right,108,6,0,0,0,6
S3,202608212,sand_solref_interpolation_3of4_stronger_v2_0p10_v03,left,103,5,0,0,0,5
S3,202608212,sand_solref_interpolation_3of4_stronger_v2_0p10_v03,right,107,6,0,0,0,6
S3,202608212,sand_solref_interpolation_5of6_stronger_v2_0p10_v03,left,101,5,0,0,0,5
S3,202608212,sand_solref_interpolation_5of6_stronger_v2_0p10_v03,right,102,6,0,0,0,6
S3,202608212,marble_native_0p15_v03,left,111,7,0,0,0,6
S3,202608212,marble_native_0p15_v03,right,134,9,0,0,0,9
S3,202608212,concrete_native_0p15_v03,left,111,5,0,0,0,5
S3,202608212,concrete_native_0p15_v03,right,132,7,0,0,0,7
S3,202608212,sand_hardened_0p15_v03,left,104,5,0,0,0,5
S3,202608212,sand_hardened_0p15_v03,right,128,6,0,0,0,6
S3,202608212,ice_native_0p15_v03,left,117,44,0,0,0,33
S3,202608212,ice_native_0p15_v03,right,68,59,0,0,0,57
S3,202608212,sand_solref_interpolation_1of3_0p15_v03,left,106,5,0,0,0,5
S3,202608212,sand_solref_interpolation_1of3_0p15_v03,right,119,6,0,0,0,6
S3,202608212,sand_solref_interpolation_2of3_0p15_v03,left,59,8,0,0,0,8
S3,202608212,sand_solref_interpolation_2of3_0p15_v03,right,133,12,0,0,0,12
S3,202608212,sand_solref_interpolation_3of4_stronger_v2_0p15_v03,left,56,6,0,0,0,6
S3,202608212,sand_solref_interpolation_3of4_stronger_v2_0p15_v03,right,117,13,0,0,0,13
S3,202608212,sand_solref_interpolation_5of6_stronger_v2_0p15_v03,left,129,10,0,0,0,10
S3,202608212,sand_solref_interpolation_5of6_stronger_v2_0p15_v03,right,159,6,0,0,0,6
S3,202608212,marble_native_0p20_v03,left,113,8,0,0,0,7
S3,202608212,marble_native_0p20_v03,right,132,11,0,0,0,11
S3,202608212,concrete_native_0p20_v03,left,111,5,0,0,0,5
S3,202608212,concrete_native_0p20_v03,right,132,7,0,0,0,7
S3,202608212,sand_hardened_0p20_v03,left,107,5,0,0,0,5
S3,202608212,sand_hardened_0p20_v03,right,128,6,0,0,0,6
S3,202608212,ice_native_0p20_v03,left,126,49,0,0,0,49
S3,202608212,ice_native_0p20_v03,right,74,56,0,0,0,54
S3,202608212,sand_solref_interpolation_1of3_0p20_v03,left,106,5,0,0,0,5
S3,202608212,sand_solref_interpolation_1of3_0p20_v03,right,117,6,0,0,0,6
S3,202608212,sand_solref_interpolation_2of3_0p20_v03,left,106,5,0,0,0,5
S3,202608212,sand_solref_interpolation_2of3_0p20_v03,right,108,6,0,0,0,6
S3,202608212,sand_solref_interpolation_3of4_stronger_v2_0p20_v03,left,105,6,0,0,0,6
S3,202608212,sand_solref_interpolation_3of4_stronger_v2_0p20_v03,right,107,6,0,0,0,6
S3,202608212,sand_solref_interpolation_5of6_stronger_v2_0p20_v03,left,105,6,0,0,0,6
S3,202608212,sand_solref_interpolation_5of6_stronger_v2_0p20_v03,right,106,6,0,0,0,6
S3,202608212,marble_native_0p10_v04,left,127,7,0,0,0,7
S3,202608212,marble_native_0p10_v04,right,123,7,0,0,0,7
S3,202608212,concrete_native_0p10_v04,left,123,5,0,0,0,5
S3,202608212,concrete_native_0p10_v04,right,118,7,0,0,0,7
S3,202608212,sand_hardened_0p10_v04,left,124,5,0,0,0,5
S3,202608212,sand_hardened_0p10_v04,right,116,5,0,0,0,5
S3,202608212,ice_native_0p10_v04,left,91,53,0,0,0,52
S3,202608212,ice_native_0p10_v04,right,55,64,0,0,0,64
S3,202608212,sand_solref_interpolation_1of3_0p10_v04,left,120,5,0,0,0,5
S3,202608212,sand_solref_interpolation_1of3_0p10_v04,right,107,6,0,0,0,6
S3,202608212,sand_solref_interpolation_2of3_0p10_v04,left,130,17,0,0,0,17
S3,202608212,sand_solref_interpolation_2of3_0p10_v04,right,97,5,0,0,0,5
S3,202608212,sand_solref_interpolation_3of4_stronger_v2_0p10_v04,left,99,13,0,0,0,13
S3,202608212,sand_solref_interpolation_3of4_stronger_v2_0p10_v04,right,56,6,0,0,0,6
S3,202608212,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,left,100,8,0,0,0,8
S3,202608212,sand_solref_interpolation_5of6_stronger_v2_0p10_v04,right,53,5,0,0,0,5
S3,202608212,marble_native_0p15_v04,left,128,8,0,0,0,8
S3,202608212,marble_native_0p15_v04,right,121,7,0,0,0,7
S3,202608212,concrete_native_0p15_v04,left,128,6,0,0,0,6
S3,202608212,concrete_native_0p15_v04,right,117,7,0,0,0,7
S3,202608212,sand_hardened_0p15_v04,left,124,5,0,0,0,5
S3,202608212,sand_hardened_0p15_v04,right,114,5,0,0,0,5
S3,202608212,ice_native_0p15_v04,left,102,45,0,0,0,45
S3,202608212,ice_native_0p15_v04,right,63,53,0,0,0,49
S3,202608212,sand_solref_interpolation_1of3_0p15_v04,left,124,5,0,0,0,5
S3,202608212,sand_solref_interpolation_1of3_0p15_v04,right,108,5,0,0,0,5
S3,202608212,sand_solref_interpolation_2of3_0p15_v04,left,122,5,0,0,0,5
S3,202608212,sand_solref_interpolation_2of3_0p15_v04,right,98,5,0,0,0,5
S3,202608212,sand_solref_interpolation_3of4_stronger_v2_0p15_v04,left,124,5,0,0,0,5
S3,202608212,sand_solref_interpolation_3of4_stronger_v2_0p15_v04,right,97,5,0,0,0,5
S3,202608212,sand_solref_interpolation_5of6_stronger_v2_0p15_v04,left,122,5,0,0,0,5
S3,202608212,sand_solref_interpolation_5of6_stronger_v2_0p15_v04,right,94,5,0,0,0,5
S3,202608212,marble_native_0p20_v04,left,129,7,0,0,0,7
S3,202608212,marble_native_0p20_v04,right,118,8,0,0,0,8
S3,202608212,concrete_native_0p20_v04,left,131,6,0,0,0,6
S3,202608212,concrete_native_0p20_v04,right,117,6,0,0,0,6
S3,202608212,sand_hardened_0p20_v04,left,124,5,0,0,0,5
S3,202608212,sand_hardened_0p20_v04,right,114,5,0,0,0,5
S3,202608212,ice_native_0p20_v04,left,113,61,0,0,0,61
S3,202608212,ice_native_0p20_v04,right,82,56,0,0,0,53
S3,202608212,sand_solref_interpolation_1of3_0p20_v04,left,124,5,0,0,0,5
S3,202608212,sand_solref_interpolation_1of3_0p20_v04,right,108,5,0,0,0,5
S3,202608212,sand_solref_interpolation_2of3_0p20_v04,left,124,5,0,0,0,5
S3,202608212,sand_solref_interpolation_2of3_0p20_v04,right,98,5,0,0,0,5
