speed_mps,target_foot,target_phase,severity,planned_positive_attempts,source_valid_positive_count,has_valid_support,base_source_valid_positive_count,supplemental_planned_positive_attempts,supplemental_source_valid_positive_count,augmented_source_valid_positive_count,augmented_has_valid_support
0.1,left,early_loading,native_strong_ice,3,3,True,3,0,0,3,True
0.1,left,early_loading,moderate_v2,3,2,True,2,0,0,2,True
0.1,left,mid_loading_early_stance,native_strong_ice,3,3,True,3,0,0,3,True
0.1,left,mid_loading_early_stance,moderate_v2,3,3,True,3,0,0,3,True
0.1,left,mid_late_stance,native_strong_ice,3,3,True,3,0,0,3,True
0.1,left,mid_late_stance,moderate_v2,3,1,True,1,0,0,1,True
0.1,right,early_loading,native_strong_ice,3,3,True,3,0,0,3,True
0.1,right,early_loading,moderate_v2,3,3,True,3,0,0,3,True
0.1,right,mid_loading_early_stance,native_strong_ice,3,3,True,3,0,0,3,True
0.1,right,mid_loading_early_stance,moderate_v2,3,3,True,3,0,0,3,True
0.1,right,mid_late_stance,native_strong_ice,3,2,True,2,0,0,2,True
0.1,right,mid_late_stance,moderate_v2,3,2,True,2,0,0,2,True
0.15,left,early_loading,native_strong_ice,3,2,True,2,0,0,2,True
0.15,left,early_loading,moderate_v2,3,3,True,3,0,0,3,True
0.15,left,mid_loading_early_stance,native_strong_ice,3,3,True,3,0,0,3,True
0.15,left,mid_loading_early_stance,moderate_v2,3,2,True,2,0,0,2,True
0.15,left,mid_late_stance,native_strong_ice,3,2,True,2,0,0,2,True
0.15,left,mid_late_stance,moderate_v2,3,0,False,0,12,6,6,True
0.15,right,early_loading,native_strong_ice,3,3,True,3,0,0,3,True
0.15,right,early_loading,moderate_v2,3,2,True,2,0,0,2,True
0.15,right,mid_loading_early_stance,native_strong_ice,3,3,True,3,0,0,3,True
0.15,right,mid_loading_early_stance,moderate_v2,3,3,True,3,0,0,3,True
0.15,right,mid_late_stance,native_strong_ice,3,2,True,2,0,0,2,True
0.15,right,mid_late_stance,moderate_v2,3,2,True,2,0,0,2,True
0.2,left,early_loading,native_strong_ice,3,2,True,2,0,0,2,True
0.2,left,early_loading,moderate_v2,3,2,True,2,0,0,2,True
0.2,left,mid_loading_early_stance,native_strong_ice,3,3,True,3,0,0,3,True
0.2,left,mid_loading_early_stance,moderate_v2,3,3,True,3,0,0,3,True
0.2,left,mid_late_stance,native_strong_ice,3,2,True,2,0,0,2,True
0.2,left,mid_late_stance,moderate_v2,3,1,True,1,0,0,1,True
0.2,right,early_loading,native_strong_ice,3,3,True,3,0,0,3,True
0.2,right,early_loading,moderate_v2,3,3,True,3,0,0,3,True
0.2,right,mid_loading_early_stance,native_strong_ice,3,3,True,3,0,0,3,True
0.2,right,mid_loading_early_stance,moderate_v2,3,2,True,2,0,0,2,True
0.2,right,mid_late_stance,native_strong_ice,3,3,True,3,0,0,3,True
0.2,right,mid_late_stance,moderate_v2,3,2,True,2,0,0,2,True
