run_id,pair_id,role,speed_mps,target_foot,target_phase,actual_onset_phase,severity,material_profile,control_type,variation_index,actual_first_affected_foot,target_touchdown_sample,target_touchdown_time_s,target_physical_onset_sample,target_physical_onset_time_s,touchdown_to_onset_ms,target_contact_episode_id,contralateral_physical_slip_contamination,valid_target_positive,wrong_foot_onset,bilateral_ambiguous,no_onset,fall_occurred,first_fall_sample,fall_reason,post_fall_excluded_sample_count,discarded,replaced,silently_relabelled,physical_slip_foot_count,physical_slip_onset_free,stable_loaded_contact_coverage,valid_control_source,maximum_target_anchor_drift_m,first_fall_censor_boundary,control_source_valid,failure_reason,failed_attempt_preserved,silently_counted_as_normal,development_only,variation_id,phase_offset,phase_fraction,command_delay_s,initial_perturbation,stable_contact,physical_onset,control_validity
supplemental_control_v8_l00,v8_pair_00,control,0.15,left,mid_late_stance,none,moderate_v2,hard_normal,hard_normal,9,none,33,0.03400000000000002,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.004893219098448753,,True,,True,False,True,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]",True,False,True
supplemental_control_v8_l01,v8_pair_01,control,0.15,left,mid_late_stance,none,moderate_v2,near_slip_non_event,near_slip_non_event,10,none,33,0.03400000000000002,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.004891453310847282,,True,,True,False,True,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]",True,False,True
supplemental_control_v8_l02,v8_pair_02,control,0.15,left,mid_late_stance,none,moderate_v2,hard_normal,hard_normal,11,none,33,0.03400000000000002,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.005345141980797052,,True,,True,False,True,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]",True,False,True
supplemental_control_v8_l03,v8_pair_03,control,0.15,left,mid_late_stance,none,moderate_v2,near_slip_non_event,near_slip_non_event,12,none,33,0.03400000000000002,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.00534013519063592,,True,,True,False,True,V8_L03,-0.13999999999999996,0.27,0.05,"[0.0005769898956369509, -0.0002809221591442534, 0.0014388559330953963]",True,False,True
supplemental_control_v8_l04,v8_pair_04,control,0.15,left,mid_late_stance,none,moderate_v2,hard_normal,hard_normal,13,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.007899192161858082,,True,,True,False,True,V8_L04,0.0,0.41,0.02,"[0.00029682268200740235, 8.824183071989475e-05, 0.0016814933667546276]",True,False,True
supplemental_control_v8_l05,v8_pair_05,control,0.15,left,mid_late_stance,none,moderate_v2,near_slip_non_event,near_slip_non_event,14,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.007913936860859394,,True,,True,False,True,V8_L05,0.0,0.41,0.03,"[0.0015607421679779076, -0.0005621800735247805, 0.0012841729139735185]",True,False,True
supplemental_control_v8_l06,v8_pair_06,control,0.15,left,mid_late_stance,none,moderate_v2,hard_normal,hard_normal,15,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.007999087683856487,,True,,True,False,True,V8_L06,0.0,0.41,0.04,"[0.0002914733933655866, 0.0008732290826420532, 0.0016863007545616553]",True,False,True
supplemental_control_v8_l07,v8_pair_07,control,0.15,left,mid_late_stance,none,moderate_v2,near_slip_non_event,near_slip_non_event,16,none,39,0.04000000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.008015596307814121,,True,,True,False,True,V8_L07,0.0,0.41,0.05,"[0.0016625161407072039, -0.0005734190612621388, 0.0011374837996894864]",True,False,True
supplemental_control_v8_l08,v8_pair_08,control,0.15,left,mid_late_stance,none,moderate_v2,hard_normal,hard_normal,17,none,228,0.22900000000000018,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.007964869029819965,,True,,True,False,True,V8_L08,0.14000000000000007,0.55,0.02,"[0.00037756762786769196, 0.00038885088932019067, 0.0010385405289600746]",True,False,True
supplemental_control_v8_l09,v8_pair_09,control,0.15,left,mid_late_stance,none,moderate_v2,near_slip_non_event,near_slip_non_event,18,none,228,0.22900000000000018,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.008003700524568558,,True,,True,False,True,V8_L09,0.14000000000000007,0.55,0.03,"[0.0007072125986332194, -0.0005213253876359261, 0.001211291254116341]",True,False,True
supplemental_control_v8_l10,v8_pair_10,control,0.15,left,mid_late_stance,none,moderate_v2,hard_normal,hard_normal,19,none,228,0.22900000000000018,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.00791926123201847,,True,,True,False,True,V8_L10,0.14000000000000007,0.55,0.04,"[0.0011538363251778058, -0.0008809371015160004, 0.0017153280242699375]",True,False,True
supplemental_control_v8_l11,v8_pair_11,control,0.15,left,mid_late_stance,none,moderate_v2,near_slip_non_event,near_slip_non_event,20,none,228,0.22900000000000018,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.007958417758345604,,True,,True,False,True,V8_L11,0.14000000000000007,0.55,0.05,"[0.0005431639151010129, 0.0003732728942865125, 0.0007558428719539496]",True,False,True
