run_id,pair_id,role,fall_occurred,first_fall_sample,first_fall_time_s,fall_reason,pre_fall_valid_sample_count,post_fall_stored_sample_count,post_fall_excluded_from_labels,variation_index,variation_id,phase_offset,phase_fraction,command_delay_s,initial_perturbation
supplemental_positive_v8_l00,v8_pair_00,positive,False,,,,3000,0,True,9,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_control_v8_l00,v8_pair_00,control,False,,,,3000,0,True,9,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
supplemental_positive_v8_l01,v8_pair_01,positive,False,,,,3000,0,True,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_control_v8_l01,v8_pair_01,control,False,,,,3000,0,True,10,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
supplemental_positive_v8_l02,v8_pair_02,positive,False,,,,3000,0,True,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_control_v8_l02,v8_pair_02,control,False,,,,3000,0,True,11,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
supplemental_positive_v8_l03,v8_pair_03,positive,False,,,,3000,0,True,12,V8_L03,-0.13999999999999996,0.27,0.05,"[0.0005769898956369509, -0.0002809221591442534, 0.0014388559330953963]"
supplemental_control_v8_l03,v8_pair_03,control,False,,,,3000,0,True,12,V8_L03,-0.13999999999999996,0.27,0.05,"[0.0005769898956369509, -0.0002809221591442534, 0.0014388559330953963]"
supplemental_positive_v8_l04,v8_pair_04,positive,False,,,,3000,0,True,13,V8_L04,0.0,0.41,0.02,"[0.00029682268200740235, 8.824183071989475e-05, 0.0016814933667546276]"
supplemental_control_v8_l04,v8_pair_04,control,False,,,,3000,0,True,13,V8_L04,0.0,0.41,0.02,"[0.00029682268200740235, 8.824183071989475e-05, 0.0016814933667546276]"
supplemental_positive_v8_l05,v8_pair_05,positive,False,,,,3000,0,True,14,V8_L05,0.0,0.41,0.03,"[0.0015607421679779076, -0.0005621800735247805, 0.0012841729139735185]"
supplemental_control_v8_l05,v8_pair_05,control,False,,,,3000,0,True,14,V8_L05,0.0,0.41,0.03,"[0.0015607421679779076, -0.0005621800735247805, 0.0012841729139735185]"
supplemental_positive_v8_l06,v8_pair_06,positive,False,,,,3000,0,True,15,V8_L06,0.0,0.41,0.04,"[0.0002914733933655866, 0.0008732290826420532, 0.0016863007545616553]"
supplemental_control_v8_l06,v8_pair_06,control,False,,,,3000,0,True,15,V8_L06,0.0,0.41,0.04,"[0.0002914733933655866, 0.0008732290826420532, 0.0016863007545616553]"
supplemental_positive_v8_l07,v8_pair_07,positive,False,,,,3000,0,True,16,V8_L07,0.0,0.41,0.05,"[0.0016625161407072039, -0.0005734190612621388, 0.0011374837996894864]"
supplemental_control_v8_l07,v8_pair_07,control,False,,,,3000,0,True,16,V8_L07,0.0,0.41,0.05,"[0.0016625161407072039, -0.0005734190612621388, 0.0011374837996894864]"
supplemental_positive_v8_l08,v8_pair_08,positive,False,,,,3000,0,True,17,V8_L08,0.14000000000000007,0.55,0.02,"[0.00037756762786769196, 0.00038885088932019067, 0.0010385405289600746]"
supplemental_control_v8_l08,v8_pair_08,control,False,,,,3000,0,True,17,V8_L08,0.14000000000000007,0.55,0.02,"[0.00037756762786769196, 0.00038885088932019067, 0.0010385405289600746]"
supplemental_positive_v8_l09,v8_pair_09,positive,False,,,,3000,0,True,18,V8_L09,0.14000000000000007,0.55,0.03,"[0.0007072125986332194, -0.0005213253876359261, 0.001211291254116341]"
supplemental_control_v8_l09,v8_pair_09,control,False,,,,3000,0,True,18,V8_L09,0.14000000000000007,0.55,0.03,"[0.0007072125986332194, -0.0005213253876359261, 0.001211291254116341]"
supplemental_positive_v8_l10,v8_pair_10,positive,False,,,,3000,0,True,19,V8_L10,0.14000000000000007,0.55,0.04,"[0.0011538363251778058, -0.0008809371015160004, 0.0017153280242699375]"
supplemental_control_v8_l10,v8_pair_10,control,False,,,,3000,0,True,19,V8_L10,0.14000000000000007,0.55,0.04,"[0.0011538363251778058, -0.0008809371015160004, 0.0017153280242699375]"
supplemental_positive_v8_l11,v8_pair_11,positive,False,,,,3000,0,True,20,V8_L11,0.14000000000000007,0.55,0.05,"[0.0005431639151010129, 0.0003732728942865125, 0.0007558428719539496]"
supplemental_control_v8_l11,v8_pair_11,control,False,,,,3000,0,True,20,V8_L11,0.14000000000000007,0.55,0.05,"[0.0005431639151010129, 0.0003732728942865125, 0.0007558428719539496]"
