pair_id,positive_run_id,control_run_id,pair_fingerprint,speed_mps,target_foot,target_phase,severity,control_type,variation_index,seed,first_patch_contact_sample,initial_qpos_equal,initial_qvel_equal,initial_policy_observation_equal,prepatch_generalized_state_equal,precontact_fusion20_equal,command_equal,geometry_equal,patch_location_equal,target_foot_equal,timestamps_equal,pair_configuration_equal,positive_expected_friction,control_expected_friction,positive_effective_friction_contract,control_effective_friction_contract,effective_friction_differs,postcontact_trajectory_diverged,full_trace_identical,classification,patch_base_double_contact_count,parity_pass,variation_id,phase_offset,phase_fraction,command_delay_s,initial_perturbation
v8_pair_00,supplemental_positive_v8_l00,supplemental_control_v8_l00,c0a0061579166b09cbed7a4468f9294e4531656e8c44ca39a45423893a6ecd8c,0.15,left,mid_late_stance,moderate_v2,hard_normal,9,202608814,33,True,True,True,True,True,True,True,True,True,True,True,0.08750000000000001,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True,V8_L00,-0.13999999999999996,0.27,0.02,"[0.0012416722727670785, 0.0005759409250333067, 0.0016629560975428685]"
v8_pair_01,supplemental_positive_v8_l01,supplemental_control_v8_l01,e9433cad512a1af4e5daa2d55748e6b216ed39a518e34da0bacf6da245b8c1dd,0.15,left,mid_late_stance,moderate_v2,near_slip_non_event,10,202608839,33,True,True,True,True,True,True,True,True,True,True,True,0.08750000000000001,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True,V8_L01,-0.13999999999999996,0.27,0.03,"[0.0013403413903868015, 9.105988184313204e-05, 0.0014643070893949088]"
v8_pair_02,supplemental_positive_v8_l02,supplemental_control_v8_l02,c0c3cdfae31e8b268b3c951a62618812b456b065c4741bf75d4852197619ee6f,0.15,left,mid_late_stance,moderate_v2,hard_normal,11,202608834,33,True,True,True,True,True,True,True,True,True,True,True,0.08750000000000001,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True,V8_L02,-0.13999999999999996,0.27,0.04,"[0.0008627796497288911, 0.0007808037337714456, 0.0013875321335813933]"
v8_pair_03,supplemental_positive_v8_l03,supplemental_control_v8_l03,e39c6e772352334b5b4d0ce17a7c354361e7a7e9b40840299c0d941f43a381cf,0.15,left,mid_late_stance,moderate_v2,near_slip_non_event,12,202608895,33,True,True,True,True,True,True,True,True,True,True,True,0.08750000000000001,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True,V8_L03,-0.13999999999999996,0.27,0.05,"[0.0005769898956369509, -0.0002809221591442534, 0.0014388559330953963]"
v8_pair_04,supplemental_positive_v8_l04,supplemental_control_v8_l04,6d01888deb4fe34ec130cccfee817b27fa0aaa59c2d26c5ef34fc98b4b9c07b3,0.15,left,mid_late_stance,moderate_v2,hard_normal,13,202608855,39,True,True,True,True,True,True,True,True,True,True,True,0.08750000000000001,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True,V8_L04,0.0,0.41,0.02,"[0.00029682268200740235, 8.824183071989475e-05, 0.0016814933667546276]"
v8_pair_05,supplemental_positive_v8_l05,supplemental_control_v8_l05,f536b652243eaaf7e83e358edea89afb6f61db5567855531fdceb19fa3f0a0dd,0.15,left,mid_late_stance,moderate_v2,near_slip_non_event,14,202608897,39,True,True,True,True,True,True,True,True,True,True,True,0.08750000000000001,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True,V8_L05,0.0,0.41,0.03,"[0.0015607421679779076, -0.0005621800735247805, 0.0012841729139735185]"
v8_pair_06,supplemental_positive_v8_l06,supplemental_control_v8_l06,777a7f4eb2cac68cc4472bf661bb866f6dd76ee76e87c0400c40693f6a235fa3,0.15,left,mid_late_stance,moderate_v2,hard_normal,15,202608856,39,True,True,True,True,True,True,True,True,True,True,True,0.08750000000000001,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True,V8_L06,0.0,0.41,0.04,"[0.0002914733933655866, 0.0008732290826420532, 0.0016863007545616553]"
v8_pair_07,supplemental_positive_v8_l07,supplemental_control_v8_l07,3111d1786a3b4008847dd8ed3fc8c04c0e09f91cb6da2303726f0b2edf775925,0.15,left,mid_late_stance,moderate_v2,near_slip_non_event,16,202608871,39,True,True,True,True,True,True,True,True,True,True,True,0.08750000000000001,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True,V8_L07,0.0,0.41,0.05,"[0.0016625161407072039, -0.0005734190612621388, 0.0011374837996894864]"
v8_pair_08,supplemental_positive_v8_l08,supplemental_control_v8_l08,24a34d48502f54db4a8383d4b0f1b6e9314291d1816f7d8480b43492c1b4c9a8,0.15,left,mid_late_stance,moderate_v2,hard_normal,17,202608812,228,True,True,True,True,True,True,True,True,True,True,True,0.08750000000000001,1.0,True,True,True,True,False,correct_counterfactual_pair,0,True,V8_L08,0.14000000000000007,0.55,0.02,"[0.00037756762786769196, 0.00038885088932019067, 0.0010385405289600746]"
v8_pair_09,supplemental_positive_v8_l09,supplemental_control_v8_l09,98d9a733381b301ac7cce2bc12c06811521eb71c0de63b450bc288788a8cfde2,0.15,left,mid_late_stance,moderate_v2,near_slip_non_event,18,202608898,228,True,True,True,True,True,True,True,True,True,True,True,0.08750000000000001,0.35000000000000003,True,True,True,True,False,correct_counterfactual_pair,0,True,V8_L09,0.14000000000000007,0.55,0.03,"[0.0007072125986332194, -0.0005213253876359261, 0.001211291254116341]"
